tag	map	seed	seat	ours	cond	turn	arm	game_rounds	game_jumps	eid	birth	pos	dsq_core	dsq_centre	n_seats	coverage	coverage_ferry	best_cov_site	lifetime	died	death_round	n_launch	n_launch_seat	ever_launched
atoll_s1_A	atoll	1	A	US	Core destroyed	624	flagoff	624	23	25	6	12,3	1	6.5	8	2	2	2	16	1	22	5	1	1
atoll_s1_A	atoll	1	A	US	Core destroyed	624	flagoff	624	23	190	116	11,3	4	12.5	8	0	0	2	1	1	117	1	0	1
atoll_s1_A	atoll	1	A	US	Core destroyed	624	flagoff	624	23	228	151	15,8	25	30.5	8	0	0	2	1	1	152	1	0	1
atoll_s1_A	atoll	1	A	US	Core destroyed	624	flagoff	624	23	295	209	12,7	17	26.5	8	0	0	2	1	1	210	1	0	1
atoll_s1_A	atoll	1	A	US	Core destroyed	624	flagoff	624	23	320	230	15,8	25	30.5	8	0	0	2	1	1	231	1	0	1
atoll_s2_A	atoll	2	A	US	Titanium collected (tiebreak)	1000	flagoff	1000	768	53	18	16,1	2	4.5	8	2	2	2	982	0	-1	3	0	1
atoll_s2_A	atoll	2	A	US	Titanium collected (tiebreak)	1000	flagoff	1000	768	231	119	10,7	25	40.5	8	0	0	2	1	1	120	1	0	1
atoll_s2_B	atoll	2	B	US	Core destroyed	374	flagoff	374	51	24	6	4,13	2	4.5	8	2	2	2	218	1	224	38	15	1
atoll_s2_B	atoll	2	B	US	Core destroyed	374	flagoff	374	51	340	207	7,10	25	40.5	8	0	0	2	1	1	208	1	0	1
atoll_s2_B	atoll	2	B	US	Core destroyed	374	flagoff	374	51	405	245	7,10	25	40.5	8	0	0	2	1	1	246	1	0	1
atoll_s2_B	atoll	2	B	US	Core destroyed	374	flagoff	374	51	441	266	0,14	1	6.5	8	2	2	2	108	0	-1	2	0	1
atoll_s3_A	atoll	3	A	OPP	Core destroyed	151	flagoff	151	11	28	8	13,5	5	8.5	8	1	1	2	2	1	10	1	0	1
atoll_s3_A	atoll	3	A	OPP	Core destroyed	151	flagoff	151	11	36	12	13,5	5	8.5	8	1	1	2	4	1	16	2	0	1
atoll_s3_B	atoll	3	B	OPP	Core destroyed	380	flagoff	380	44	21	6	4,13	2	4.5	8	2	2	2	221	1	227	32	5	1
