tag	map	seed	seat	ours	cond	turn	arm	game_rounds	game_jumps	eid	birth	pos	dsq_core	dsq_centre	n_seats	coverage	coverage_ferry	best_cov_site	lifetime	died	death_round	n_launch	n_launch_seat	ever_launched
atoll_s1_A	atoll	1	A	OPP	Core destroyed	385	parent	385	18	53	18	16,1	2	4.5	8	2	2	2	367	0	-1	5	3	1
atoll_s1_B	atoll	1	B	OPP	Core destroyed	168	parent	168	2	97	43	2,17	4	6.5	8	2	2	2	125	0	-1	0	0	0
atoll_s2_A	atoll	2	A	OPP	Core destroyed	302	parent	302	56	26	8	15,5	4	6.5	8	2	2	2	294	0	-1	34	2	1
atoll_s2_A	atoll	2	A	OPP	Core destroyed	302	parent	302	56	110	58	12,2	1	6.5	8	2	2	2	92	1	150	19	0	1
atoll_s3_A	atoll	3	A	OPP	Core destroyed	388	parent	388	46	21	6	14,5	4	6.5	8	2	2	2	3	1	9	2	1	1
atoll_s3_A	atoll	3	A	OPP	Core destroyed	388	parent	388	46	40	13	12,3	1	6.5	8	2	2	2	375	0	-1	42	1	1
atoll_s3_B	atoll	3	B	OPP	Core destroyed	290	parent	290	6	20	6	4,13	2	4.5	8	2	2	2	3	1	9	1	0	1
atoll_s3_B	atoll	3	B	OPP	Core destroyed	290	parent	290	6	42	17	0,13	2	8.5	8	1	1	2	273	0	-1	2	2	1
atoll_s3_B	atoll	3	B	OPP	Core destroyed	290	parent	290	6	126	54	4,17	5	8.5	8	1	1	2	236	0	-1	1	0	1
drakkarfjord_s1_A	drakkarfjord	1	A	OPP	Core destroyed	391	parent	391	13	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s1_A	drakkarfjord	1	A	OPP	Core destroyed	391	parent	391	13	674	205	22,9	25	40.5	8	0	0	2	1	1	206	1	0	1
drakkarfjord_s1_A	drakkarfjord	1	A	OPP	Core destroyed	391	parent	391	13	827	256	23,8	13	24.5	8	0	0	2	1	1	257	1	0	1
drakkarfjord_s1_B	drakkarfjord	1	B	US	Core destroyed	173	parent	173	5	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s2_A	drakkarfjord	2	A	OPP	Core destroyed	164	parent	164	5	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s2_B	drakkarfjord	2	B	OPP	Titanium collected (tiebreak)	1000	parent	1000	98	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s2_B	drakkarfjord	2	B	OPP	Titanium collected (tiebreak)	1000	parent	1000	98	301	168	5,24	4	6.5	8	2	2	2	832	0	-1	93	85	1
drakkarfjord_s3_A	drakkarfjord	3	A	OPP	Core destroyed	548	parent	548	122	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s3_A	drakkarfjord	3	A	OPP	Core destroyed	548	parent	548	122	916	280	22,8	18	32.5	8	0	0	2	1	1	281	1	0	1
drakkarfjord_s3_B	drakkarfjord	3	B	OPP	Core destroyed	309	parent	309	6	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	512	parent	512	9	14	7	15,23	4	12.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	512	parent	512	9	583	412	15,21	16	30.5	8	0	0	2	1	1	413	1	0	1
glacierkeep_s1_B	glacierkeep	1	B	OPP	Titanium collected (tiebreak)	1000	parent	1000	5	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s2_A	glacierkeep	2	A	US	Core destroyed	289	parent	289	4	14	7	15,23	4	12.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s2_B	glacierkeep	2	B	US	Core destroyed	185	parent	185	4	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s2_B	glacierkeep	2	B	US	Core destroyed	185	parent	185	4	110	69	15,0	1	6.5	8	2	2	2	116	0	-1	0	0	0
