tag	map	seed	seat	ours	cond	turn	arm	game_rounds	game_jumps	eid	birth	pos	dsq_core	dsq_centre	n_seats	coverage	coverage_ferry	best_cov_site	lifetime	died	death_round	n_launch	n_launch_seat	ever_launched
atoll_s1_A	atoll	1	A	OPP	Core destroyed	200	v520	200	15	29	10	14,5	4	6.5	8	2	2	2	3	1	13	1	1	1
atoll_s1_A	atoll	1	A	OPP	Core destroyed	200	v520	200	15	41	14	13,5	5	8.5	8	1	1	2	7	1	21	1	0	1
atoll_s1_A	atoll	1	A	OPP	Core destroyed	200	v520	200	15	119	48	13,0	2	8.5	8	1	1	2	152	0	-1	9	0	1
atoll_s1_B	atoll	1	B	OPP	Core destroyed	271	v520	271	16	31	10	5,13	5	8.5	8	1	1	2	11	1	21	5	0	1
atoll_s1_B	atoll	1	B	OPP	Core destroyed	271	v520	271	16	51	22	4,12	2	8.5	8	1	1	2	11	1	33	0	0	0
atoll_s1_B	atoll	1	B	OPP	Core destroyed	271	v520	271	16	72	42	0,14	1	6.5	8	2	2	2	229	0	-1	3	3	1
atoll_s2_B	atoll	2	B	OPP	Core destroyed	769	v520	769	19	31	10	5,13	5	8.5	8	1	1	2	11	1	21	5	0	1
atoll_s2_B	atoll	2	B	OPP	Core destroyed	769	v520	769	19	51	22	4,12	2	8.5	8	1	1	2	11	1	33	0	0	0
atoll_s2_B	atoll	2	B	OPP	Core destroyed	769	v520	769	19	72	42	0,14	1	6.5	8	2	2	2	727	0	-1	3	3	1
atoll_s2_B	atoll	2	B	OPP	Core destroyed	769	v520	769	19	224	146	7,13	17	22.5	8	0	0	2	4	1	150	1	0	1
atoll_s2_B	atoll	2	B	OPP	Core destroyed	769	v520	769	19	359	228	5,11	8	18.5	8	0	0	2	4	1	232	1	0	1
atoll_s3_A	atoll	3	A	OPP	Core destroyed	390	v520	390	19	33	10	12,4	2	8.5	8	1	1	2	67	1	77	9	0	1
atoll_s3_A	atoll	3	A	OPP	Core destroyed	390	v520	390	19	82	48	14,0	1	6.5	8	2	2	2	342	0	-1	1	1	1
atoll_s3_A	atoll	3	A	OPP	Core destroyed	390	v520	390	19	404	305	12,7	17	26.5	8	0	0	2	4	1	309	1	0	1
atoll_s3_B	atoll	3	B	OPP	Core destroyed	654	v520	654	51	31	10	5,13	5	8.5	8	1	1	2	8	1	18	5	0	1
atoll_s3_B	atoll	3	B	OPP	Core destroyed	654	v520	654	51	50	20	3,12	1	6.5	8	2	2	2	140	1	160	41	0	1
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	171	v520	171	18	22	13	22,8	18	32.5	8	0	0	2	2	1	15	2	0	1
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	171	v520	171	18	120	93	25,2	2	8.5	8	1	1	2	78	0	-1	8	1	1
drakkarfjord_s1_B	drakkarfjord	1	B	US	Core destroyed	116	v520	116	10	23	13	6,20	18	32.5	8	0	0	2	2	1	15	2	0	1
drakkarfjord_s2_A	drakkarfjord	2	A	US	Core destroyed	115	v520	115	10	23	13	22,8	18	32.5	8	0	0	2	2	1	15	2	0	1
drakkarfjord_s2_B	drakkarfjord	2	B	US	Titanium collected (tiebreak)	1000	v520	1000	12	20	13	6,20	18	32.5	8	0	0	2	2	1	15	2	0	1
drakkarfjord_s2_B	drakkarfjord	2	B	US	Titanium collected (tiebreak)	1000	v520	1000	12	134	160	0,25	1	6.5	8	2	2	2	840	0	-1	2	1	1
drakkarfjord_s3_A	drakkarfjord	3	A	US	Core destroyed	92	v520	92	10	23	13	22,8	18	32.5	8	0	0	2	2	1	15	2	0	1
drakkarfjord_s3_B	drakkarfjord	3	B	US	Titanium collected (tiebreak)	1000	v520	1000	11	20	13	6,20	18	32.5	8	0	0	2	2	1	15	2	0	1
drakkarfjord_s3_B	drakkarfjord	3	B	US	Titanium collected (tiebreak)	1000	v520	1000	11	134	160	0,25	1	6.5	8	2	2	2	840	0	-1	1	1	1
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	428	v520	428	47	15	11	16,23	5	14.5	8	0	0	2	2	1	13	2	0	1
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	428	v520	428	47	138	87	13,24	2	8.5	8	1	1	2	114	1	201	37	0	1
glacierkeep_s1_B	glacierkeep	1	B	OPP	Core destroyed	858	v520	858	12	15	11	16,6	10	14.5	8	0	0	2	2	1	13	2	0	1
glacierkeep_s1_B	glacierkeep	1	B	OPP	Core destroyed	858	v520	858	12	122	168	12,4	2	8.5	8	1	1	2	8	1	176	2	0	1
glacierkeep_s1_B	glacierkeep	1	B	OPP	Core destroyed	858	v520	858	12	125	189	14,0	1	6.5	8	2	2	2	669	0	-1	2	2	1
glacierkeep_s2_A	glacierkeep	2	A	US	Titanium collected (tiebreak)	1000	v520	1000	208	15	11	16,23	5	14.5	8	0	0	2	2	1	13	2	0	1
glacierkeep_s2_A	glacierkeep	2	A	US	Titanium collected (tiebreak)	1000	v520	1000	208	495	521	18,24	10	18.5	8	0	0	2	41	1	562	0	0	0
glacierkeep_s2_B	glacierkeep	2	B	OPP	Titanium collected (tiebreak)	1000	v520	1000	119	15	11	16,6	10	14.5	8	0	0	2	2	1	13	2	0	1
glacierkeep_s2_B	glacierkeep	2	B	OPP	Titanium collected (tiebreak)	1000	v520	1000	119	138	343	14,5	4	6.5	8	2	2	2	439	1	782	111	3	1
glacierkeep_s3_A	glacierkeep	3	A	US	Core destroyed	123	v520	123	8	15	11	16,23	5	14.5	8	0	0	2	2	1	13	2	0	1
glacierkeep_s3_B	glacierkeep	3	B	OPP	Core destroyed	769	v520	769	9	15	11	16,6	10	14.5	8	0	0	2	2	1	13	2	0	1
nordkap_s1_A	nordkap	1	A	US	Core destroyed	486	v520	486	11	15	7	10,15	4	12.5	8	0	0	2	2	1	9	1	0	1
nordkap_s1_A	nordkap	1	A	US	Core destroyed	486	v520	486	11	307	257	8,12	26	44.5	8	0	0	2	229	0	-1	3	0	1
nordkap_s1_A	nordkap	1	A	US	Core destroyed	486	v520	486	11	336	271	12,14	13	26.5	8	0	0	2	4	1	275	1	0	1
nordkap_s1_A	nordkap	1	A	US	Core destroyed	486	v520	486	11	356	281	8,20	2	4.5	8	2	2	2	5	1	286	0	0	0
nordkap_s1_A	nordkap	1	A	US	Core destroyed	486	v520	486	11	490	349	12,13	20	36.5	8	0	0	2	4	1	353	1	0	1
nordkap_s1_B	nordkap	1	B	OPP	Core destroyed	339	v520	339	81	17	7	11,11	17	22.5	8	0	0	2	3	1	10	2	0	1
