tag	map	seed	seat	ours	cond	turn	arm	ourcore_dmg	ourcore_heal	ourcore_hp_calc	oppcore_dmg	oppcore_heal	oppcore_hp_calc	heal_back	heal_back_ours	opp_harv_built	opp_belt_built	opp_harv_killed	opp_belt_killed	opp_eco_killed	fwd_gun_n	fwd_gun_first	gun_n	fwd_sent_n	fwd_sent_first	fwd_laun_n	fwd_laun_first	collar_bar_n	unknown_deltas
atoll_s1_A	atoll	1	A	OPP	Core destroyed	200	v520	666	152	-14	0	0	500		0.2282	5	17	0	2	2	0		3	0		4	7	11	
atoll_s1_B	atoll	1	B	OPP	Core destroyed	271	v520	774	272	-2	0	0	500		0.3514	4	14	0	2	2	1	9	2	0		6	7	6	
atoll_s2_A	atoll	2	A	US	Core destroyed	153	v520	0	0	500	595	95	0	0.1597		4	15	0	2	2	1	10	4	0		1	7	6	
atoll_s2_B	atoll	2	B	OPP	Core destroyed	769	v520	4734	4230	-4	36	36	500	1.0	0.8935	5	18	0	2	2	1	9	4	1	190	6	7	7	
atoll_s3_A	atoll	3	A	OPP	Core destroyed	390	v520	864	362	-2	666	484	318	0.7267	0.419	6	17	0	4	4	1	9	4	1	316	5	7	6	
atoll_s3_B	atoll	3	B	OPP	Core destroyed	654	v520	4176	3676	0	0	0	500		0.8803	4	17	0	1	1	1	9	1	0		3	7	8	
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	171	v520	0	0	500	828	320	-8	0.3865		3	14	0	0	0	0		0	2	33	2	13	15	
drakkarfjord_s1_B	drakkarfjord	1	B	US	Core destroyed	116	v520	0	0	500	684	180	-4	0.2632		3	14	0	0	0	0		0	1	40	1	13	12	
drakkarfjord_s2_A	drakkarfjord	2	A	US	Core destroyed	115	v520	0	0	500	738	236	-2	0.3198		2	16	0	0	0	0		0	1	33	1	13	12	
drakkarfjord_s2_B	drakkarfjord	2	B	US	Titanium collected (tiebreak)	1000	v520	0	0	500	3564	3564	500	1.0		4	13	0	0	0	0		0	2	40	2	13	75	
drakkarfjord_s3_A	drakkarfjord	3	A	US	Core destroyed	92	v520	0	0	500	504	0	-4	0.0		3	13	0	0	0	0		0	1	36	1	13	12	
drakkarfjord_s3_B	drakkarfjord	3	B	US	Titanium collected (tiebreak)	1000	v520	0	0	500	3546	3546	500	1.0		3	13	0	0	0	0		0	2	40	2	13	76	
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	428	v520	180	0	320	954	452	-2	0.4738	0.0	10	84	0	0	0	0		2	2	105	3	9	9	
glacierkeep_s1_B	glacierkeep	1	B	OPP	Core destroyed	858	v520	504	0	-4	1224	1052	328	0.8595	0.0	9	82	0	0	0	0		0	1	92	4	9	17	
glacierkeep_s2_A	glacierkeep	2	A	US	Titanium collected (tiebreak)	1000	v520	0	0	500	432	0	68	0.0		10	90	0	0	0	0		1	1	91	3	9	12	
glacierkeep_s2_B	glacierkeep	2	B	OPP	Titanium collected (tiebreak)	1000	v520	0	0	500	1836	1836	500	1.0		11	85	0	0	0	0		0	3	56	3	9	20	
glacierkeep_s3_A	glacierkeep	3	A	US	Core destroyed	123	v520	0	0	500	504	0	-4	0.0		3	17	0	0	0	0		0	1	67	2	9	12	
glacierkeep_s3_B	glacierkeep	3	B	OPP	Core destroyed	769	v520	504	0	-4	0	0	500		0.0	7	67	0	0	0	0		0	0		2	9	7	
midgard_s1_A	midgard	1	A	US	Core destroyed	206	v520	0	0	500	504	0	-4	0.0		8	32	4	8	12	2	38	3	1	150	0		9	
midgard_s1_B	midgard	1	B	OPP	Core destroyed	188	v520	504	0	-4	0	0	500		0.0	7	34	2	8	10	2	35	3	0		0		8	
midgard_s2_A	midgard	2	A	OPP	Core destroyed	168	v520	504	0	-4	792	772	480	0.9747	0.0	6	17	2	4	6	3	34	3	1	43	0		7	
midgard_s2_B	midgard	2	B	US	Core destroyed	525	v520	432	432	500	504	0	-4	0.0	1.0	6	32	1	10	11	1	40	4	2	300	0		9	
midgard_s3_A	midgard	3	A	OPP	Core destroyed	156	v520	504	0	-4	846	416	70	0.4917	0.0	7	42	1	5	6	1	34	1	2	44	0		5	
midgard_s3_B	midgard	3	B	OPP	Core destroyed	449	v520	504	0	-4	54	54	500	1.0	0.0	8	21	4	8	12	2	34	4	1	41	0		9	
nordkap_s1_A	nordkap	1	A	US	Core destroyed	486	v520	0	0	500	1926	1422	-4	0.7383		8	29	2	6	8	2	381	2	3	76	7	5	23	
nordkap_s1_B	nordkap	1	B	OPP	Core destroyed	339	v520	900	396	-4	54	0	446	0.0	0.44	12	38	2	3	5	3	9	3	1	332	5	5	8	
nordkap_s2_A	nordkap	2	A	US	Core destroyed	561	v520	0	0	500	1494	988	-6	0.6613		2	5	0	1	1	0		2	1	49	3	5	53	
nordkap_s2_B	nordkap	2	B	OPP	Core destroyed	429	v520	882	376	-6	306	272	466	0.8889	0.4263	7	25	1	2	3	2	7	2	2	64	3	5	12	
nordkap_s3_A	nordkap	3	A	US	Core destroyed	132	v520	612	612	500	504	0	-4	0.0	1.0	2	5	0	1	1	0		0	1	60	3	5	15	
nordkap_s3_B	nordkap	3	B	US	Core destroyed	153	v520	810	792	482	504	0	-4	0.0	0.9778	2	6	0	2	2	1	9	2	1	76	2	5	11	
yulerune_s1_A	yulerune	1	A	US	Core destroyed	280	v520	0	0	500	504	0	-4	0.0		6	26	2	11	13	3	19	3	2	241	0		15	
yulerune_s1_B	yulerune	1	B	OPP	Core destroyed	435	v520	504	0	-4	0	0	500		0.0	15	77	4	11	15	1	19	2	0		0		6	
yulerune_s2_A	yulerune	2	A	US	Core destroyed	486	v520	738	738	500	504	0	-4	0.0	1.0	7	39	2	10	12	2	19	5	2	436	1	422	16	
yulerune_s2_B	yulerune	2	B	OPP	Core destroyed	228	v520	504	0	-4	54	0	446	0.0	0.0	5	32	2	11	13	1	19	1	1	220	0		10	
yulerune_s3_A	yulerune	3	A	OPP	Core destroyed	193	v520	504	0	-4	0	0	500		0.0	7	32	2	3	5	1	19	1	0		0		9	
yulerune_s3_B	yulerune	3	B	OPP	Core destroyed	445	v520	864	364	0	72	0	428	0.0	0.4213	9	26	6	5	11	3	19	6	1	219	0		21	
atoll_s28_A	atoll	28	A	US	Core destroyed	159	v520	0	0	500	504	0	-4	0.0		4	12	0	3	3	0		0	1	88	2	7	12	
atoll_s28_B	atoll	28	B	US	Core destroyed	609	v520	0	0	500	504	0	-4	0.0		3	13	0	2	2	0		2	1	540	9	7	63	
atoll_s29_A	atoll	29	A	US	Titanium collected (tiebreak)	1000	v520	1800	1800	500	162	0	338	0.0	1.0	3	13	0	4	4	1	9	1	1	64	3	7	11	
atoll_s29_B	atoll	29	B	US	Core destroyed	161	v520	0	0	500	576	76	0	0.1319		5	16	0	3	3	1	16	1	1	60	2	7	7	
atoll_s30_A	atoll	30	A	OPP	Core destroyed	427	v520	2358	1856	-2	0	0	500		0.7871	5	17	0	0	0	1	12	1	0		4	7	6	
atoll_s30_B	atoll	30	B	OPP	Core destroyed	306	v520	504	0	-4	0	0	500		0.0	4	13	0	1	1	0		1	0		3	7	29	
drakkarfjord_s28_A	drakkarfjord	28	A	US	Core destroyed	101	v520	0	0	500	504	0	-4	0.0		3	16	0	0	0	0		0	1	45	1	13	12	
drakkarfjord_s28_B	drakkarfjord	28	B	US	Titanium collected (tiebreak)	1000	v520	0	0	500	1890	1890	500	1.0		4	13	0	0	0	0		0	1	41	23	13	74	
drakkarfjord_s29_A	drakkarfjord	29	A	US	Core destroyed	133	v520	0	0	500	504	0	-4	0.0		2	16	0	0	0	0		0	1	72	2	13	13	
drakkarfjord_s29_B	drakkarfjord	29	B	US	Core destroyed	122	v520	0	0	500	738	232	-6	0.3144		3	14	0	0	0	0		0	1	40	1	13	12	
drakkarfjord_s30_A	drakkarfjord	30	A	US	Core destroyed	92	v520	0	0	500	504	0	-4	0.0		3	13	0	0	0	0		0	1	36	1	13	12	
drakkarfjord_s30_B	drakkarfjord	30	B	OPP	Titanium collected (tiebreak)	1000	v520	0	0	500	0	0	500			9	95	0	1	1	0		0	0		10	13	9	
glacierkeep_s28_A	glacierkeep	28	A	US	Core destroyed	144	v520	0	0	500	504	0	-4	0.0		4	35	0	0	0	0		1	1	75	2	9	11	
glacierkeep_s28_B	glacierkeep	28	B	US	Harvesters (tiebreak)	1000	v520	0	0	500	0	0	500			4	24	0	0	0	0		0	0		2	9	110	
glacierkeep_s29_A	glacierkeep	29	A	US	Core destroyed	190	v520	0	0	500	594	88	-6	0.1481		3	30	0	1	1	0		1	2	100	2	9	19	
glacierkeep_s29_B	glacierkeep	29	B	US	Core destroyed	261	v520	0	0	500	504	0	-4	0.0		3	27	0	0	0	0		0	1	108	3	9	29	
glacierkeep_s30_A	glacierkeep	30	A	US	Core destroyed	123	v520	0	0	500	504	0	-4	0.0		3	17	0	0	0	0		0	1	67	2	9	12	
glacierkeep_s30_B	glacierkeep	30	B	US	Core destroyed	217	v520	0	0	500	504	0	-4	0.0		3	14	0	0	0	0		0	1	68	2	9	26	
midgard_s28_A	midgard	28	A	OPP	Core destroyed	216	v520	504	0	-4	0	0	500		0.0	8	29	2	5	7	1	50	3	0		0		7	
midgard_s28_B	midgard	28	B	US	Core destroyed	377	v520	594	558	464	504	0	-4	0.0	0.9394	7	32	1	7	8	2	35	3	1	280	0		9	
midgard_s29_A	midgard	29	A	US	Core destroyed	301	v520	414	0	86	504	0	-4	0.0	0.0	6	24	3	9	12	2	42	3	1	208	0		9	
midgard_s29_B	midgard	29	B	US	Core destroyed	237	v520	0	0	500	504	0	-4	0.0		7	31	2	9	11	2	41	4	1	181	0		10	
midgard_s30_A	midgard	30	A	OPP	Core destroyed	501	v520	1116	616	0	738	738	500	1.0	0.552	12	43	6	4	10	1	34	3	1	46	0		6	
midgard_s30_B	midgard	30	B	OPP	Core destroyed	317	v520	504	0	-4	0	0	500		0.0	9	30	6	8	14	3	40	5	0		0		9	
nordkap_s28_A	nordkap	28	A	OPP	Core destroyed	575	v520	2052	1548	-4	0	0	500		0.7544	11	58	0	15	15	1	36	1	0		3	5	9	
nordkap_s28_B	nordkap	28	B	US	Core destroyed	153	v520	810	792	482	504	0	-4	0.0	0.9778	2	6	0	2	2	1	9	2	1	76	2	5	11	
nordkap_s29_A	nordkap	29	A	US	Core destroyed	419	v520	216	216	500	1116	612	-4	0.5484	1.0	2	6	0	1	1	0		4	1	55	7	5	42	
nordkap_s29_B	nordkap	29	B	OPP	Core destroyed	243	v520	594	90	-4	0	0	500		0.1515	14	40	8	3	11	2	7	2	0		3	5	12	
nordkap_s30_A	nordkap	30	A	OPP	Core destroyed	526	v520	504	0	-4	360	228	368	0.6333	0.0	19	49	6	1	7	0		1	1	36	3	5	8	
nordkap_s30_B	nordkap	30	B	OPP	Core destroyed	597	v520	864	360	-4	486	486	500	1.0	0.4167	8	27	2	2	4	1	64	1	1	84	2	5	11	
yulerune_s28_A	yulerune	28	A	OPP	Core destroyed	147	v520	504	0	-4	0	0	500		0.0	11	47	4	7	11	1	19	1	0		0		6	
yulerune_s28_B	yulerune	28	B	OPP	Core destroyed	317	v520	828	328	0	0	0	500		0.3961	16	96	5	13	18	1	19	2	0		0		5	
yulerune_s29_A	yulerune	29	A	US	Core destroyed	397	v520	0	0	500	504	0	-4	0.0		9	31	7	10	17	4	19	5	2	359	4	180	20	
yulerune_s29_B	yulerune	29	B	US	Core destroyed	263	v520	0	0	500	504	0	-4	0.0		9	40	5	7	12	1	19	5	2	221	0		16	
yulerune_s30_A	yulerune	30	A	OPP	Core destroyed	304	v520	504	0	-4	0	0	500		0.0	10	43	4	12	16	1	19	2	0		0		7	
