file	team	kind	band	turns	tled	exec_sum	exec_max	over10k
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	0	core	r0_99	100	0	3779	191	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	1	core	r0_99	100	0	5610	492	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	0	builder_bot	r0_99	485	1	166156	11059	1
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	1	builder_bot	r0_99	294	0	79411	1375	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	0	sentinel	r0_99	97	0	9272	132	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	1	launcher	r0_99	97	0	18895	1024	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	1	sentinel	r0_99	189	0	11825	119	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	1	gunner	r0_99	85	0	5370	110	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	0	core	r100_249	29	0	1067	58	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	1	core	r100_249	29	0	1428	62	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	0	builder_bot	r100_249	145	0	62733	1533	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	1	builder_bot	r100_249	87	0	20413	705	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	0	sentinel	r100_249	29	0	2925	113	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	1	launcher	r100_249	29	0	4816	198	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	1	sentinel	r100_249	58	0	4078	125	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_3.replay26	1	gunner	r100_249	29	0	2156	87	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	0	core	r0_99	100	0	4060	213	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	core	r0_99	100	0	5480	567	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	0	builder_bot	r0_99	485	0	93375	3767	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	builder_bot	r0_99	294	0	107982	1615	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	launcher	r0_99	97	0	21263	1226	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	0	sentinel	r0_99	280	0	25856	129	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	sentinel	r0_99	189	0	9743	98	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	gunner	r0_99	85	0	4614	106	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	0	core	r100_249	150	0	5221	81	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	core	r100_249	150	0	6690	68	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	0	builder_bot	r100_249	750	0	114374	482	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	builder_bot	r100_249	450	0	143955	899	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	launcher	r100_249	150	0	30595	240	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	0	sentinel	r100_249	450	0	41279	122	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	sentinel	r100_249	300	0	17029	95	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	gunner	r100_249	150	0	7509	72	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	0	core	r250_499	250	0	8611	85	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	core	r250_499	250	0	11011	66	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	0	builder_bot	r250_499	1250	0	189204	533	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	builder_bot	r250_499	750	0	240437	904	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	launcher	r250_499	250	0	50790	226	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	0	sentinel	r250_499	750	0	68858	122	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	sentinel	r250_499	500	0	28530	105	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	gunner	r250_499	250	0	12471	68	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	0	core	r500p	500	0	17415	90	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	core	r500p	500	0	22166	66	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	0	builder_bot	r500p	2500	0	358541	451	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	builder_bot	r500p	1500	0	471111	910	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	launcher	r500p	500	0	101973	246	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	0	sentinel	r500p	1500	0	135684	129	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	sentinel	r500p	1000	0	57019	107	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_4.replay26	1	gunner	r500p	500	0	25096	82	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_5.replay26	0	core	r0_99	85	0	4472	219	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_5.replay26	1	core	r0_99	85	0	4910	507	0
01e4679f-eca5-47be-845f-40a7fad4e8bc_game_5.replay26	0	builder_bot	r0_99	410	0	152836	4615	0
