file	eid	thrown	born_rnd	thrown_rnd	removed_rnd	survived_to_end	undamaged	no_damage_removal	dist_bucket	thrown_border	border_any	throw_n	mw	mh	rounds
957bf2f5-b52c-4f55-86b7-15d58dcdd159_game_3.replay26	8	1	2	26	-1	1	1	0	mid	0	0	11	24	24	193
957bf2f5-b52c-4f55-86b7-15d58dcdd159_game_3.replay26	29	1	14	58	-1	1	0	0	far	0	0	3	24	24	193
957bf2f5-b52c-4f55-86b7-15d58dcdd159_game_3.replay26	59	1	29	36	119	0	0	0	far	0	0	2	24	24	193
957bf2f5-b52c-4f55-86b7-15d58dcdd159_game_3.replay26	205	1	97	101	-1	1	1	0	mid	0	0	1	24	24	193
957bf2f5-b52c-4f55-86b7-15d58dcdd159_game_3.replay26	243	1	109	113	-1	1	1	0	mid	0	0	1	24	24	193
957bf2f5-b52c-4f55-86b7-15d58dcdd159_game_3.replay26	281	0	121	-1	-1	1	0	0	near	-1	-1	0	24	24	193
957bf2f5-b52c-4f55-86b7-15d58dcdd159_game_3.replay26	324	1	133	135	-1	1	1	0	near	0	0	1	24	24	193
957bf2f5-b52c-4f55-86b7-15d58dcdd159_game_3.replay26	365	1	145	148	-1	1	1	0	mid	0	0	1	24	24	193
957bf2f5-b52c-4f55-86b7-15d58dcdd159_game_3.replay26	410	0	157	-1	-1	1	1	0	near	-1	-1	0	24	24	193
957bf2f5-b52c-4f55-86b7-15d58dcdd159_game_3.replay26	459	1	169	185	-1	1	1	0	near	0	0	1	24	24	193
957bf2f5-b52c-4f55-86b7-15d58dcdd159_game_3.replay26	508	1	181	184	-1	1	1	0	mid	0	0	1	24	24	193
3d2150b9-e4df-418c-944b-696779b61b28_game_5.replay26	4	0	0	-1	-1	1	1	0	near	-1	-1	0	26	26	222
3d2150b9-e4df-418c-944b-696779b61b28_game_5.replay26	6	1	1	65	-1	1	1	0	far	1	1	9	26	26	222
3d2150b9-e4df-418c-944b-696779b61b28_game_5.replay26	8	0	2	-1	-1	1	1	0	mid	-1	-1	0	26	26	222
3d2150b9-e4df-418c-944b-696779b61b28_game_5.replay26	35	0	19	-1	-1	1	1	0	near	-1	-1	0	26	26	222
3d2150b9-e4df-418c-944b-696779b61b28_game_5.replay26	39	0	20	-1	-1	1	1	0	near	-1	-1	0	26	26	222
3d2150b9-e4df-418c-944b-696779b61b28_game_5.replay26	239	0	85	-1	170	0	0	0	far	-1	-1	0	26	26	222
3d2150b9-e4df-418c-944b-696779b61b28_game_5.replay26	246	1	88	214	-1	1	1	0	far	0	0	2	26	26	222
3d2150b9-e4df-418c-944b-696779b61b28_game_5.replay26	249	0	89	-1	-1	1	1	0	near	-1	-1	0	26	26	222
3d2150b9-e4df-418c-944b-696779b61b28_game_5.replay26	333	0	121	-1	159	0	0	0	far	-1	-1	0	26	26	222
3d2150b9-e4df-418c-944b-696779b61b28_game_5.replay26	375	0	132	-1	163	0	0	0	far	-1	-1	0	26	26	222
16a4917b-47d3-46ce-847b-7850358c4f73_game_2.replay26	4	0	0	-1	-1	1	1	0	far	-1	-1	0	18	18	94
16a4917b-47d3-46ce-847b-7850358c4f73_game_2.replay26	6	0	1	-1	-1	1	1	0	far	-1	-1	0	18	18	94
16a4917b-47d3-46ce-847b-7850358c4f73_game_2.replay26	8	0	2	-1	-1	1	1	0	far	-1	-1	0	18	18	94
16a4917b-47d3-46ce-847b-7850358c4f73_game_2.replay26	10	1	3	91	-1	1	1	0	far	0	0	1	18	18	94
50fd72bb-d5fe-4a0b-85f7-15355bbacaca_game_1.replay26	3	0	0	-1	156	0	0	0	near	-1	-1	0	10	10	408
50fd72bb-d5fe-4a0b-85f7-15355bbacaca_game_1.replay26	5	0	1	-1	-1	1	0	0	near	-1	-1	0	10	10	408
50fd72bb-d5fe-4a0b-85f7-15355bbacaca_game_1.replay26	27	0	221	-1	274	0	0	0	near	-1	-1	0	10	10	408
50fd72bb-d5fe-4a0b-85f7-15355bbacaca_game_1.replay26	28	0	229	-1	-1	1	0	0	near	-1	-1	0	10	10	408
50fd72bb-d5fe-4a0b-85f7-15355bbacaca_game_1.replay26	75	0	349	-1	-1	1	1	0	near	-1	-1	0	10	10	408
50fd72bb-d5fe-4a0b-85f7-15355bbacaca_game_1.replay26	82	0	360	-1	-1	1	1	0	near	-1	-1	0	10	10	408
50fd72bb-d5fe-4a0b-85f7-15355bbacaca_game_1.replay26	104	0	400	-1	-1	1	1	0	near	-1	-1	0	10	10	408
d128174b-42d2-40b3-b290-9a00913d07bc_game_2.replay26	3	1	0	2	-1	1	1	0	mid	0	0	1	16	16	316
d128174b-42d2-40b3-b290-9a00913d07bc_game_2.replay26	5	1	1	3	136	0	0	0	far	0	0	2	16	16	316
d128174b-42d2-40b3-b290-9a00913d07bc_game_2.replay26	11	1	4	4	-1	1	1	0	near	1	1	1	16	16	316
d128174b-42d2-40b3-b290-9a00913d07bc_game_2.replay26	20	0	7	-1	-1	1	1	0	mid	-1	-1	0	16	16	316
d128174b-42d2-40b3-b290-9a00913d07bc_game_2.replay26	105	0	60	-1	-1	1	1	0	mid	-1	-1	0	16	16	316
d128174b-42d2-40b3-b290-9a00913d07bc_game_2.replay26	261	0	168	-1	-1	1	1	0	mid	-1	-1	0	16	16	316
d128174b-42d2-40b3-b290-9a00913d07bc_game_2.replay26	318	0	204	-1	-1	1	1	0	near	-1	-1	0	16	16	316
d128174b-42d2-40b3-b290-9a00913d07bc_game_2.replay26	343	0	224	-1	-1	1	1	0	near	-1	-1	0	16	16	316
d128174b-42d2-40b3-b290-9a00913d07bc_game_2.replay26	377	0	256	-1	-1	1	1	0	near	-1	-1	0	16	16	316
d128174b-42d2-40b3-b290-9a00913d07bc_game_2.replay26	395	0	269	-1	-1	1	1	0	near	-1	-1	0	16	16	316
d128174b-42d2-40b3-b290-9a00913d07bc_game_2.replay26	410	0	284	-1	-1	1	1	0	near	-1	-1	0	16	16	316
05c036d8-0535-418e-8b6a-c8f2981f1b3e_game_2.replay26	4	0	0	-1	-1	1	1	0	far	-1	-1	0	25	25	1000
05c036d8-0535-418e-8b6a-c8f2981f1b3e_game_2.replay26	6	0	1	-1	-1	1	1	0	far	-1	-1	0	25	25	1000
05c036d8-0535-418e-8b6a-c8f2981f1b3e_game_2.replay26	8	0	2	-1	-1	1	1	0	far	-1	-1	0	25	25	1000
05c036d8-0535-418e-8b6a-c8f2981f1b3e_game_2.replay26	56	0	28	-1	-1	1	1	0	near	-1	-1	0	25	25	1000
05c036d8-0535-418e-8b6a-c8f2981f1b3e_game_2.replay26	59	0	29	-1	-1	1	1	0	near	-1	-1	0	25	25	1000
05c036d8-0535-418e-8b6a-c8f2981f1b3e_game_2.replay26	1466	0	650	-1	-1	1	1	0	mid	-1	-1	0	25	25	1000
fa04e211-022a-4281-80d9-e88c09f440d1_game_1.replay26	4	0	0	-1	-1	1	1	0	near	-1	-1	0	10	10	279
fa04e211-022a-4281-80d9-e88c09f440d1_game_1.replay26	6	0	1	-1	132	0	0	0	near	-1	-1	0	10	10	279
fa04e211-022a-4281-80d9-e88c09f440d1_game_1.replay26	9	0	2	-1	-1	1	1	0	near	-1	-1	0	10	10	279
fa04e211-022a-4281-80d9-e88c09f440d1_game_1.replay26	91	0	77	-1	-1	1	1	0	near	-1	-1	0	10	10	279
fa04e211-022a-4281-80d9-e88c09f440d1_game_1.replay26	152	0	264	-1	-1	1	1	0	near	-1	-1	0	10	10	279
708cd162-06bb-46c4-9644-ac89474a15aa_game_4.replay26	4	0	0	-1	-1	1	1	0	near	-1	-1	0	28	20	700
708cd162-06bb-46c4-9644-ac89474a15aa_game_4.replay26	6	0	1	-1	-1	1	1	0	near	-1	-1	0	28	20	700
708cd162-06bb-46c4-9644-ac89474a15aa_game_4.replay26	8	0	2	-1	366	0	0	0	mid	-1	-1	0	28	20	700
708cd162-06bb-46c4-9644-ac89474a15aa_game_4.replay26	10	0	3	-1	164	0	0	0	mid	-1	-1	0	28	20	700
708cd162-06bb-46c4-9644-ac89474a15aa_game_4.replay26	173	0	376	-1	-1	1	0	0	near	-1	-1	0	28	20	700
708cd162-06bb-46c4-9644-ac89474a15aa_game_4.replay26	421	0	653	-1	-1	1	1	0	near	-1	-1	0	28	20	700
015bf4e6-255c-4b50-897d-1f937b69c381_game_5.replay26	3	1	0	18	-1	1	0	0	near	0	1	22	25	25	136
015bf4e6-255c-4b50-897d-1f937b69c381_game_5.replay26	5	1	1	6	75	0	1	1	near	0	0	1	25	25	136
015bf4e6-255c-4b50-897d-1f937b69c381_game_5.replay26	8	1	2	4	50	0	0	0	far	0	0	1	25	25	136
015bf4e6-255c-4b50-897d-1f937b69c381_game_5.replay26	11	1	3	5	-1	1	1	0	near	0	1	8	25	25	136
015bf4e6-255c-4b50-897d-1f937b69c381_game_5.replay26	225	1	120	122	-1	1	1	0	far	0	0	3	25	25	136
015bf4e6-255c-4b50-897d-1f937b69c381_game_5.replay26	245	1	132	134	-1	1	1	0	mid	0	0	2	25	25	136
7b9153f1-bd72-4f20-b7f0-cc2b8bf75419_game_5.replay26	3	0	0	-1	-1	1	1	0	near	-1	-1	0	26	26	144
7b9153f1-bd72-4f20-b7f0-cc2b8bf75419_game_5.replay26	5	0	1	-1	-1	1	1	0	near	-1	-1	0	26	26	144
7b9153f1-bd72-4f20-b7f0-cc2b8bf75419_game_5.replay26	7	0	2	-1	-1	1	1	0	far	-1	-1	0	26	26	144
7b9153f1-bd72-4f20-b7f0-cc2b8bf75419_game_5.replay26	190	0	116	-1	-1	1	1	0	near	-1	-1	0	26	26	144
7b9153f1-bd72-4f20-b7f0-cc2b8bf75419_game_5.replay26	193	0	117	-1	-1	1	1	0	far	-1	-1	0	26	26	144
7b9153f1-bd72-4f20-b7f0-cc2b8bf75419_game_5.replay26	196	0	118	-1	-1	1	1	0	far	-1	-1	0	26	26	144
7b9153f1-bd72-4f20-b7f0-cc2b8bf75419_game_5.replay26	199	0	119	-1	-1	1	1	0	far	-1	-1	0	26	26	144
