file	team	kind	band	turns	tled	exec_sum	exec_max	over10k
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	0	core	r0_99	100	0	3329	308	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	1	core	r0_99	100	0	41751	891	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	0	builder_bot	r0_99	287	0	782042	6831	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	1	builder_bot	r0_99	356	0	147553	1198	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	0	launcher	r0_99	191	0	18023	160	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	0	gunner	r0_99	262	0	11546	123	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	1	gunner	r0_99	73	0	873	60	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	0	core	r100_249	150	0	4792	103	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	1	core	r100_249	150	0	59355	502	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	0	builder_bot	r100_249	525	0	1401725	7558	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	1	builder_bot	r100_249	151	0	76015	602	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	0	launcher	r100_249	488	0	42585	157	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	0	gunner	r100_249	692	0	49655	201	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	1	gunner	r100_249	193	0	2310	66	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	0	core	r250_499	250	0	7177	56	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	1	core	r250_499	250	0	115201	506	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	0	builder_bot	r250_499	1000	0	1920587	7030	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	1	builder_bot	r250_499	250	0	126914	582	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	0	launcher	r250_499	546	0	52974	141	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	0	gunner	r250_499	1250	0	113849	200	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	1	gunner	r250_499	250	0	2581	23	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	0	core	r500p	500	0	13876	56	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_1.replay26	1	core	r500p	500	0	230567	521	0
