file	ver	kind	x	y	build	death	gend	onset	nbelt	eaten	fwd	d2bc	d2opp
27432187-7dfd-41b4-ac80-046c78213943_game_2.replay26	47	sentinel	29	28	60	70	284	60	16	0	True	13	1405
27432187-7dfd-41b4-ac80-046c78213943_game_2.replay26	47	sentinel	29	25	78	95	284	78	25	1	True	10	1258
27432187-7dfd-41b4-ac80-046c78213943_game_2.replay26	47	gunner	3	0	124	174	284		0	0	False	1205	5
27432187-7dfd-41b4-ac80-046c78213943_game_3.replay26	47	sentinel	10	12	19	27	156	19	27	0	True	26	122
27432187-7dfd-41b4-ac80-046c78213943_game_4.replay26	47	sentinel	23	4	42	58	169	42	14	0	True	9	841
27432187-7dfd-41b4-ac80-046c78213943_game_4.replay26	47	sentinel	24	3	85	93	169	85	11	0	True	5	925
27432187-7dfd-41b4-ac80-046c78213943_game_4.replay26	47	gunner	2	22	108	140	169		0	0	False	900	4
27432187-7dfd-41b4-ac80-046c78213943_game_4.replay26	47	gunner	5	25	143		169		0	0	False	882	10
27432187-7dfd-41b4-ac80-046c78213943_game_5.replay26	47	sentinel	16	16	21	28	996	21	25	0	True	8	242
27432187-7dfd-41b4-ac80-046c78213943_game_5.replay26	47	sentinel	10	4	26	54	996		0	0	False	260	26
27432187-7dfd-41b4-ac80-046c78213943_game_5.replay26	47	sentinel	21	21	61	75	996	61	12	0	True	18	512
27432187-7dfd-41b4-ac80-046c78213943_game_5.replay26	47	sentinel	10	7	77	992	996		0	0	False	185	29
27432187-7dfd-41b4-ac80-046c78213943_game_5.replay26	47	sentinel	12	5	140		996		0	0	False	205	49
27432187-7dfd-41b4-ac80-046c78213943_game_5.replay26	47	gunner	3	8	163		996		0	0	False	325	13
27432187-7dfd-41b4-ac80-046c78213943_game_5.replay26	47	sentinel	10	3	191		996		0	0	False	289	29
27432187-7dfd-41b4-ac80-046c78213943_game_5.replay26	47	sentinel	3	3	219	399	996		0	0	False	450	8
27432187-7dfd-41b4-ac80-046c78213943_game_5.replay26	47	gunner	9	4	242		996		0	0	False	277	17
27432187-7dfd-41b4-ac80-046c78213943_game_5.replay26	47	sentinel	16	20	584	935	996	584	21	0	True	8	346
32920335-2316-45da-a65f-67e8a0f7c844_game_1.replay26	47	gunner	15	23	24	30	131	24	13	0	True	10	442
32920335-2316-45da-a65f-67e8a0f7c844_game_1.replay26	47	gunner	15	25	29	33	131	29	5	0	True	2	530
32920335-2316-45da-a65f-67e8a0f7c844_game_2.replay26	47	gunner	18	15	25	29	115	25	6	0	True	9	269
32920335-2316-45da-a65f-67e8a0f7c844_game_2.replay26	47	gunner	19	15	26	34	115	26	7	0	True	10	296
32920335-2316-45da-a65f-67e8a0f7c844_game_2.replay26	47	gunner	18	17	32	42	115	32	9	0	True	1	313
32920335-2316-45da-a65f-67e8a0f7c844_game_3.replay26	47	gunner	28	26	56	76	84	56	3	1	True	4	1252
32920335-2316-45da-a65f-67e8a0f7c844_game_3.replay26	47	gunner	26	25	61	79	84	61	8	0	True	1	1105
32920335-2316-45da-a65f-67e8a0f7c844_game_3.replay26	47	gunner	28	27	62	80	84	62	3	0	True	5	1301
32920335-2316-45da-a65f-67e8a0f7c844_game_3.replay26	47	gunner	26	28	68		84	68	5	0	True	4	1252
32920335-2316-45da-a65f-67e8a0f7c844_game_4.replay26	47	gunner	9	15	11	16	148		16	0	True	9	81
32920335-2316-45da-a65f-67e8a0f7c844_game_4.replay26	47	gunner	10	15	16	24	148	24	18	0	True	10	82
32920335-2316-45da-a65f-67e8a0f7c844_game_4.replay26	47	gunner	9	17	72	83	148	72	16	0	True	1	121
32920335-2316-45da-a65f-67e8a0f7c844_game_4.replay26	47	gunner	8	18	112	119	148	112	12	0	True	1	145
32920335-2316-45da-a65f-67e8a0f7c844_game_5.replay26	47	gunner	10	6	19	28	115	19	3	0	True	17	101
32920335-2316-45da-a65f-67e8a0f7c844_game_5.replay26	47	gunner	9	6	20	35	115	20	3	0	True	16	100
32920335-2316-45da-a65f-67e8a0f7c844_game_5.replay26	47	gunner	10	4	28	33	115	28	5	0	True	5	145
32920335-2316-45da-a65f-67e8a0f7c844_game_5.replay26	47	gunner	13	2	66	71	115	66	10	0	True	16	212
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_1.replay26	47	sentinel	0	2	38	50	149	38	10	2	True	4	1252
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_1.replay26	47	sentinel	24	29	87	98	149		0	0	False	1213	13
