f3a188e1-46e0-49e4-a829-21e854eb750b_game_5.replay26	1	DinooniD
4bb7637f-7dbe-4808-b552-a3b51ddb44b0_game_5.replay26	1	kladde chatte tville (och oss)
cec7a25d-d702-4ebd-9557-f997add0e04d_game_4.replay26	1	I Stone
34dd5e1f-cd0b-4d8e-b0ab-78c017a2bf59_game_5.replay26	1	team lazy
f2c005e8-b3b9-4611-846a-8bcb4e7b94cb_game_2.replay26	0	Torsko
a649cd73-bf46-4644-b965-605ff32ae621_game_5.replay26	0	Torsko
3f357605-b7d8-449e-aef6-37c399719107_game_1.replay26	0	TRRR
9502391d-d24f-4316-826b-02a121cf2bea_game_5.replay26	0	Erebus
f3a188e1-46e0-49e4-a829-21e854eb750b_game_3.replay26	1	DinooniD
9f9439bf-d15c-43f1-9b08-cc3379ff5b75_game_4.replay26	1	farming_200s
92e0367a-3475-4095-8c25-cb95af946071_game_4.replay26	0	DinooniD
974dbbec-f09d-43b5-a1b9-8e84f61a94ad_game_5.replay26	1	I Stone
65c3a6eb-af59-410f-b05b-0efdf0e4c74c_game_5.replay26	1	farming_200s
2a64e15e-8b4d-461b-b2c2-1c6472807b41_game_4.replay26	1	Torsko
db54c075-c89b-4f2c-850e-bf00f9f59a3a_game_4.replay26	1	Banminary
81c5c93b-a65a-4949-8aec-d8785d3911a4_game_3.replay26	1	DinooniD
cb9b2822-27e4-4752-83da-6a41419a9ab6_game_3.replay26	1	not adgato
6bf8980e-d270-471b-afed-06ab626d65f1_game_5.replay26	0	kladde chatte tville (och oss)
974dbbec-f09d-43b5-a1b9-8e84f61a94ad_game_1.replay26	1	I Stone
c5c6849a-00e8-43db-b63f-8a50783739fc_game_4.replay26	0	kladde chatte tville (och oss)
c70a3af6-af4f-443a-b652-779b02ecab2a_game_3.replay26	0	I Stone
0150bf5b-c73a-425a-a9a8-7f37479372a8_game_1.replay26	1	DinooniD
4bb7637f-7dbe-4808-b552-a3b51ddb44b0_game_4.replay26	1	kladde chatte tville (och oss)
712152e4-2d92-4808-b84e-613d725cf8dd_game_2.replay26	1	Torsko
32b80f90-9ac4-4c4e-9d80-528b785e5526_game_1.replay26	1	Bean counters
077019c9-9896-4079-a565-19e87056da70_game_3.replay26	1	DinooniD
2ee41823-9589-4ba2-aea0-6b627993f778_game_3.replay26	0	Jython
a3ead0e1-8353-4b78-88ce-ec66940b0dab_game_3.replay26	1	farming_200s
db54c075-c89b-4f2c-850e-bf00f9f59a3a_game_5.replay26	1	Banminary
993e749d-05bc-4af3-9aeb-f873dac0022a_game_1.replay26	1	not adgato
92e0367a-3475-4095-8c25-cb95af946071_game_5.replay26	0	DinooniD
a19726cb-f94f-4478-8fda-367e3b642db2_game_4.replay26	1	Well have a look
695f892a-a3e5-42bb-a966-bbde65d3f4b3_game_3.replay26	1	farming_200s
34dd5e1f-cd0b-4d8e-b0ab-78c017a2bf59_game_2.replay26	1	team lazy
6ec0d162-58af-4836-acc9-5734e559def0_game_5.replay26	0	lingling_40h
cb9b2822-27e4-4752-83da-6a41419a9ab6_game_5.replay26	1	not adgato
27adbbf1-5b28-4995-ba69-a7a2b8bb7f95_game_2.replay26	1	kladde chatte tville (och oss)
99bb733a-5ffe-4d72-bc95-809bec619d05_game_4.replay26	0	kladde chatte tville (och oss)
db54c075-c89b-4f2c-850e-bf00f9f59a3a_game_2.replay26	1	Banminary
2f254fee-44d9-470c-b8a5-939d6561dd47_game_3.replay26	0	Torsko
0ba532cc-31ff-4267-a288-e0c0f6285142_game_4.replay26	0	TRRR
99bb733a-5ffe-4d72-bc95-809bec619d05_game_2.replay26	0	kladde chatte tville (och oss)
b950ad1e-5ed5-44c8-897b-b172610fe6b3_game_3.replay26	0	Torsko
3f357605-b7d8-449e-aef6-37c399719107_game_5.replay26	0	TRRR
e0c1afe9-8160-4234-8564-15bf0ed2b7ff_game_5.replay26	1	farming_200s
cec7a25d-d702-4ebd-9557-f997add0e04d_game_2.replay26	1	I Stone
5ba16ac8-3f34-4662-b90b-f638fe3aa13d_game_5.replay26	0	farming_200s
5acd145d-ee2f-4954-9f7f-fcf25bac0036_game_4.replay26	0	not adgato
5ba16ac8-3f34-4662-b90b-f638fe3aa13d_game_3.replay26	0	farming_200s
e2c418e6-4341-4dfe-bdb6-ac1330da8082_game_2.replay26	1	Well have a look
2f254fee-44d9-470c-b8a5-939d6561dd47_game_4.replay26	0	Torsko
c0643408-6a03-4e5d-abc0-d683eaad4a76_game_4.replay26	0	farming_200s
0150bf5b-c73a-425a-a9a8-7f37479372a8_game_4.replay26	1	DinooniD
c70a3af6-af4f-443a-b652-779b02ecab2a_game_1.replay26	0	I Stone
e0e72d55-c9cb-4213-8f5f-f1855cc66c2b_game_3.replay26	0	not adgato
0beb09c5-16c3-4749-82da-c0ccd4ded8c3_game_5.replay26	0	not adgato
6ec0d162-58af-4836-acc9-5734e559def0_game_1.replay26	0	lingling_40h
3b7973f2-8a6a-4fd1-8aa7-443e186a10df_game_2.replay26	1	TRRR
a19726cb-f94f-4478-8fda-367e3b642db2_game_2.replay26	1	Well have a look
81c5c93b-a65a-4949-8aec-d8785d3911a4_game_1.replay26	1	DinooniD
88d21614-b0fe-4280-ba10-9ed77138e66a_game_2.replay26	0	team lazy
99f09742-eda3-46e6-a6cb-77ed8e31e6d2_game_2.replay26	0	Juusto
cb9b2822-27e4-4752-83da-6a41419a9ab6_game_4.replay26	1	not adgato
b950ad1e-5ed5-44c8-897b-b172610fe6b3_game_5.replay26	0	Torsko
7c0e1895-5730-4333-a9f7-7ff89e26491d_game_1.replay26	1	Banminary
6db3add5-263a-4e67-a925-acaf8fc3b237_game_1.replay26	0	kladde chatte tville (och oss)
9e8a4116-0894-4aa1-908c-6e24a6bdc49a_game_2.replay26	0	Pantheon
450532fd-43e7-4519-90ae-2b7b081c0cb8_game_1.replay26	0	Torsko
6bf8980e-d270-471b-afed-06ab626d65f1_game_1.replay26	0	kladde chatte tville (och oss)
e0c1afe9-8160-4234-8564-15bf0ed2b7ff_game_3.replay26	1	farming_200s
be369d82-a6fd-47d1-a09c-c69f45c593c7_game_3.replay26	0	Big O
082a0792-5d31-4c42-b122-f2bb13a60d08_game_2.replay26	1	farming_200s
0150bf5b-c73a-425a-a9a8-7f37479372a8_game_5.replay26	1	DinooniD
2ecd2242-c42f-4c31-ba8a-f9e2b5c1668c_game_3.replay26	1	Big O
7c0e1895-5730-4333-a9f7-7ff89e26491d_game_4.replay26	1	Banminary
73e920b9-1052-4a86-afd0-7156ea59df65_game_3.replay26	1	kladde chatte tville (och oss)
a3ead0e1-8353-4b78-88ce-ec66940b0dab_game_1.replay26	1	farming_200s
99bb733a-5ffe-4d72-bc95-809bec619d05_game_3.replay26	0	kladde chatte tville (och oss)
92113655-88aa-41fb-9bc6-e49782c4281f_game_1.replay26	0	Leviathan
2ee41823-9589-4ba2-aea0-6b627993f778_game_2.replay26	0	Jython
b950ad1e-5ed5-44c8-897b-b172610fe6b3_game_1.replay26	0	Torsko
32b80f90-9ac4-4c4e-9d80-528b785e5526_game_2.replay26	1	Bean counters
d29a06d6-7ca0-4a91-a4ad-ce6777fdfecc_game_5.replay26	0	Torsko
81c5c93b-a65a-4949-8aec-d8785d3911a4_game_4.replay26	1	DinooniD
c68d26ab-474a-4ae2-9716-d473eb35ce23_game_5.replay26	1	Juusto
6db3add5-263a-4e67-a925-acaf8fc3b237_game_3.replay26	0	kladde chatte tville (och oss)
