Update available: 2.3.6 -> 2.3.7. Run: pip install --upgrade fcode
Running match: _v131loki14off vs _probe_border_raw
BRAW r=21 unit=6 pos=(8,7) alive
BRAW r=21 unit=8 pos=(8,5) alive
BRAW r=21 unit=10 pos=(13,1) alive
Traceback (most recent call last):
  File "/Users/junghard/Projects/Work/florent-code-game/bots/_probe_border_raw/main.py", line 54, in run
    ct.get_tile_env(p.add(d))
    ~~~~~~~~~~~~~~~^^^^^^^^^^
fcode._types.GameError: Position out of bounds
BRAW r=21 unit=16 pos=(6,6) alive
BRAW r=21 unit=34 pos=(7,9) alive
BRAW r=21 unit=36 pos=(8,10) alive
BRAW r=22 unit=4 pos=(7,7) alive
BRAW r=22 unit=6 pos=(8,6) alive
BRAW r=22 unit=8 pos=(8,4) alive
BRAW r=22 unit=16 pos=(6,7) alive
BRAW r=22 unit=34 pos=(7,10) alive
BRAW r=22 unit=36 pos=(8,9) alive
BRAW r=23 unit=4 pos=(7,6) alive
BRAW r=23 unit=6 pos=(8,5) alive
BRAW r=23 unit=8 pos=(13,1) alive
Traceback (most recent call last):
  File "/Users/junghard/Projects/Work/florent-code-game/bots/_probe_border_raw/main.py", line 54, in run
    ct.get_tile_env(p.add(d))
    ~~~~~~~~~~~~~~~^^^^^^^^^^
fcode._types.GameError: Position out of bounds
BRAW r=23 unit=16 pos=(6,6) alive
BRAW r=23 unit=34 pos=(7,9) alive
BRAW r=23 unit=36 pos=(8,8) alive
BRAW r=23 unit=40 pos=(7,11) alive
BRAW r=24 unit=4 pos=(7,7) alive
BRAW r=24 unit=6 pos=(8,4) alive
BRAW r=24 unit=16 pos=(6,7) alive
BRAW r=24 unit=34 pos=(7,10) alive
BRAW r=24 unit=36 pos=(8,7) alive
BRAW r=24 unit=40 pos=(8,11) alive
BRAW r=25 unit=4 pos=(7,6) alive
BRAW r=25 unit=6 pos=(13,1) alive
Traceback (most recent call last):
  File "/Users/junghard/Projects/Work/florent-code-game/bots/_probe_border_raw/main.py", line 54, in run
    ct.get_tile_env(p.add(d))
    ~~~~~~~~~~~~~~~^^^^^^^^^^
fcode._types.GameError: Position out of bounds
BRAW r=25 unit=16 pos=(6,6) alive
BRAW r=25 unit=34 pos=(7,9) alive
BRAW r=25 unit=36 pos=(8,6) alive
BRAW r=25 unit=40 pos=(8,10) alive
BRAW r=26 unit=4 pos=(7,7) alive
BRAW r=26 unit=16 pos=(6,7) alive
BRAW r=26 unit=34 pos=(7,10) alive
BRAW r=26 unit=36 pos=(8,5) alive
BRAW r=26 unit=40 pos=(8,9) alive
BRAW r=27 unit=4 pos=(7,6) alive
BRAW r=27 unit=16 pos=(6,6) alive
BRAW r=27 unit=34 pos=(7,9) alive
BRAW r=27 unit=36 pos=(8,4) alive
BRAW r=27 unit=40 pos=(8,8) alive
BRAW r=28 unit=4 pos=(7,7) alive
BRAW r=28 unit=16 pos=(6,7) alive
BRAW r=28 unit=34 pos=(7,10) alive
BRAW r=28 unit=36 pos=(8,5) alive
BRAW r=28 unit=40 pos=(8,7) alive
BRAW r=29 unit=4 pos=(7,6) alive
BRAW r=29 unit=16 pos=(6,6) alive
BRAW r=29 unit=34 pos=(7,9) alive
BRAW r=29 unit=36 pos=(8,6) alive
BRAW r=29 unit=40 pos=(8,8) alive
BRAW r=30 unit=4 pos=(7,7) alive
BRAW r=30 unit=16 pos=(6,7) alive
BRAW r=30 unit=34 pos=(7,10) alive
BRAW r=30 unit=36 pos=(8,5) alive
BRAW r=30 unit=40 pos=(8,7) alive
BRAW r=31 unit=4 pos=(7,6) alive
BRAW r=31 unit=16 pos=(6,6) alive
BRAW r=31 unit=34 pos=(7,9) alive
BRAW r=31 unit=36 pos=(8,4) alive
BRAW r=31 unit=40 pos=(8,6) alive
BRAW r=32 unit=4 pos=(7,7) alive
BRAW r=32 unit=16 pos=(6,7) alive
BRAW r=32 unit=34 pos=(7,10) alive
BRAW r=32 unit=36 pos=(8,5) alive
BRAW r=32 unit=40 pos=(8,7) alive
BRAW r=33 unit=4 pos=(7,6) alive
BRAW r=33 unit=16 pos=(6,6) alive
BRAW r=33 unit=34 pos=(7,9) alive
BRAW r=33 unit=36 pos=(8,6) alive
BRAW r=33 unit=40 pos=(8,8) alive
BRAW r=34 unit=4 pos=(7,7) alive
BRAW r=34 unit=16 pos=(6,7) alive
BRAW r=34 unit=34 pos=(7,10) alive
BRAW r=34 unit=36 pos=(8,7) alive
BRAW r=34 unit=40 pos=(8,9) alive
BRAW r=35 unit=4 pos=(7,6) alive
BRAW r=35 unit=16 pos=(6,6) alive
BRAW r=35 unit=34 pos=(7,9) alive
BRAW r=35 unit=36 pos=(8,8) alive
BRAW r=35 unit=40 pos=(8,10) alive
BRAW r=36 unit=4 pos=(7,7) alive
BRAW r=36 unit=16 pos=(6,7) alive
BRAW r=36 unit=34 pos=(7,10) alive
BRAW r=36 unit=36 pos=(8,7) alive
BRAW r=36 unit=40 pos=(8,9) alive
BRAW r=37 unit=4 pos=(7,6) alive
BRAW r=37 unit=16 pos=(6,6) alive
BRAW r=37 unit=34 pos=(7,9) alive
BRAW r=37 unit=36 pos=(8,6) alive
BRAW r=37 unit=40 pos=(8,8) alive
BRAW r=38 unit=4 pos=(7,7) alive
BRAW r=38 unit=16 pos=(6,7) alive
BRAW r=38 unit=34 pos=(7,10) alive
