arm	opp	label	team	core	near_ore	d	h1	h1_seat	h1_pos	c1	walk_lb	harv25	conv25	harv8	conv8	bld8
arm	opp_v63	drakkarfjord/B	1	(26, 4)	(26, 14)	10	9	1	(26, 14)	10	12	3	20	0	0	5
base	opp_v78	drakkarfjord/A	0	(2, 24)	(3, 15)	10	9	1	(3, 15)	10	12	3	14	0	0	5
base	opp_v78	drakkarfjord/B	1	(26, 4)	(26, 14)	10	14	2	(23, 13)	15	12	3	16	0	0	5
arm	opp_v78	drakkarfjord/A	0	(2, 24)	(3, 15)	10	9	1	(3, 15)	10	12	3	16	0	0	5
arm	opp_v78	drakkarfjord/B	1	(26, 4)	(26, 14)	10	9	1	(26, 14)	10	12	3	20	0	0	5
base	opp_v63	drumlin/A	0	(5, 5)	(10, 6)	6	4	1	(1, 7)	5	6	5	17	2	5	6
base	opp_v63	drumlin/B	1	(18, 18)	(14, 18)	4	8	1	(14, 18)	9	4	4	13	1	0	5
arm	opp_v63	drumlin/A	0	(5, 5)	(10, 6)	6	4	1	(1, 7)	5	6	5	16	2	6	6
arm	opp_v63	drumlin/B	1	(18, 18)	(14, 18)	4	6	3	(14, 18)	7	4	3	12	2	1	6
base	opp_v78	drumlin/A	0	(5, 5)	(10, 6)	6	4	1	(1, 7)	5	6	4	15	2	5	6
base	opp_v78	drumlin/B	1	(18, 18)	(14, 18)	4	8	1	(14, 18)	9	4	4	13	1	0	5
arm	opp_v78	drumlin/A	0	(5, 5)	(10, 6)	6	4	1	(1, 7)	5	6	5	18	2	6	6
arm	opp_v78	drumlin/B	1	(18, 18)	(14, 18)	4	6	3	(14, 18)	7	4	3	12	2	1	6
base	opp_v63	eider/A	0	(7, 9)	(6, 6)	4	5	2	(4, 11)	6	8	3	5	3	3	6
base	opp_v63	eider/B	1	(19, 9)	(19, 13)	4	7	3	(21, 6)	None	3	1	0	1	0	5
arm	opp_v63	eider/A	0	(7, 9)	(6, 6)	4	7	1	(4, 11)	8	8	1	3	1	2	6
arm	opp_v63	eider/B	1	(19, 9)	(19, 13)	4	5	1	(19, 13)	6	3	3	5	2	2	6
base	opp_v78	eider/A	0	(7, 9)	(6, 6)	4	5	2	(4, 11)	6	8	3	2	3	2	6
base	opp_v78	eider/B	1	(19, 9)	(19, 13)	4	None	None	None	None	3	0	0	0	0	5
arm	opp_v78	eider/A	0	(7, 9)	(6, 6)	4	7	1	(4, 11)	8	8	3	9	1	2	6
arm	opp_v78	eider/B	1	(19, 9)	(19, 13)	4	5	1	(19, 13)	6	3	2	5	2	2	6
base	opp_v63	fjordgate/A	0	(2, 2)	(6, 2)	4	5	1	(6, 2)	6	3	2	5	1	1	5
base	opp_v63	fjordgate/B	1	(6, 6)	(6, 2)	4	9	0	(6, 2)	10	5	3	11	0	0	5
arm	opp_v63	fjordgate/A	0	(2, 2)	(6, 2)	4	5	3	(6, 2)	6	3	2	6	1	2	5
arm	opp_v63	fjordgate/B	1	(6, 6)	(6, 2)	4	3	1	(3, 7)	4	5	2	6	2	3	5
base	opp_v78	fjordgate/A	0	(2, 2)	(6, 2)	4	5	1	(6, 2)	6	3	2	6	1	2	5
base	opp_v78	fjordgate/B	1	(6, 6)	(6, 2)	4	10	3	(3, 7)	11	5	1	1	0	0	5
arm	opp_v78	fjordgate/A	0	(2, 2)	(6, 2)	4	5	3	(6, 2)	6	3	2	6	1	2	6
arm	opp_v78	fjordgate/B	1	(6, 6)	(6, 2)	4	3	1	(3, 7)	4	5	2	7	1	2	5
base	opp_v63	frostgate/A	0	(2, 9)	(6, 9)	4	6	1	(6, 10)	7	5	4	8	3	5	5
base	opp_v63	frostgate/B	1	(16, 9)	(13, 9)	3	4	1	(13, 10)	5	5	4	6	2	4	6
arm	opp_v63	frostgate/A	0	(2, 9)	(6, 9)	4	3	0	(6, 10)	4	5	5	13	3	5	5
arm	opp_v63	frostgate/B	1	(16, 9)	(13, 9)	3	3	1	(13, 9)	4	5	5	15	3	4	5
base	opp_v78	frostgate/A	0	(2, 9)	(6, 9)	4	6	1	(6, 10)	7	5	4	8	3	5	5
base	opp_v78	frostgate/B	1	(16, 9)	(13, 9)	3	4	1	(13, 10)	5	5	3	7	2	4	6
arm	opp_v78	frostgate/A	0	(2, 9)	(6, 9)	4	3	0	(6, 10)	4	5	4	12	3	5	5
arm	opp_v78	frostgate/B	1	(16, 9)	(13, 9)	3	3	1	(13, 9)	4	5	5	13	3	4	5
base	opp_v63	glacierkeep/A	0	(14, 2)	(3, 2)	11	16	2	(14, 14)	17	15	3	10	0	0	5
base	opp_v63	glacierkeep/B	1	(14, 26)	(14, 15)	11	14	0	(14, 15)	15	13	3	8	0	0	5
arm	opp_v63	glacierkeep/A	0	(14, 2)	(3, 2)	11	14	2	(14, 14)	15	15	3	16	0	0	5
arm	opp_v63	glacierkeep/B	1	(14, 26)	(14, 15)	11	14	0	(14, 15)	15	13	3	13	0	0	5
base	opp_v78	glacierkeep/A	0	(14, 2)	(3, 2)	11	16	2	(14, 14)	17	15	3	10	0	0	5
base	opp_v78	glacierkeep/B	1	(14, 26)	(14, 15)	11	14	0	(14, 15)	15	13	3	9	0	0	5
arm	opp_v78	glacierkeep/A	0	(14, 2)	(3, 2)	11	14	2	(14, 14)	15	15	3	16	0	0	5
arm	opp_v78	glacierkeep/B	1	(14, 26)	(14, 15)	11	14	1	(14, 15)	15	13	3	17	0	0	5
base	opp_v63	heart/A	0	(7, 9)	(5, 15)	8	8	1	(12, 14)	9	22	2	11	2	0	5
base	opp_v63	heart/B	1	(19, 9)	(15, 5)	8	24	1	(26, 11)	25	13	2	1	0	0	5
arm	opp_v63	heart/A	0	(7, 9)	(5, 15)	8	6	1	(1, 11)	7	22	1	6	1	1	6
arm	opp_v63	heart/B	1	(19, 9)	(15, 5)	8	8	3	(26, 11)	9	13	1	3	1	0	5
base	opp_v78	heart/A	0	(7, 9)	(5, 15)	8	8	1	(12, 14)	9	22	1	7	1	0	5
base	opp_v78	heart/B	1	(19, 9)	(15, 5)	8	None	None	None	None	13	0	0	0	0	5
arm	opp_v78	heart/A	0	(7, 9)	(5, 15)	8	6	1	(1, 11)	7	22	2	8	1	1	6
arm	opp_v78	heart/B	1	(19, 9)	(15, 5)	8	8	3	(26, 11)	9	13	2	4	1	0	5
base	opp_v63	hive/A	0	(2, 20)	(1, 17)	4	5	1	(1, 17)	6	6	3	16	1	3	6
base	opp_v63	hive/B	1	(21, 3)	(23, 7)	6	7	1	(23, 7)	8	5	3	16	1	1	6
arm	opp_v63	hive/A	0	(2, 20)	(1, 17)	4	3	1	(1, 17)	4	6	3	16	1	3	6
arm	opp_v63	hive/B	1	(21, 3)	(23, 7)	6	3	1	(23, 7)	4	5	3	12	1	3	6
base	opp_v78	hive/A	0	(2, 20)	(1, 17)	4	5	1	(1, 17)	6	6	3	16	1	3	6
base	opp_v78	hive/B	1	(21, 3)	(23, 7)	6	7	1	(23, 7)	8	5	3	16	1	1	6
arm	opp_v78	hive/A	0	(2, 20)	(1, 17)	4	3	1	(1, 17)	4	6	3	16	1	3	6
arm	opp_v78	hive/B	1	(21, 3)	(23, 7)	6	3	1	(23, 7)	4	5	3	12	1	3	6
base	opp_v63	icefloe/A	0	(1, 16)	(1, 9)	7	10	1	(3, 11)	11	10	3	15	0	0	5
base	opp_v63	icefloe/B	1	(17, 2)	(11, 3)	7	7	2	(11, 3)	8	6	3	16	1	1	6
arm	opp_v63	icefloe/A	0	(1, 16)	(1, 9)	7	5	1	(3, 11)	6	10	5	17	1	3	6
arm	opp_v63	icefloe/B	1	(17, 2)	(11, 3)	7	6	1	(16, 8)	7	6	3	15	2	2	6
base	opp_v78	icefloe/A	0	(1, 16)	(1, 9)	7	10	1	(3, 11)	11	10	3	15	0	0	5
base	opp_v78	icefloe/B	1	(17, 2)	(11, 3)	7	7	2	(11, 3)	8	6	3	16	1	1	6
arm	opp_v78	icefloe/A	0	(1, 16)	(1, 9)	7	5	1	(3, 11)	6	10	5	18	1	3	6
arm	opp_v78	icefloe/B	1	(17, 2)	(11, 3)	7	6	1	(16, 8)	7	6	3	15	2	2	6
base	opp_v63	jackpot/A	0	(0, 0)	(1, 4)	5	4	1	(1, 4)	5	5	3	9	2	2	6
base	opp_v63	jackpot/B	1	(14, 14)	(14, 11)	3	4	1	(14, 11)	5	5	3	8	2	3	6
arm	opp_v63	jackpot/A	0	(0, 0)	(1, 4)	5	3	1	(1, 4)	4	5	3	9	2	3	6
arm	opp_v63	jackpot/B	1	(14, 14)	(14, 11)	3	3	1	(14, 11)	4	5	3	11	2	2	6
base	opp_v78	jackpot/A	0	(0, 0)	(1, 4)	5	4	1	(1, 4)	5	5	3	9	2	2	6
base	opp_v78	jackpot/B	1	(14, 14)	(14, 11)	3	4	1	(14, 11)	5	5	3	8	2	3	6
arm	opp_v78	jackpot/A	0	(0, 0)	(1, 4)	5	3	1	(1, 4)	4	5	3	9	2	3	6
arm	opp_v78	jackpot/B	1	(14, 14)	(14, 11)	3	3	1	(14, 11)	4	5	3	9	2	2	6
base	opp_v63	lighthouse/A	0	(3, 3)	(8, 3)	5	3	1	(1, 6)	4	7	4	14	3	5	5
base	opp_v63	lighthouse/B	1	(11, 11)	(11, 7)	4	5	2	(14, 9)	6	6	3	4	3	3	6
arm	opp_v63	lighthouse/A	0	(3, 3)	(8, 3)	5	3	1	(1, 6)	4	7	5	14	3	5	5
arm	opp_v63	lighthouse/B	1	(11, 11)	(11, 7)	4	3	1	(14, 9)	4	6	2	6	1	3	5
base	opp_v78	lighthouse/A	0	(3, 3)	(8, 3)	5	3	1	(1, 6)	4	7	4	14	3	5	5
base	opp_v78	lighthouse/B	1	(11, 11)	(11, 7)	4	5	2	(14, 9)	6	6	4	11	3	3	5
arm	opp_v78	lighthouse/A	0	(3, 3)	(8, 3)	5	3	1	(1, 6)	4	7	2	6	2	5	5
arm	opp_v78	lighthouse/B	1	(11, 11)	(11, 7)	4	3	1	(14, 9)	4	6	2	6	1	3	5
base	opp_v63	meander/A	0	(11, 3)	(16, 3)	5	5	1	(16, 6)	6	9	3	14	2	3	5
base	opp_v63	meander/B	1	(11, 10)	(16, 11)	6	6	1	(16, 11)	7	4	3	13	1	1	5
arm	opp_v63	meander/A	0	(11, 3)	(16, 3)	5	5	1	(16, 6)	6	9	3	13	2	3	5
arm	opp_v63	meander/B	1	(11, 10)	(16, 11)	6	5	1	(16, 8)	6	4	2	9	1	2	5
base	opp_v78	meander/A	0	(11, 3)	(16, 3)	5	5	1	(16, 6)	6	9	3	15	2	3	5
base	opp_v78	meander/B	1	(11, 10)	(16, 11)	6	6	1	(16, 11)	7	4	2	6	1	1	5
arm	opp_v78	meander/A	0	(11, 3)	(16, 3)	5	5	1	(16, 6)	6	9	2	9	1	2	5
arm	opp_v78	meander/B	1	(11, 10)	(16, 11)	6	5	1	(16, 8)	6	4	1	4	1	2	5
base	opp_v63	midgard/A	0	(2, 2)	(6, 2)	4	5	1	(2, 6)	6	3	4	12	1	2	6
base	opp_v63	midgard/B	1	(26, 26)	(23, 27)	4	4	1	(27, 23)	5	2	4	9	1	2	6
arm	opp_v63	midgard/A	0	(2, 2)	(6, 2)	4	7	3	(6, 2)	8	3	4	8	1	1	6
arm	opp_v63	midgard/B	1	(26, 26)	(23, 27)	4	3	1	(27, 23)	4	2	4	12	2	4	5
base	opp_v78	midgard/A	0	(2, 2)	(6, 2)	4	5	1	(2, 6)	6	3	4	12	1	2	6
base	opp_v78	midgard/B	1	(26, 26)	(23, 27)	4	4	1	(27, 23)	5	2	4	9	1	2	6
arm	opp_v78	midgard/A	0	(2, 2)	(6, 2)	4	7	3	(6, 2)	8	3	4	8	1	1	6
arm	opp_v78	midgard/B	1	(26, 26)	(23, 27)	4	3	1	(27, 23)	4	2	4	12	2	4	5
base	opp_v63	moonrise/A	0	(5, 3)	(1, 4)	5	4	2	(9, 5)	6	7	3	8	1	2	6
