match	game	opp	map	w	h	rounds	rnd	victim	victim_team	thrower_team	amb	ours_threw	enemy_victim	border	d2_launch	launcher_margin	removed_rnd	gap	undamaged_removal	within3
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	3	I Stone	atoll	18	18	379	35	8	1	0	one	1	1	0	25	4	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	3	I Stone	atoll	18	18	379	346	353	1	0	one	1	1	1	25	4	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	61	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	67	6	1	0	one	1	1	0	26	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	73	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	79	6	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	84	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	90	6	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	95	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	99	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	101	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	104	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	107	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	109	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	113	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	114	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	119	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	120	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	125	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	126	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	131	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	132	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	137	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	138	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	143	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	144	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	149	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	150	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	155	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	156	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	161	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	162	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	167	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	168	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	173	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	174	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	179	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	180	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	185	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	186	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	4	I Stone	saga	24	24	192	191	6	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	5	I Stone	snowflake	26	26	152	70	4	1	0	one	1	1	1	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	5	I Stone	snowflake	26	26	152	81	4	1	0	one	1	1	0	25	3	-1	-1	0	0
4dfe51f4-b4ec-41fd-94e4-8390a52ab493	5	I Stone	snowflake	26	26	152	103	4	1	0	one	1	1	1	25	3	-1	-1	0	0
eea2f9a4-84ac-4526-bead-40c2b3fbcf94	1	Leviathan	fjordgate	10	10	1000	294	135	0	0	one	1	0	0	20	0	537	243	0	0
eea2f9a4-84ac-4526-bead-40c2b3fbcf94	1	Leviathan	fjordgate	10	10	1000	296	126	0	0	one	1	0	0	26	0	340	44	0	0
eea2f9a4-84ac-4526-bead-40c2b3fbcf94	1	Leviathan	fjordgate	10	10	1000	298	232	0	0	one	1	0	0	25	0	-1	-1	0	0
eea2f9a4-84ac-4526-bead-40c2b3fbcf94	1	Leviathan	fjordgate	10	10	1000	462	211	0	0	one	1	0	0	26	0	-1	-1	0	0
eea2f9a4-84ac-4526-bead-40c2b3fbcf94	1	Leviathan	fjordgate	10	10	1000	499	222	0	0	one	1	0	0	25	0	857	358	0	0
eea2f9a4-84ac-4526-bead-40c2b3fbcf94	1	Leviathan	fjordgate	10	10	1000	543	421	0	0	one	1	0	0	25	0	-1	-1	0	0
eea2f9a4-84ac-4526-bead-40c2b3fbcf94	1	Leviathan	fjordgate	10	10	1000	651	328	0	0	one	1	0	0	20	0	936	285	0	0
eea2f9a4-84ac-4526-bead-40c2b3fbcf94	4	Leviathan	saga	24	24	234	218	9	0	0	one	1	0	0	25	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	3	6	1	1	one	0	1	0	26	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	40	7	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	47	13	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	50	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	52	7	0	1	one	0	0	1	20	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	69	10	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	70	13	0	1	one	0	0	1	20	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	94	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	95	3	0	0	one	1	0	0	13	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	98	10	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	103	10	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	109	10	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	115	10	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	121	10	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	127	10	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	133	10	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	139	10	0	1	one	0	0	1	25	2	-1	-1	0	0
