file	turns	winner
06537b65-ec02-4a3f-8f83-8b4e60a959d9_game_4.replay26	145	1
06537b65-ec02-4a3f-8f83-8b4e60a959d9_game_5.replay26	361	0
07fd7e74-bf3e-4026-8784-a1dada9b5143_game_1.replay26	346	1
07fd7e74-bf3e-4026-8784-a1dada9b5143_game_2.replay26	178	0
07fd7e74-bf3e-4026-8784-a1dada9b5143_game_3.replay26	104	0
07fd7e74-bf3e-4026-8784-a1dada9b5143_game_4.replay26	100	0
07fd7e74-bf3e-4026-8784-a1dada9b5143_game_5.replay26	69	1
0bee8a14-e01e-4690-af1d-14874af9c1b6_game_1.replay26	223	0
0bee8a14-e01e-4690-af1d-14874af9c1b6_game_2.replay26	301	1
0bee8a14-e01e-4690-af1d-14874af9c1b6_game_3.replay26	205	0
0bee8a14-e01e-4690-af1d-14874af9c1b6_game_4.replay26	102	1
0bee8a14-e01e-4690-af1d-14874af9c1b6_game_5.replay26	67	0
0d057c58-aafb-471d-9d31-c4d194b7a495_game_1.replay26	1000	1
0d057c58-aafb-471d-9d31-c4d194b7a495_game_2.replay26	1000	1
0d057c58-aafb-471d-9d31-c4d194b7a495_game_3.replay26	166	0
0d057c58-aafb-471d-9d31-c4d194b7a495_game_4.replay26	143	0
0d057c58-aafb-471d-9d31-c4d194b7a495_game_5.replay26	324	0
10cfd503-0ca2-43f2-8d42-a0e50c82660e_game_1.replay26	230	0
10cfd503-0ca2-43f2-8d42-a0e50c82660e_game_2.replay26	96	1
10cfd503-0ca2-43f2-8d42-a0e50c82660e_game_3.replay26	83	1
10cfd503-0ca2-43f2-8d42-a0e50c82660e_game_4.replay26	93	1
10cfd503-0ca2-43f2-8d42-a0e50c82660e_game_5.replay26	86	0
18739235-0451-459b-bb89-6e27e7734a2d_game_1.replay26	163	0
18739235-0451-459b-bb89-6e27e7734a2d_game_2.replay26	1000	1
18739235-0451-459b-bb89-6e27e7734a2d_game_3.replay26	190	0
18739235-0451-459b-bb89-6e27e7734a2d_game_4.replay26	1000	0
18739235-0451-459b-bb89-6e27e7734a2d_game_5.replay26	1000	0
1e70660a-49f2-4a42-968f-289ca73ee112_game_1.replay26	540	0
1e70660a-49f2-4a42-968f-289ca73ee112_game_2.replay26	317	1
1e70660a-49f2-4a42-968f-289ca73ee112_game_3.replay26	300	1
1e70660a-49f2-4a42-968f-289ca73ee112_game_4.replay26	214	0
1e70660a-49f2-4a42-968f-289ca73ee112_game_5.replay26	167	0
1e94c7db-2723-4e19-8d7f-7e9ccd9933c7_game_1.replay26	155	1
1e94c7db-2723-4e19-8d7f-7e9ccd9933c7_game_2.replay26	250	1
1e94c7db-2723-4e19-8d7f-7e9ccd9933c7_game_3.replay26	512	0
1e94c7db-2723-4e19-8d7f-7e9ccd9933c7_game_4.replay26	100	1
1e94c7db-2723-4e19-8d7f-7e9ccd9933c7_game_5.replay26	186	1
1f118b95-3338-4508-806e-800cc30cf994_game_1.replay26	104	1
1f118b95-3338-4508-806e-800cc30cf994_game_2.replay26	214	1
1f118b95-3338-4508-806e-800cc30cf994_game_3.replay26	814	0
1f118b95-3338-4508-806e-800cc30cf994_game_4.replay26	134	0
1f118b95-3338-4508-806e-800cc30cf994_game_5.replay26	188	1
2249b65f-f106-4009-91c1-4c68e1aa4a39_game_1.replay26	1000	1
2249b65f-f106-4009-91c1-4c68e1aa4a39_game_2.replay26	505	0
2249b65f-f106-4009-91c1-4c68e1aa4a39_game_3.replay26	774	0
2249b65f-f106-4009-91c1-4c68e1aa4a39_game_4.replay26	138	0
2249b65f-f106-4009-91c1-4c68e1aa4a39_game_5.replay26	205	0
