file	turns	winner
a0a90a9e-14bc-43a8-b80c-c903563c33d0_game_3.replay26	173	0
a0a90a9e-14bc-43a8-b80c-c903563c33d0_game_4.replay26	171	0
a0a90a9e-14bc-43a8-b80c-c903563c33d0_game_5.replay26	115	0
a6cc42ff-3499-430a-8940-bbf00553c710_game_1.replay26	328	0
a6cc42ff-3499-430a-8940-bbf00553c710_game_2.replay26	98	1
a6cc42ff-3499-430a-8940-bbf00553c710_game_3.replay26	86	1
a6cc42ff-3499-430a-8940-bbf00553c710_game_4.replay26	120	1
a6cc42ff-3499-430a-8940-bbf00553c710_game_5.replay26	139	0
a85b3958-85ca-4f74-9dd1-f6c5868925be_game_1.replay26	379	1
a85b3958-85ca-4f74-9dd1-f6c5868925be_game_2.replay26	1000	1
a85b3958-85ca-4f74-9dd1-f6c5868925be_game_3.replay26	104	0
a85b3958-85ca-4f74-9dd1-f6c5868925be_game_4.replay26	206	1
a85b3958-85ca-4f74-9dd1-f6c5868925be_game_5.replay26	478	1
ac8aabb0-4887-4de6-b121-b660808e652a_game_1.replay26	172	0
ac8aabb0-4887-4de6-b121-b660808e652a_game_2.replay26	253	0
ac8aabb0-4887-4de6-b121-b660808e652a_game_3.replay26	271	1
ac8aabb0-4887-4de6-b121-b660808e652a_game_4.replay26	136	0
ac8aabb0-4887-4de6-b121-b660808e652a_game_5.replay26	1000	0
af9475ae-b7f3-4ad4-abd1-12ff57fae48c_game_1.replay26	225	0
af9475ae-b7f3-4ad4-abd1-12ff57fae48c_game_2.replay26	96	1
af9475ae-b7f3-4ad4-abd1-12ff57fae48c_game_3.replay26	125	0
af9475ae-b7f3-4ad4-abd1-12ff57fae48c_game_4.replay26	83	1
af9475ae-b7f3-4ad4-abd1-12ff57fae48c_game_5.replay26	126	0
bac2919f-34f0-427e-aa45-bc3eb8c88cc5_game_1.replay26	169	1
bac2919f-34f0-427e-aa45-bc3eb8c88cc5_game_2.replay26	189	1
bac2919f-34f0-427e-aa45-bc3eb8c88cc5_game_3.replay26	225	1
bac2919f-34f0-427e-aa45-bc3eb8c88cc5_game_4.replay26	316	1
bac2919f-34f0-427e-aa45-bc3eb8c88cc5_game_5.replay26	99	1
be183974-f903-4a3d-a318-52bbac602040_game_1.replay26	168	1
be183974-f903-4a3d-a318-52bbac602040_game_2.replay26	1000	1
be183974-f903-4a3d-a318-52bbac602040_game_3.replay26	1000	1
be183974-f903-4a3d-a318-52bbac602040_game_4.replay26	834	0
be183974-f903-4a3d-a318-52bbac602040_game_5.replay26	197	1
c0d3c272-d749-45f3-add1-041a18cc5de2_game_1.replay26	267	0
c0d3c272-d749-45f3-add1-041a18cc5de2_game_2.replay26	381	1
c0d3c272-d749-45f3-add1-041a18cc5de2_game_3.replay26	87	1
c0d3c272-d749-45f3-add1-041a18cc5de2_game_4.replay26	453	1
c0d3c272-d749-45f3-add1-041a18cc5de2_game_5.replay26	102	1
c68b8dd5-2ab0-4422-9b7f-daf7087b62d6_game_1.replay26	113	1
c68b8dd5-2ab0-4422-9b7f-daf7087b62d6_game_2.replay26	178	1
c68b8dd5-2ab0-4422-9b7f-daf7087b62d6_game_3.replay26	202	0
c68b8dd5-2ab0-4422-9b7f-daf7087b62d6_game_4.replay26	289	0
c68b8dd5-2ab0-4422-9b7f-daf7087b62d6_game_5.replay26	501	0
c694ea28-1257-4f9d-9206-639f4a08016d_game_1.replay26	1000	0
c694ea28-1257-4f9d-9206-639f4a08016d_game_2.replay26	134	1
c694ea28-1257-4f9d-9206-639f4a08016d_game_3.replay26	664	0
c694ea28-1257-4f9d-9206-639f4a08016d_game_4.replay26	134	1
c694ea28-1257-4f9d-9206-639f4a08016d_game_5.replay26	1000	0
c6aa4aee-18c1-45d8-8c89-2f5b8aa9b179_game_1.replay26	184	0
c6aa4aee-18c1-45d8-8c89-2f5b8aa9b179_game_2.replay26	183	0
c6aa4aee-18c1-45d8-8c89-2f5b8aa9b179_game_3.replay26	466	1
c6aa4aee-18c1-45d8-8c89-2f5b8aa9b179_game_4.replay26	120	0
c6aa4aee-18c1-45d8-8c89-2f5b8aa9b179_game_5.replay26	111	0
c88d410b-82e5-4e4e-a61b-c29b6b8273d1_game_1.replay26	104	1
c88d410b-82e5-4e4e-a61b-c29b6b8273d1_game_2.replay26	190	1
c88d410b-82e5-4e4e-a61b-c29b6b8273d1_game_3.replay26	1000	1
c88d410b-82e5-4e4e-a61b-c29b6b8273d1_game_4.replay26	1000	0
c88d410b-82e5-4e4e-a61b-c29b6b8273d1_game_5.replay26	125	1
ceb5b7e5-5c7e-4509-b526-5c388a1e09d3_game_1.replay26	89	0
ceb5b7e5-5c7e-4509-b526-5c388a1e09d3_game_2.replay26	289	1
ceb5b7e5-5c7e-4509-b526-5c388a1e09d3_game_3.replay26	163	1
ceb5b7e5-5c7e-4509-b526-5c388a1e09d3_game_4.replay26	156	1
ceb5b7e5-5c7e-4509-b526-5c388a1e09d3_game_5.replay26	129	1
d162d719-d6e1-4d38-bc73-5fd7d2e6af1c_game_1.replay26	157	0
d162d719-d6e1-4d38-bc73-5fd7d2e6af1c_game_2.replay26	187	0
d162d719-d6e1-4d38-bc73-5fd7d2e6af1c_game_3.replay26	212	0
d162d719-d6e1-4d38-bc73-5fd7d2e6af1c_game_4.replay26	114	0
d162d719-d6e1-4d38-bc73-5fd7d2e6af1c_game_5.replay26	444	0
d1d6476b-30c2-4024-9a5a-c78bdb1cc598_game_1.replay26	102	0
d1d6476b-30c2-4024-9a5a-c78bdb1cc598_game_2.replay26	173	0
d1d6476b-30c2-4024-9a5a-c78bdb1cc598_game_3.replay26	62	1
d1d6476b-30c2-4024-9a5a-c78bdb1cc598_game_4.replay26	133	0
d1d6476b-30c2-4024-9a5a-c78bdb1cc598_game_5.replay26	80	1
d25e9421-6b1e-4c43-ac8f-19eb93af2f0d_game_1.replay26	131	0
d25e9421-6b1e-4c43-ac8f-19eb93af2f0d_game_2.replay26	189	1
d25e9421-6b1e-4c43-ac8f-19eb93af2f0d_game_3.replay26	303	0
d25e9421-6b1e-4c43-ac8f-19eb93af2f0d_game_4.replay26	340	1
d25e9421-6b1e-4c43-ac8f-19eb93af2f0d_game_5.replay26	202	1
d2c20c42-2e6e-4668-94c9-d73681b8616b_game_1.replay26	97	0
d2c20c42-2e6e-4668-94c9-d73681b8616b_game_2.replay26	114	0
d2c20c42-2e6e-4668-94c9-d73681b8616b_game_3.replay26	192	0
d2c20c42-2e6e-4668-94c9-d73681b8616b_game_4.replay26	737	1
d2c20c42-2e6e-4668-94c9-d73681b8616b_game_5.replay26	106	1
d4babb72-847a-437d-ab62-357ab7666e57_game_1.replay26	304	1
d4babb72-847a-437d-ab62-357ab7666e57_game_2.replay26	341	0
d4babb72-847a-437d-ab62-357ab7666e57_game_3.replay26	274	0
d4babb72-847a-437d-ab62-357ab7666e57_game_4.replay26	396	0
d4babb72-847a-437d-ab62-357ab7666e57_game_5.replay26	419	0
dcda6c65-5138-4e9e-a341-a7a9e8d8f6cd_game_1.replay26	199	0
dcda6c65-5138-4e9e-a341-a7a9e8d8f6cd_game_2.replay26	313	0
dcda6c65-5138-4e9e-a341-a7a9e8d8f6cd_game_3.replay26	381	1
dcda6c65-5138-4e9e-a341-a7a9e8d8f6cd_game_4.replay26	140	0
dcda6c65-5138-4e9e-a341-a7a9e8d8f6cd_game_5.replay26	232	0
de62f552-ddba-4209-8ce8-5cd64100d6fc_game_1.replay26	192	0
de62f552-ddba-4209-8ce8-5cd64100d6fc_game_2.replay26	55	0
de62f552-ddba-4209-8ce8-5cd64100d6fc_game_3.replay26	96	0
de62f552-ddba-4209-8ce8-5cd64100d6fc_game_4.replay26	102	1
de62f552-ddba-4209-8ce8-5cd64100d6fc_game_5.replay26	91	1
e2df6710-fb4c-466b-bd82-135b2b69df4f_game_1.replay26	233	1
e2df6710-fb4c-466b-bd82-135b2b69df4f_game_2.replay26	445	1
e2df6710-fb4c-466b-bd82-135b2b69df4f_game_3.replay26	234	1
e2df6710-fb4c-466b-bd82-135b2b69df4f_game_4.replay26	195	0
e2df6710-fb4c-466b-bd82-135b2b69df4f_game_5.replay26	106	1
e539ecd6-659a-48f4-a66e-bbcd1e7dd3e2_game_1.replay26	193	0
e539ecd6-659a-48f4-a66e-bbcd1e7dd3e2_game_2.replay26	223	1
e539ecd6-659a-48f4-a66e-bbcd1e7dd3e2_game_3.replay26	94	1
e539ecd6-659a-48f4-a66e-bbcd1e7dd3e2_game_4.replay26	729	0
e539ecd6-659a-48f4-a66e-bbcd1e7dd3e2_game_5.replay26	127	0
ed0734d8-7d0f-4836-a014-88d031ab939a_game_1.replay26	126	0
ed0734d8-7d0f-4836-a014-88d031ab939a_game_2.replay26	1000	0
ed0734d8-7d0f-4836-a014-88d031ab939a_game_3.replay26	208	0
ed0734d8-7d0f-4836-a014-88d031ab939a_game_4.replay26	762	1
ed0734d8-7d0f-4836-a014-88d031ab939a_game_5.replay26	456	0
f1a70380-a414-49bf-aca0-b2cb3101dc50_game_1.replay26	259	1
f1a70380-a414-49bf-aca0-b2cb3101dc50_game_2.replay26	848	0
f1a70380-a414-49bf-aca0-b2cb3101dc50_game_3.replay26	94	0
f1a70380-a414-49bf-aca0-b2cb3101dc50_game_4.replay26	140	1
f1a70380-a414-49bf-aca0-b2cb3101dc50_game_5.replay26	275	0
f38b5034-cd6b-4084-b64b-87195c6b3b9a_game_1.replay26	376	0
f38b5034-cd6b-4084-b64b-87195c6b3b9a_game_2.replay26	103	0
f38b5034-cd6b-4084-b64b-87195c6b3b9a_game_3.replay26	88	1
f38b5034-cd6b-4084-b64b-87195c6b3b9a_game_4.replay26	135	0
f38b5034-cd6b-4084-b64b-87195c6b3b9a_game_5.replay26	82	0
fa04e211-022a-4281-80d9-e88c09f440d1_game_1.replay26	279	0
fa04e211-022a-4281-80d9-e88c09f440d1_game_2.replay26	497	1
fa04e211-022a-4281-80d9-e88c09f440d1_game_3.replay26	322	1
fa04e211-022a-4281-80d9-e88c09f440d1_game_4.replay26	351	1
fa04e211-022a-4281-80d9-e88c09f440d1_game_5.replay26	329	0
