file	rnd	band	team	kind	x	y	d2_own	d2_enemy	side	winner
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	1	r0-150	1	launcher	15	15	5	365	HOME	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	3	r0-150	1	launcher	11	11	61	181	HOME	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	5	r0-150	1	launcher	8	6	185	61	FORWARD	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	7	r0-150	1	launcher	3	3	365	5	FORWARD	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	9	r0-150	0	gunner	1	3	5	421	HOME	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	9	r0-150	0	gunner	2	4	9	365	HOME	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	21	r0-150	1	launcher	1	0	514	2	FORWARD	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	84	r0-150	0	gunner	0	1	4	512	HOME	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	147	r0-150	0	sentinel	5	0	10	410	HOME	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	160	r150-200	1	launcher	8	16	65	261	HOME	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	161	r150-200	0	sentinel	5	1	9	377	HOME	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	172	r150-200	0	sentinel	6	2	17	325	HOME	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	173	r150-200	1	launcher	8	10	113	117	HOME	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	176	r150-200	1	sentinel	6	6	221	41	FORWARD	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	178	r150-200	0	sentinel	6	3	20	296	HOME	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	186	r150-200	1	sentinel	6	6	221	41	FORWARD	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	188	r150-200	0	sentinel	6	9	80	164	HOME	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	206	r200-300	0	sentinel	16	12	317	25	FORWARD	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	212	r200-300	1	sentinel	4	4	313	13	FORWARD	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	221	r200-300	1	sentinel	4	4	313	13	FORWARD	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	232	r200-300	1	sentinel	6	6	221	41	FORWARD	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	241	r200-300	1	sentinel	6	4	269	25	FORWARD	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	250	r200-300	1	sentinel	6	4	269	25	FORWARD	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	260	r200-300	1	sentinel	6	5	244	32	FORWARD	0
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_2.replay26	7	r0-150	1	sentinel	4	5	41	25	FORWARD	1
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_2.replay26	9	r0-150	0	gunner	3	4	13	61	HOME	1
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_2.replay26	9	r0-150	0	gunner	3	6	29	45	HOME	1
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_2.replay26	10	r0-150	1	sentinel	6	5	25	41	HOME	1
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_2.replay26	47	r0-150	0	sentinel	5	5	32	32	HOME	1
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_2.replay26	65	r0-150	1	launcher	3	0	117	5	FORWARD	1
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_2.replay26	66	r0-150	0	sentinel	9	6	89	9	FORWARD	1
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_2.replay26	75	r0-150	1	gunner	8	7	5	85	HOME	1
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_2.replay26	83	r0-150	0	gunner	4	0	10	106	HOME	1
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_2.replay26	94	r0-150	1	sentinel	6	9	9	89	HOME	1
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_2.replay26	108	r0-150	0	sentinel	5	6	41	25	FORWARD	1
