group	fwd	band	rnd	cause	n_shooters	n_shots	gun_shots	sent_shots	ff_shots	dmg_round	hp_start	max_hp	age	since_move	sm_bucket	since_act	thrown_ever	d2_enemy	depth_norm	batk_on_tile	healed_ever	n_enemy_bots_adj	rounds_since_first_dmg	n_dmg_rounds	gun_inrange	sent_inrange
US	1	1	116	EXACT	1	1	1	0	0	7	5	40	113	4	2	80	0	5	0.13176156917368248	0	0	0	6	5	5	0
US	1	3	314	EXACT	3	3	3	0	0	21	13	40	46	1	0	4	0	9	0.1767766952966369	0	2	0	18	3	5	0
US	1	3	317	EXACT	1	1	1	0	0	7	2	40	32	1	0	3	0	10	0.1863389981249825	0	2	0	14	4	4	0
US	0	1	90	EXACT	1	1	1	0	0	7	5	40	86	3	2	1	0	164	0.6468132241526726	0	0	0	19	5	4	0
US	0	1	102	EXACT	1	1	1	0	0	7	5	40	100	1	0	2	0	149	0.6165241607725739	0	0	0	11	5	4	0
US	0	1	130	EXACT	1	1	1	0	0	7	5	40	129	25	3	1	0	180	0.6776309271789385	0	0	0	29	5	4	0
US	1	1	147	EXACT	1	1	1	0	0	7	3	40	147	84	4	99	0	2	0.07142857142857144	0	11	1	12	11	1	0
US	1	1	95	EXACT	1	1	1	0	0	7	5	40	95	62	4	5	1	2	0.07142857142857144	0	0	0	5	5	2	0
US	0	1	124	EXACT	1	1	1	0	0	7	5	40	122	1	0	10	0	269	0.8283866789102288	0	0	0	16	5	1	0
US	0	1	159	EXACT	1	1	1	0	0	7	5	40	158	3	2	1	0	208	0.7284313590846835	0	0	0	113	5	2	0
US	1	3	419	EXACT	1	1	0	1	0	18	8	40	412	1	0	393	1	5	0.11293848786315641	0	2	1	4	2	0	1
US	1	4	507	EXACT	1	1	0	1	0	18	4	40	504	456	4	88	1	2	0.07142857142857144	0	0	1	4	2	0	2
US	0	3	329	EXACT	1	1	1	0	0	7	5	40	325	1	0	6	0	20	0.7905694150420948	0	0	1	7	5	1	0
