file	team	band	metric	n
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	0	r0-150	build_builder_bot	4
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	1	r0-150	build_builder_bot	12
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	1	r0-150	build_launcher	5
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	0	r0-150	build_harvester	4
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	1	r0-150	build_conveyor	48
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	0	r0-150	build_conveyor	35
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	1	r0-150	build_barrier	5
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	1	r0-150	build_harvester	9
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	0	r0-150	build_gunner	3
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	0	r0-150	shot	29
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	0	r0-150	batk	3
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	0	r0-150	build_sentinel	1
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	0	r150-200	shot	19
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	0	r150-200	build_conveyor	2
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	1	r150-200	build_builder_bot	1
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	1	r150-200	build_launcher	2
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	0	r150-200	build_sentinel	4
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	0	r150-200	batk	3
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	1	r150-200	build_sentinel	2
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	1	r150-200	build_conveyor	7
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	1	r150-200	shot	2
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	1	r150-200	build_harvester	1
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	0	r200-300	build_sentinel	1
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	0	r200-300	shot	78
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	1	r200-300	build_barrier	2
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	0	r200-300	build_barrier	4
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	1	r200-300	build_sentinel	6
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	0	r200-300	batk	22
ed8172e7-6e83-4c76-87e9-20ee33cba3b0_game_1.replay26	1	r200-300	shot	4
