file	ev	rnd	team	kind	x	y	d2_own	d2_enemy	mw	mh
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	29	1	gunner	16	4	61	26	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	29	0	conveyor	13	2	5	68	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	32	1	barrier	16	6	41	34	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	32	0	conveyor	13	3	4	53	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	34	1	harvester	19	13	73	164	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	35	1	conveyor	18	12	53	130	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	DEATH	35	1	gunner	15	7	25	32	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	DEATH	35	0	harvester	16	3	25	74	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	37	0	barrier	11	9	36	1	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	37	1	conveyor	18	13	58	149	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	37	0	barrier	12	9	37	2	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	38	0	barrier	10	10	50	1	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	38	1	gunner	17	4	72	37	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	DEATH	40	0	conveyor	16	2	26	89	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	41	0	barrier	12	12	82	5	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	DEATH	43	0	harvester	17	3	36	85	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	44	1	harvester	21	12	104	181	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	44	0	harvester	6	1	29	106	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	44	1	barrier	17	3	85	36	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	45	1	conveyor	19	12	68	145	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	45	1	barrier	3	11	65	128	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	46	0	conveyor	7	1	20	97	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	47	1	conveyor	20	12	85	162	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	48	0	conveyor	8	1	13	90	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	48	1	barrier	21	2	164	101	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	49	1	barrier	3	14	80	185	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	50	1	barrier	1	9	101	136	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	52	0	conveyor	9	1	8	85	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	54	0	conveyor	10	1	5	82	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	55	1	barrier	1	5	125	104	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	56	0	conveyor	11	1	4	81	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	56	1	barrier	19	1	145	68	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	58	1	barrier	7	8	20	41	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	60	0	conveyor	11	2	1	64	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	63	1	sentinel	12	2	65	2	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	63	1	gunner	5	2	100	37	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	65	1	barrier	7	6	32	25	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	65	1	barrier	3	3	113	64	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	67	1	barrier	16	3	74	25	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	69	1	barrier	3	0	164	73	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	DEATH	69	0	harvester	6	1	29	106	25	15
