tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
cap6_glacierkeep_s1_B	glacierkeep	1	B	cap6	US	cap6_arm	Core destroyed	325	0	0	0
parent_glacierkeep_s2_A	glacierkeep	2	A	parent	US	parent_arm	Core destroyed	161	0	330	140
flagoff_glacierkeep_s2_A	glacierkeep	2	A	flagoff	US	flagoff_arm	Core destroyed	119	0	380	0
v531fix_glacierkeep_s2_A	glacierkeep	2	A	v531fix	US	_v531fix	Core destroyed	874	0	1480	0
nomouth_glacierkeep_s2_A	glacierkeep	2	A	nomouth	US	nomouth_arm	Core destroyed	800	0	2160	0
cap6_glacierkeep_s2_A	glacierkeep	2	A	cap6	US	cap6_arm	Core destroyed	120	0	270	0
parent_glacierkeep_s2_B	glacierkeep	2	B	parent	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
flagoff_glacierkeep_s2_B	glacierkeep	2	B	flagoff	US	flagoff_arm	Core destroyed	239	0	0	0
v531fix_glacierkeep_s2_B	glacierkeep	2	B	v531fix	US	_v531fix	Core destroyed	273	0	0	0
nomouth_glacierkeep_s2_B	glacierkeep	2	B	nomouth	US	nomouth_arm	Core destroyed	605	0	680	0
cap6_glacierkeep_s2_B	glacierkeep	2	B	cap6	US	cap6_arm	Core destroyed	965	0	870	0
parent_nordkap_s1_A	nordkap	1	A	parent	OPP	_v488beltbreak2	Core destroyed	239	0	0	2100
flagoff_nordkap_s1_A	nordkap	1	A	flagoff	US	flagoff_arm	Core destroyed	502	0	2050	120
v531fix_nordkap_s1_A	nordkap	1	A	v531fix	US	_v531fix	Core destroyed	257	0	730	50
nomouth_nordkap_s1_A	nordkap	1	A	nomouth	US	nomouth_arm	Core destroyed	468	0	1210	110
cap6_nordkap_s1_A	nordkap	1	A	cap6	US	cap6_arm	Core destroyed	667	0	1790	120
parent_nordkap_s1_B	nordkap	1	B	parent	US	parent_arm	Core destroyed	165	0	390	130
flagoff_nordkap_s1_B	nordkap	1	B	flagoff	OPP	_v488beltbreak2	Core destroyed	195	0	540	3460
v531fix_nordkap_s1_B	nordkap	1	B	v531fix	OPP	_v488beltbreak2	Core destroyed	445	0	1050	3380
nomouth_nordkap_s1_B	nordkap	1	B	nomouth	US	nomouth_arm	Core destroyed	177	0	90	20
cap6_nordkap_s1_B	nordkap	1	B	cap6	US	cap6_arm	Titanium collected (tiebreak)	1000	0	160	90
parent_nordkap_s2_A	nordkap	2	A	parent	US	parent_arm	Core destroyed	362	0	4320	30
flagoff_nordkap_s2_A	nordkap	2	A	flagoff	OPP	_v488beltbreak2	Core destroyed	951	0	6650	7520
v531fix_nordkap_s2_A	nordkap	2	A	v531fix	US	_v531fix	Core destroyed	224	0	1790	190
nomouth_nordkap_s2_A	nordkap	2	A	nomouth	US	nomouth_arm	Core destroyed	149	0	120	60
cap6_nordkap_s2_A	nordkap	2	A	cap6	US	cap6_arm	Core destroyed	300	0	3490	690
parent_nordkap_s2_B	nordkap	2	B	parent	OPP	_v488beltbreak2	Core destroyed	937	0	100	210
flagoff_nordkap_s2_B	nordkap	2	B	flagoff	US	flagoff_arm	Core destroyed	121	0	270	10
v531fix_nordkap_s2_B	nordkap	2	B	v531fix	US	_v531fix	Core destroyed	164	0	720	80
nomouth_nordkap_s2_B	nordkap	2	B	nomouth	OPP	_v488beltbreak2	Core destroyed	550	0	110	1730
cap6_nordkap_s2_B	nordkap	2	B	cap6	OPP	_v488beltbreak2	Core destroyed	360	0	830	3070
parent_yulerune_s1_A	yulerune	1	A	parent	US	parent_arm	Core destroyed	117	0	220	0
flagoff_yulerune_s1_A	yulerune	1	A	flagoff	US	flagoff_arm	Core destroyed	83	0	310	0
v531fix_yulerune_s1_A	yulerune	1	A	v531fix	US	_v531fix	Core destroyed	101	0	180	0
nomouth_yulerune_s1_A	yulerune	1	A	nomouth	US	nomouth_arm	Core destroyed	88	0	230	0
cap6_yulerune_s1_A	yulerune	1	A	cap6	US	cap6_arm	Titanium collected (tiebreak)	1000	0	130	0
parent_yulerune_s1_B	yulerune	1	B	parent	US	parent_arm	Core destroyed	101	0	210	0
flagoff_yulerune_s1_B	yulerune	1	B	flagoff	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	2530	4870
