tag	map	seed	seat	ours	turn	n_seats	rounds	sealed_r	live_r	funded_r	livefund_r	overlap_r	overlap_first	seal_only_r	shot_only_r	dmg_in	heal_in	net_in	dmg_out	heal_out	net_out	net_per_overlap	net_per_nonoverlap
atoll_s1_A	atoll	1	A	US	1000	8	1000	0	91	905	7	0	-1	0	7	0	0		180	92	88		0.088
atoll_s1_B	atoll	1	B	US	143	8	143	88	75	107	48	48	68	40	0	432	0	432	72	0	72	9.0	0.7579
atoll_s2_A	atoll	2	A	US	1000	8	1000	0	940	61	8	0	-1	0	8	0	0		892	798	94		0.094
atoll_s2_B	atoll	2	B	US	809	8	809	0	42	789	36	0	-1	0	36	0	0		540	36	504		0.623
atoll_s3_A	atoll	3	A	US	447	8	447	0	267	241	75	0	-1	0	75	0	0		972	464	508		1.1365
atoll_s3_B	atoll	3	B	US	381	8	381	0	316	193	137	0	-1	0	137	0	0		1484	968	516		1.3543
drakkarfjord_s1_A	drakkarfjord	1	A	US	251	8	251	47	215	197	175	14	36	33	161	108	0	108	916	524	392	7.7143	1.654
drakkarfjord_s1_B	drakkarfjord	1	B	US	117	8	117	73	60	103	60	47	57	26	13	414	0	414	106	16	90	8.8085	1.2857
drakkarfjord_s2_A	drakkarfjord	2	A	US	1000	8	1000	136	821	349	191	18	35	118	173	144	0	144	2144	2240	-96	8.0	-0.0978
drakkarfjord_s2_B	drakkarfjord	2	B	OPP	633	8	633	70	360	276	51	23	42	47	28	144	0	144	914	1058	-144	6.2609	-0.2361
drakkarfjord_s3_A	drakkarfjord	3	A	US	173	8	173	60	73	122	36	18	100	42	18	144	0	144	360	0	360	8.0	2.3226
drakkarfjord_s3_B	drakkarfjord	3	B	US	241	8	241	75	200	34	7	7	41	68	0	54	0	54	540	90	450	7.7143	1.9231
glacierkeep_s1_A	glacierkeep	1	A	US	137	8	137	111	85	21	7	7	52	104	0	0	0	0	504	0	504	0.0	3.8769
