tag	map	seed	seat	ours	cond	turn	arm	ourcore_dmg	ourcore_heal	ourcore_hp_calc	oppcore_dmg	oppcore_heal	oppcore_hp_calc	heal_back	heal_back_ours	opp_harv_built	opp_belt_built	opp_harv_killed	opp_belt_killed	opp_eco_killed	fwd_gun_n	fwd_gun_first	gun_n	fwd_sent_n	fwd_sent_first	fwd_laun_n	fwd_laun_first	collar_bar_n	unknown_deltas
atoll_s1_A	atoll	1	A	US	Titanium collected (tiebreak)	1000	v521	0	0	500	180	92	412	0.5111		4	81	1	73	74	2	367	4	1	65	6	7	10	
atoll_s1_B	atoll	1	B	US	Core destroyed	143	v521	864	850	486	504	0	-4	0.0	0.9838	2	4	0	3	3	0		0	1	68	3	7	10	
atoll_s2_A	atoll	2	A	US	Titanium collected (tiebreak)	1000	v521	1800	1800	500	1044	950	406	0.91	1.0	3	13	0	3	3	0		5	1	60	2	7	5	
atoll_s2_B	atoll	2	B	US	Core destroyed	809	v521	432	0	68	540	36	-4	0.0667	0.0	4	12	0	3	3	2	767	4	4	91	15	7	14	
atoll_s3_A	atoll	3	A	US	Core destroyed	447	v521	828	796	468	1224	716	-8	0.585	0.9614	4	18	0	6	6	1	155	7	1	180	3	7	5	
atoll_s3_B	atoll	3	B	US	Core destroyed	381	v521	2700	2690	490	2160	1644	-16	0.7611	0.9963	3	11	0	1	1	0		1	2	65	4	7	7	
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	251	v521	0	0	500	1440	940	0	0.6528		3	17	0	0	0	0		1	1	36	3	13	14	
drakkarfjord_s1_B	drakkarfjord	1	B	US	Core destroyed	117	v521	0	0	500	540	36	-4	0.0667		3	16	0	0	0	0		0	1	57	2	13	12	
drakkarfjord_s2_A	drakkarfjord	2	A	US	Titanium collected (tiebreak)	1000	v521	0	0	500	2736	2688	452	0.9825		8	75	0	0	0	0		0	2	35	2	13	14	
drakkarfjord_s2_B	drakkarfjord	2	B	OPP	Core destroyed	633	v521	504	0	-4	1278	1278	500	1.0	0.0	10	95	0	0	0	0		0	1	42	1	13	23	
drakkarfjord_s3_A	drakkarfjord	3	A	US	Core destroyed	173	v521	0	0	500	504	0	-4	0.0		3	26	0	2	2	0		0	1	100	2	13	20	
drakkarfjord_s3_B	drakkarfjord	3	B	US	Core destroyed	241	v521	0	0	500	594	90	-4	0.1515		4	27	0	0	0	0		0	1	41	2	13	14	
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	137	v521	0	0	500	504	0	-4	0.0		4	25	0	0	0	0		0	1	52	2	9	11	
glacierkeep_s1_B	glacierkeep	1	B	US	Core destroyed	271	v521	0	0	500	558	54	-4	0.0968		3	24	0	0	0	0		0	1	88	3	9	27	
glacierkeep_s2_A	glacierkeep	2	A	US	Core destroyed	177	v521	0	0	500	504	0	-4	0.0		3	26	0	0	0	0		0	1	63	2	9	11	
glacierkeep_s2_B	glacierkeep	2	B	US	Harvesters (tiebreak)	1000	v521	0	0	500	0	0	500			4	27	1	1	2	2	969	2	0		3	9	114	
glacierkeep_s3_A	glacierkeep	3	A	US	Core destroyed	208	v521	0	0	500	774	268	-6	0.3463		4	27	0	0	0	0		0	2	52	3	9	13	
glacierkeep_s3_B	glacierkeep	3	B	US	Core destroyed	243	v521	0	0	500	504	0	-4	0.0		3	27	0	0	0	0		0	1	104	2	9	20	
midgard_s1_A	midgard	1	A	US	Core destroyed	246	v521	0	0	500	504	0	-4	0.0		8	36	1	3	4	2	34	5	1	190	0		10	
midgard_s1_B	midgard	1	B	US	Core destroyed	183	v521	684	674	490	504	0	-4	0.0	0.9854	7	44	2	15	17	2	40	3	2	144	0		10	
midgard_s2_A	midgard	2	A	OPP	Core destroyed	354	v521	504	0	-4	1422	1422	500	1.0	0.0	8	40	1	3	4	1	44	5	1	50	0		6	
midgard_s2_B	midgard	2	B	OPP	Core destroyed	244	v521	504	0	-4	0	0	500		0.0	16	57	9	4	13	1	44	3	0		0		7	
midgard_s3_A	midgard	3	A	OPP	Titanium collected (tiebreak)	1000	v521	0	0	500	1908	1908	500	1.0		8	43	1	18	19	1	47	3	1	372	0		10	
midgard_s3_B	midgard	3	B	OPP	Core destroyed	521	v521	504	0	-4	72	72	500	1.0	0.0	7	57	1	24	25	2	40	3	1	47	0		10	
nordkap_s1_A	nordkap	1	A	US	Titanium collected (tiebreak)	1000	v521	72	72	500	54	54	500	1.0	1.0	3	5	0	1	1	0		0	1	105	28	5	103	
nordkap_s1_B	nordkap	1	B	OPP	Core destroyed	204	v521	594	90	-4	0	0	500		0.1515	10	36	5	7	12	2	7	2	0		3	5	7	
nordkap_s2_A	nordkap	2	A	US	Core destroyed	421	v521	0	0	500	684	170	-14	0.2485		3	6	0	0	0	1	24	1	1	39	5	5	20	
nordkap_s2_B	nordkap	2	B	US	Core destroyed	185	v521	234	0	266	504	0	-4	0.0	0.0	6	31	1	6	7	2	7	2	1	64	4	5	11	
nordkap_s3_A	nordkap	3	A	US	Core destroyed	132	v521	594	594	500	504	0	-4	0.0	1.0	2	5	0	1	1	0		0	1	60	3	5	15	
nordkap_s3_B	nordkap	3	B	US	Core destroyed	141	v521	540	306	266	504	0	-4	0.0	0.5667	2	6	1	2	3	1	7	1	1	60	3	5	11	
yulerune_s1_A	yulerune	1	A	US	Core destroyed	193	v521	0	0	500	504	0	-4	0.0		5	25	0	4	4	1	19	3	1	137	0		10	
yulerune_s1_B	yulerune	1	B	OPP	Core destroyed	292	v521	504	0	-4	0	0	500		0.0	13	58	6	8	14	1	19	1	0		0		20	
yulerune_s2_A	yulerune	2	A	US	Core destroyed	980	v521	2862	2862	500	504	0	-4	0.0	1.0	5	25	2	12	14	2	19	5	2	916	0		8	
yulerune_s2_B	yulerune	2	B	OPP	Core destroyed	229	v521	504	0	-4	0	0	500		0.0	7	36	3	3	6	1	19	2	0		0		8	
yulerune_s3_A	yulerune	3	A	OPP	Core destroyed	233	v521	918	414	-4	0	0	500		0.451	6	22	4	10	14	2	19	2	0		0		10	
yulerune_s3_B	yulerune	3	B	OPP	Core destroyed	264	v521	504	0	-4	0	0	500		0.0	13	60	6	14	20	1	19	1	0		0		7	
atoll_s4_A	atoll	4	A	US	Core destroyed	221	v521	0	0	500	504	0	-4	0.0		4	11	0	2	2	0		5	1	72	4	7	8	
atoll_s4_B	atoll	4	B	OPP	Core destroyed	671	v521	594	90	-4	0	0	500		0.1515	6	15	0	0	0	0		5	0		8	7	10	
atoll_s5_A	atoll	5	A	OPP	Titanium collected (tiebreak)	1000	v521	6588	6570	482	0	0	500		0.9973	5	18	0	2	2	0		2	1	241	10	7	7	
atoll_s5_B	atoll	5	B	OPP	Core destroyed	568	v521	504	0	-4	666	666	500	1.0	0.0	5	18	0	1	1	2	112	2	1	146	10	7	9	
atoll_s6_A	atoll	6	A	OPP	Core destroyed	229	v521	504	0	-4	0	0	500		0.0	4	13	0	0	0	0		1	0		4	7	3	
atoll_s6_B	atoll	6	B	US	Core destroyed	195	v521	1332	1308	476	936	436	0	0.4658	0.982	3	12	0	1	1	0		0	1	62	2	7	8	
drakkarfjord_s4_A	drakkarfjord	4	A	US	Core destroyed	101	v521	0	0	500	504	0	-4	0.0		3	16	0	0	0	0		0	1	45	1	13	12	
drakkarfjord_s4_B	drakkarfjord	4	B	US	Core destroyed	101	v521	0	0	500	504	0	-4	0.0		2	9	0	0	0	0		0	1	45	1	13	18	
drakkarfjord_s5_A	drakkarfjord	5	A	US	Core destroyed	117	v521	0	0	500	720	220	0	0.3056		3	16	0	0	0	0		0	1	37	1	13	12	
drakkarfjord_s5_B	drakkarfjord	5	B	US	Titanium collected (tiebreak)	1000	v521	0	0	500	1044	1044	500	1.0		8	73	0	0	0	0		0	1	40	3	13	46	
drakkarfjord_s6_A	drakkarfjord	6	A	US	Core destroyed	562	v521	0	0	500	1638	1132	-6	0.6911		7	79	0	11	11	1	511	5	5	201	8	13	24	
drakkarfjord_s6_B	drakkarfjord	6	B	US	Core destroyed	224	v521	0	0	500	756	248	-8	0.328		3	13	0	0	0	0		0	1	40	2	13	18	
glacierkeep_s4_A	glacierkeep	4	A	OPP	Core destroyed	479	v521	504	0	-4	288	232	444	0.8056	0.0	14	115	0	0	0	0		2	1	105	3	9	9	
glacierkeep_s4_B	glacierkeep	4	B	US	Harvesters (tiebreak)	1000	v521	0	0	500	1530	1362	332	0.8902		5	32	0	0	0	0		0	2	128	3	9	45	
glacierkeep_s5_A	glacierkeep	5	A	US	Core destroyed	208	v521	0	0	500	774	268	-6	0.3463		4	27	0	0	0	0		0	2	52	3	9	13	
glacierkeep_s5_B	glacierkeep	5	B	US	Core destroyed	506	v521	0	0	500	504	0	-4	0.0		3	25	0	0	0	0		2	1	116	2	9	49	
glacierkeep_s6_A	glacierkeep	6	A	US	Core destroyed	112	v521	0	0	500	504	0	-4	0.0		3	18	0	0	0	0		0	1	52	2	9	11	
glacierkeep_s6_B	glacierkeep	6	B	US	Core destroyed	243	v521	0	0	500	504	0	-4	0.0		3	27	0	0	0	0		0	1	104	2	9	20	
midgard_s4_A	midgard	4	A	OPP	Core destroyed	217	v521	504	0	-4	918	636	218	0.6928	0.0	8	40	2	6	8	1	34	2	1	49	0		7	
midgard_s4_B	midgard	4	B	OPP	Core destroyed	151	v521	882	380	-2	918	912	494	0.9935	0.4308	7	17	2	4	6	2	34	2	1	48	0		6	
midgard_s5_A	midgard	5	A	OPP	Core destroyed	837	v521	504	0	-4	0	0	500		0.0	8	28	2	6	8	1	52	3	0		0		9	
midgard_s5_B	midgard	5	B	US	Core destroyed	297	v521	0	0	500	846	344	-2	0.4066		10	31	4	7	11	4	38	6	2	203	0		7	
