tag	map	seed	seat	ours	turn	n_seats	rounds	sealed_r	live_r	funded_r	livefund_r	overlap_r	overlap_first	seal_only_r	shot_only_r	dmg_in	heal_in	net_in	dmg_out	heal_out	net_out	net_per_overlap	net_per_nonoverlap
atoll_s1_A	atoll	1	A	OPP	148	8	148	0	18	110	15	0	-1	0	15	0	0		144	0	144		0.973
atoll_s1_B	atoll	1	B	OPP	149	8	149	0	0	51	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s2_A	atoll	2	A	US	286	8	286	0	84	279	84	0	-1	0	84	0	0		726	222	504		1.7622
atoll_s2_B	atoll	2	B	OPP	368	8	368	0	18	359	18	0	-1	0	18	0	0		142	142	0		0.0
atoll_s3_A	atoll	3	A	US	674	8	674	0	464	666	464	0	-1	0	464	0	0		2336	1836	500		0.7418
atoll_s3_B	atoll	3	B	US	613	8	613	0	93	373	16	0	-1	0	16	0	0		504	0	504		0.8222
drakkarfjord_s1_A	drakkarfjord	1	A	US	153	8	153	67	65	122	48	31	89	36	17	288	0	288	216	0	216	9.2903	1.7705
drakkarfjord_s1_B	drakkarfjord	1	B	US	1000	8	1000	29	960	184	158	20	40	9	138	180	0	180	2684	2864	-180	9.0	-0.1837
drakkarfjord_s2_A	drakkarfjord	2	A	US	101	8	101	52	56	86	55	50	45	2	5	432	0	432	72	0	72	8.64	1.4118
drakkarfjord_s2_B	drakkarfjord	2	B	US	98	8	98	52	56	84	56	51	42	1	5	468	0	468	36	0	36	9.1765	0.766
drakkarfjord_s3_A	drakkarfjord	3	A	US	105	8	105	42	70	91	70	37	35	5	33	324	0	324	242	60	182	8.7568	2.6765
drakkarfjord_s3_B	drakkarfjord	3	B	US	114	8	114	39	74	100	74	28	40	11	46	252	0	252	334	80	254	9.0	2.9535
glacierkeep_s1_A	glacierkeep	1	A	US	121	8	121	85	73	65	36	36	48	49	0	306	0	306	198	0	198	8.5	2.3294
glacierkeep_s1_B	glacierkeep	1	B	US	873	8	873	96	757	118	71	12	116	84	59	108	0	108	2570	2178	392	9.0	0.4553
glacierkeep_s2_A	glacierkeep	2	A	US	108	8	108	65	56	65	56	56	52	9	0	504	0	504	0	0	0	9.0	0.0
glacierkeep_s2_B	glacierkeep	2	B	US	1000	8	1000	85	222	714	3	3	92	82	0	18	0	18	786	804	-18	6.0	-0.0181
glacierkeep_s3_A	glacierkeep	3	A	US	143	8	143	0	66	101	49	0	-1	0	49	0	0		504	0	504		3.5245
glacierkeep_s3_B	glacierkeep	3	B	US	217	8	217	179	149	35	4	4	68	175	0	18	0	18	486	0	486	4.5	2.2817
midgard_s1_A	midgard	1	A	US	245	8	245	0	48	232	48	0	-1	0	48	0	0		504	0	504		2.0571
midgard_s1_B	midgard	1	B	US	534	8	534	0	234	404	121	0	-1	0	121	0	0		504	0	504		0.9438
midgard_s2_A	midgard	2	A	OPP	285	8	285	0	237	71	30	0	-1	0	30	0	0		694	676	18		0.0632
midgard_s2_B	midgard	2	B	OPP	201	8	201	0	154	135	96	0	-1	0	96	0	0		0	0	0		0.0
midgard_s3_A	midgard	3	A	OPP	1000	8	1000	0	0	83	0	0	-1	0	0	0	0		0	0	0		0.0
midgard_s3_B	midgard	3	B	OPP	215	8	215	0	0	193	0	0	-1	0	0	0	0		0	0	0		0.0
nordkap_s1_A	nordkap	1	A	US	164	8	164	108	55	151	54	50	65	58	4	432	0	432	72	0	72	8.64	0.6316
nordkap_s1_B	nordkap	1	B	OPP	309	8	309	268	302	201	201	168	41	100	33	18	0	18	450	0	450	0.1071	3.1915
nordkap_s2_A	nordkap	2	A	US	120	8	120	72	56	109	56	56	64	16	0	504	0	504	0	0	0	9.0	0.0
nordkap_s2_B	nordkap	2	B	OPP	395	8	395	0	36	352	3	0	-1	0	3	0	0		0	0	0		0.0
nordkap_s3_A	nordkap	3	A	US	493	8	493	460	80	427	30	30	52	430	0	252	0	252	252	0	252	8.4	0.5443
nordkap_s3_B	nordkap	3	B	US	129	8	129	71	122	121	121	71	58	0	50	504	0	504	0	0	0	7.0986	0.0
yulerune_s1_A	yulerune	1	A	US	1000	8	1000	0	0	673	0	0	-1	0	0	0	0		0	0	0		0.0
yulerune_s1_B	yulerune	1	B	US	325	8	325	0	93	237	16	0	-1	0	16	0	0		504	0	504		1.5508
yulerune_s2_A	yulerune	2	A	US	420	8	420	0	120	368	120	0	-1	0	120	0	0		810	304	506		1.2048
yulerune_s2_B	yulerune	2	B	US	559	8	559	0	78	506	78	0	-1	0	78	0	0		504	0	504		0.9016
yulerune_s3_A	yulerune	3	A	US	273	8	273	0	93	182	16	0	-1	0	16	0	0		504	0	504		1.8462
yulerune_s3_B	yulerune	3	B	OPP	148	8	148	0	0	85	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s4_A	atoll	4	A	US	273	8	273	16	56	265	56	16	231	0	40	144	0	144	360	0	360	9.0	1.4008
atoll_s4_B	atoll	4	B	US	127	8	127	0	61	102	49	0	-1	0	49	0	0		504	0	504		3.9685
atoll_s5_A	atoll	5	A	US	403	8	403	0	203	242	49	0	-1	0	49	0	0		718	214	504		1.2506
atoll_s5_B	atoll	5	B	OPP	212	8	212	0	43	144	23	0	-1	0	23	0	0		114	114	0		0.0
