map	seed	seat	ok	winner	turns	cond	treat_won	traceback
antler	525276	A	True	B	137	core_destroyed	False	False
antler	525278	A	True	B	159	core_destroyed	False	False
antler	525279	B	True	A	155	core_destroyed	False	False
antler	525277	B	True	A	583	core_destroyed	False	False
antler	525280	A	True	A	121	core_destroyed	True	False
antler	525281	B	True	B	280	core_destroyed	True	False
antler	525282	A	True	A	1000	titanium_collected	True	False
antler	525283	B	True	A	232	core_destroyed	False	False
antler	525284	A	True	A	278	core_destroyed	True	False
antler	525285	B	True	B	507	core_destroyed	True	False
antler	525286	A	True	A	121	core_destroyed	True	False
antler	525287	B	True	B	253	core_destroyed	True	False
antler	525288	A	True	B	169	core_destroyed	False	False
antler	525289	B	True	B	171	core_destroyed	True	False
antler	525290	A	True	A	157	core_destroyed	True	False
antler	525291	B	True	A	76	core_destroyed	False	False
antler	525292	A	True	A	189	core_destroyed	True	False
antler	525293	B	True	B	225	core_destroyed	True	False
antler	525295	B	True	B	217	core_destroyed	True	False
antler	525294	A	True	A	457	core_destroyed	True	False
antler	525296	A	True	B	215	core_destroyed	False	False
antler	525297	B	True	A	1000	titanium_collected	False	False
antler	525298	A	True	B	172	core_destroyed	False	False
antler	525300	A	True	A	278	core_destroyed	True	False
antler	525299	B	True	A	251	core_destroyed	False	False
antler	525301	B	True	B	189	core_destroyed	True	False
antler	525302	A	True	A	307	core_destroyed	True	False
antler	525303	B	True	A	365	core_destroyed	False	False
antler	525304	A	True	A	153	core_destroyed	True	False
antler	525305	B	True	B	374	core_destroyed	True	False
antler	525306	A	True	A	211	core_destroyed	True	False
antler	525307	B	True	B	372	core_destroyed	True	False
antler	525308	A	True	A	389	core_destroyed	True	False
antler	525310	A	True	A	145	core_destroyed	True	False
antler	525309	B	True	B	278	core_destroyed	True	False
antler	525312	A	True	A	193	core_destroyed	True	False
antler	525313	B	True	A	339	core_destroyed	False	False
antler	525311	B	True	B	488	core_destroyed	True	False
antler	525314	A	True	A	225	core_destroyed	True	False
antler	525315	B	True	A	395	core_destroyed	False	False
antler	525316	A	True	A	357	core_destroyed	True	False
antler	525317	B	True	B	330	core_destroyed	True	False
antler	525318	A	True	A	136	core_destroyed	True	False
antler	525319	B	True	B	553	core_destroyed	True	False
fjordgate	525320	A	True	A	174	core_destroyed	True	False
fjordgate	525321	B	True	A	785	core_destroyed	False	False
fjordgate	525323	B	True	A	240	core_destroyed	False	False
fjordgate	525322	A	True	A	509	core_destroyed	True	False
fjordgate	525324	A	True	A	198	core_destroyed	True	False
fjordgate	525325	B	True	B	199	core_destroyed	True	False
fjordgate	525327	B	True	B	174	core_destroyed	True	False
fjordgate	525326	A	True	A	382	core_destroyed	True	False
fjordgate	525328	A	True	A	194	core_destroyed	True	False
fjordgate	525329	B	True	B	129	core_destroyed	True	False
fjordgate	525330	A	True	A	248	core_destroyed	True	False
fjordgate	525331	B	True	B	218	core_destroyed	True	False
fjordgate	525332	A	True	A	147	core_destroyed	True	False
fjordgate	525333	B	True	A	290	core_destroyed	False	False
fjordgate	525334	A	True	A	360	core_destroyed	True	False
fjordgate	525335	B	True	B	287	core_destroyed	True	False
fjordgate	525336	A	True	A	329	core_destroyed	True	False
fjordgate	525337	B	True	A	306	core_destroyed	False	False
fjordgate	525338	A	True	A	169	core_destroyed	True	False
fjordgate	525339	B	True	B	479	core_destroyed	True	False
fjordgate	525340	A	True	B	139	core_destroyed	False	False
fjordgate	525341	B	True	A	158	core_destroyed	False	False
fjordgate	525343	B	True	B	156	core_destroyed	True	False
fjordgate	525342	A	True	A	1000	titanium_collected	True	False
fjordgate	525344	A	True	A	329	core_destroyed	True	False
fjordgate	525345	B	True	B	211	core_destroyed	True	False
fjordgate	525346	A	True	A	728	core_destroyed	True	False
fjordgate	525347	B	True	A	106	core_destroyed	False	False
fjordgate	525348	A	True	A	275	core_destroyed	True	False
fjordgate	525349	B	True	B	210	core_destroyed	True	False
fjordgate	525351	B	True	A	224	core_destroyed	False	False
fjordgate	525350	A	True	B	789	core_destroyed	False	False
fjordgate	525352	A	True	A	135	core_destroyed	True	False
fjordgate	525353	B	True	B	225	core_destroyed	True	False
fjordgate	525354	A	True	A	153	core_destroyed	True	False
fjordgate	525356	A	True	B	126	core_destroyed	False	False
fjordgate	525355	B	True	B	227	core_destroyed	True	False
fjordgate	525357	B	True	B	209	core_destroyed	True	False
fjordgate	525358	A	True	A	236	core_destroyed	True	False
fjordgate	525359	B	True	B	133	core_destroyed	True	False
fjordgate	525360	A	True	B	1000	titanium_collected	False	False
fjordgate	525361	B	True	B	348	core_destroyed	True	False
fjordgate	525362	A	True	A	210	core_destroyed	True	False
fjordgate	525363	B	True	A	125	core_destroyed	False	False
fjordgate	525364	A	True	A	344	core_destroyed	True	False
fjordgate	525365	B	True	B	294	core_destroyed	True	False
fjordgate	525367	B	True	B	229	core_destroyed	True	False
fjordgate	525366	A	True	B	260	core_destroyed	False	False
fjordgate	525368	A	True	A	285	core_destroyed	True	False
fjordgate	525369	B	True	B	346	core_destroyed	True	False
fjordgate	525370	A	True	B	218	core_destroyed	False	False
fjordgate	525371	B	True	B	184	core_destroyed	True	False
fjordgate	525372	A	True	A	755	core_destroyed	True	False
fjordgate	525373	B	True	B	376	core_destroyed	True	False
fjordgate	525374	A	True	A	323	core_destroyed	True	False
fjordgate	525375	B	True	A	178	core_destroyed	False	False
fjordgate	525376	A	True	A	105	core_destroyed	True	False
fjordgate	525377	B	True	B	162	core_destroyed	True	False
fjordgate	525378	A	True	A	210	core_destroyed	True	False
fjordgate	525379	B	True	B	424	core_destroyed	True	False
