file	side	opp	map	our_team	won	turns	lastrnd	kind	rnd	x	y	d2	died	drnd	life	nb_same8	nb_sameturret8	nb_opp8	nb_same16	nb_opp16	reuse
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_3.replay26	THEM	Powerpuff Girls	fjordgate	0	0	659	658	gunner	156	3	5	10	1	158	2	5	2	5	7	6	7
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_3.replay26	THEM	Powerpuff Girls	fjordgate	0	0	659	658	gunner	176	3	5	10	1	178	2	5	2	5	7	6	7
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_3.replay26	THEM	Powerpuff Girls	fjordgate	0	0	659	658	gunner	200	3	5	10	1	202	2	5	2	5	7	6	7
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_3.replay26	THEM	Powerpuff Girls	fjordgate	0	0	659	658	gunner	220	3	5	10	1	222	2	5	2	5	7	6	7
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_3.replay26	THEM	Powerpuff Girls	fjordgate	0	0	659	658	gunner	244	3	5	10	0	-1	-1	5	2	5	7	6	7
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_4.replay26	US	Powerpuff Girls	nordkap	0	1	190	189	sentinel	6	10	13	26	1	32	26	0	0	0	0	0	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_4.replay26	THEM	Powerpuff Girls	nordkap	0	1	190	189	gunner	20	8	11	26	1	48	28	0	0	4	0	6	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_4.replay26	US	Powerpuff Girls	nordkap	0	1	190	189	gunner	78	9	15	9	1	120	42	0	0	1	0	2	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_4.replay26	THEM	Powerpuff Girls	nordkap	0	1	190	189	gunner	92	7	11	29	1	175	83	0	0	1	0	10	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_4.replay26	US	Powerpuff Girls	nordkap	0	1	190	189	gunner	100	10	16	5	1	155	55	1	1	3	1	4	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_5.replay26	US	Powerpuff Girls	hive	0	1	462	461	gunner	88	19	6	13	1	157	69	1	1	4	1	11	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_5.replay26	US	Powerpuff Girls	hive	0	1	462	461	gunner	104	18	4	10	1	116	12	1	1	9	1	13	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	7	7	9	10	1	18	11	1	1	1	2	1	2
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	THEM	Kings College Munich	antler	0	0	671	670	gunner	36	4	9	29	1	53	17	0	0	1	1	3	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	38	7	9	10	1	45	7	1	1	0	3	2	2
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	60	4	9	13	0	-1	-1	1	0	1	3	2	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	THEM	Kings College Munich	antler	0	0	671	670	gunner	108	6	9	25	1	111	3	3	1	5	9	9	2
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	111	7	10	5	1	118	7	2	0	8	6	12	3
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	THEM	Kings College Munich	antler	0	0	671	670	gunner	113	6	8	16	1	133	20	1	0	8	4	13	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	140	6	9	9	1	144	4	5	2	4	9	9	8
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	THEM	Kings College Munich	antler	0	0	671	670	gunner	155	7	9	26	1	238	83	6	3	4	10	7	3
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	240	7	10	5	1	244	4	2	0	8	6	13	3
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	THEM	Kings College Munich	antler	0	0	671	670	gunner	270	6	9	25	1	275	5	4	2	3	10	9	2
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	THEM	Kings College Munich	antler	0	0	671	670	gunner	300	5	9	26	1	303	3	2	2	5	6	14	4
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	300	5	11	2	1	304	4	3	1	6	6	14	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	302	4	11	5	1	311	9	5	2	6	7	9	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	312	4	10	8	1	327	15	6	1	2	13	6	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	THEM	Kings College Munich	antler	0	0	671	670	gunner	331	7	9	26	1	402	71	7	4	4	10	14	3
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	447	6	9	9	1	460	13	7	1	5	19	9	8
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	448	7	10	5	1	452	4	5	1	9	15	13	3
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	520	6	9	9	1	523	3	7	1	4	20	8	8
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	523	6	9	9	1	525	2	8	1	4	21	8	8
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	526	6	9	9	1	528	2	8	1	4	21	8	8
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	529	6	9	9	1	532	3	8	1	4	21	8	8
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	THEM	Kings College Munich	antler	0	0	671	670	gunner	531	7	7	10	0	-1	-1	1	1	15	6	27	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	532	6	9	9	1	536	4	8	1	5	21	9	8
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	US	Kings College Munich	antler	0	0	671	670	gunner	536	6	9	9	1	538	2	8	1	5	21	9	8
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	THEM	Kings College Munich	antler	0	0	671	670	gunner	553	7	9	26	1	558	5	8	5	6	11	18	3
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	THEM	Kings College Munich	antler	0	0	671	670	gunner	578	5	9	26	1	579	1	3	3	8	7	22	4
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	THEM	Kings College Munich	antler	0	0	671	670	gunner	608	5	9	26	1	609	1	3	3	8	8	21	4
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	THEM	Kings College Munich	antler	0	0	671	670	gunner	611	5	9	26	1	612	1	3	3	8	8	21	4
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	THEM	Kings College Munich	antler	0	0	671	670	sentinel	633	2	1	25	0	-1	-1	0	0	7	2	12	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_1.replay26	THEM	Kings College Munich	antler	0	0	671	670	sentinel	642	1	4	25	0	-1	-1	2	0	8	6	14	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_2.replay26	US	Kings College Munich	hive	0	0	759	758	gunner	27	19	6	13	1	35	8	0	0	4	0	6	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_2.replay26	US	Kings College Munich	hive	0	0	759	758	gunner	29	19	5	8	1	41	12	1	1	4	1	7	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_2.replay26	THEM	Kings College Munich	hive	0	0	759	758	gunner	99	4	23	13	1	117	18	0	0	1	0	2	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_2.replay26	THEM	Kings College Munich	hive	0	0	759	758	gunner	106	6	22	20	1	106	0	1	1	3	1	5	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_2.replay26	THEM	Kings College Munich	hive	0	0	759	758	gunner	244	7	20	25	1	246	2	0	0	4	2	11	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_2.replay26	THEM	Kings College Munich	hive	0	0	759	758	gunner	370	6	16	32	0	-1	-1	0	0	10	1	16	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_2.replay26	THEM	Kings College Munich	hive	0	0	759	758	gunner	372	5	16	25	0	-1	-1	1	1	12	1	18	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_2.replay26	THEM	Kings College Munich	hive	0	0	759	758	sentinel	385	2	15	25	0	-1	-1	0	0	7	1	11	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_2.replay26	THEM	Kings College Munich	hive	0	0	759	758	sentinel	392	2	17	9	1	531	139	1	1	10	2	14	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_2.replay26	THEM	Kings College Munich	hive	0	0	759	758	gunner	415	5	18	13	0	-1	-1	2	2	8	3	14	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_3.replay26	US	Kings College Munich	atoll	0	0	226	225	gunner	11	12	5	13	1	16	5	0	0	1	0	2	2
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_3.replay26	US	Kings College Munich	atoll	0	0	226	225	gunner	17	12	5	13	1	20	3	0	0	3	0	4	2
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_3.replay26	THEM	Kings College Munich	atoll	0	0	226	225	gunner	67	5	10	25	0	-1	-1	0	0	1	2	1	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_3.replay26	US	Kings College Munich	atoll	0	0	226	225	gunner	92	12	4	8	1	96	4	0	0	3	0	6	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_3.replay26	THEM	Kings College Munich	atoll	0	0	226	225	gunner	159	2	13	1	0	-1	-1	0	0	11	0	17	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_3.replay26	THEM	Kings College Munich	atoll	0	0	226	225	gunner	170	7	15	26	0	-1	-1	0	0	4	0	9	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_3.replay26	THEM	Kings College Munich	atoll	0	0	226	225	gunner	181	4	12	8	0	-1	-1	2	2	2	2	9	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_3.replay26	THEM	Kings College Munich	atoll	0	0	226	225	gunner	189	3	12	5	0	-1	-1	3	3	5	3	10	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_4.replay26	THEM	Kings College Munich	saga	0	0	588	587	gunner	131	4	9	25	1	156	25	0	0	9	1	14	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_4.replay26	US	Kings College Munich	saga	0	0	588	587	gunner	251	21	18	9	1	260	9	0	0	4	0	8	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_5.replay26	THEM	Kings College Munich	lighthouse	0	0	745	744	gunner	7	7	5	20	1	11	4	1	0	1	1	1	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_5.replay26	US	Kings College Munich	lighthouse	0	0	745	744	gunner	9	9	9	8	1	16	7	0	0	1	0	1	3
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_5.replay26	US	Kings College Munich	lighthouse	0	0	745	744	gunner	24	9	9	8	1	31	7	0	0	3	0	3	3
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_5.replay26	US	Kings College Munich	lighthouse	0	0	745	744	gunner	40	9	9	8	1	52	12	0	0	3	0	3	3
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_5.replay26	US	Kings College Munich	lighthouse	0	0	745	744	gunner	95	12	8	10	1	100	5	1	0	8	1	10	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_5.replay26	US	Kings College Munich	lighthouse	0	0	745	744	gunner	154	10	10	2	1	177	23	0	0	9	5	14	2
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_5.replay26	US	Kings College Munich	lighthouse	0	0	745	744	gunner	156	9	10	5	1	205	49	5	1	9	7	12	5
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_5.replay26	US	Kings College Munich	lighthouse	0	0	745	744	gunner	238	8	11	9	1	245	7	3	0	10	5	13	1
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_5.replay26	US	Kings College Munich	lighthouse	0	0	745	744	gunner	364	9	10	5	1	371	7	2	0	10	4	13	5
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_5.replay26	US	Kings College Munich	lighthouse	0	0	745	744	gunner	372	10	10	2	1	384	12	0	0	9	3	14	2
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_5.replay26	US	Kings College Munich	lighthouse	0	0	745	744	gunner	374	9	10	5	1	381	7	3	1	9	5	12	5
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_5.replay26	US	Kings College Munich	lighthouse	0	0	745	744	gunner	381	9	10	5	1	388	7	3	1	10	5	13	5
01a5778f-b1b7-4c97-a5ce-7682fc8ae7fe_game_5.replay26	US	Kings College Munich	lighthouse	0	0	745	744	gunner	388	9	10	5	1	392	4	2	0	10	4	13	5
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_1.replay26	THEM	Banminary	antler	1	1	177	176	sentinel	2	6	8	16	1	10	8	0	0	0	0	0	2
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_1.replay26	THEM	Banminary	antler	1	1	177	176	sentinel	4	7	8	17	1	11	7	1	1	0	1	0	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_1.replay26	THEM	Banminary	antler	1	1	177	176	sentinel	12	3	9	18	1	96	84	0	0	0	0	0	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_1.replay26	THEM	Banminary	antler	1	1	177	176	sentinel	15	6	8	16	1	20	5	0	0	1	1	2	2
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_1.replay26	THEM	Banminary	antler	1	1	177	176	gunner	23	8	11	5	1	71	48	0	0	2	0	3	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_1.replay26	THEM	Banminary	antler	1	1	177	176	gunner	30	6	11	1	1	91	61	1	1	2	2	4	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_1.replay26	US	Banminary	antler	1	1	177	176	gunner	133	7	8	17	0	-1	-1	4	1	0	10	0	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_1.replay26	US	Banminary	antler	1	1	177	176	gunner	147	4	7	13	0	-1	-1	1	0	0	4	0	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_1.replay26	US	Banminary	antler	1	1	177	176	gunner	165	6	8	16	0	-1	-1	8	3	0	16	0	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_2.replay26	THEM	Banminary	saga	1	1	879	878	sentinel	16	14	14	32	1	22	6	0	0	1	0	1	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_2.replay26	THEM	Banminary	saga	1	1	879	878	sentinel	21	14	18	16	1	320	299	0	0	4	1	7	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_2.replay26	THEM	Banminary	saga	1	1	879	878	gunner	42	18	17	1	1	359	317	0	0	4	0	9	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_2.replay26	US	Banminary	saga	1	1	879	878	gunner	48	2	7	13	1	364	316	0	0	1	0	1	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_2.replay26	THEM	Banminary	saga	1	1	879	878	gunner	508	14	20	20	1	535	27	0	0	9	5	13	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_2.replay26	THEM	Banminary	saga	1	1	879	878	gunner	528	15	19	10	1	538	10	1	1	11	2	15	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_2.replay26	THEM	Banminary	saga	1	1	879	878	gunner	758	15	18	9	1	759	1	0	0	11	1	20	2
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_2.replay26	THEM	Banminary	saga	1	1	879	878	gunner	795	15	18	9	1	797	2	0	0	11	1	20	2
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_2.replay26	THEM	Banminary	saga	1	1	879	878	gunner	841	18	15	9	1	845	4	0	0	8	0	22	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_2.replay26	US	Banminary	saga	1	1	879	878	gunner	866	7	2	13	0	-1	-1	0	0	6	0	16	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_2.replay26	US	Banminary	saga	1	1	879	878	gunner	871	4	2	4	0	-1	-1	0	0	5	1	8	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_3.replay26	US	Banminary	nordkap	1	1	130	129	gunner	7	9	9	9	1	36	29	0	0	1	0	1	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_3.replay26	THEM	Banminary	nordkap	1	1	130	129	sentinel	7	9	13	25	0	-1	-1	1	0	1	1	2	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_3.replay26	US	Banminary	nordkap	1	1	130	129	gunner	8	10	10	17	1	61	53	1	1	1	1	2	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_3.replay26	THEM	Banminary	nordkap	1	1	130	129	sentinel	10	10	14	17	0	-1	-1	1	1	1	2	2	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_3.replay26	THEM	Banminary	nordkap	1	1	130	129	sentinel	82	6	15	18	0	-1	-1	0	0	0	1	1	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_3.replay26	US	Banminary	nordkap	1	1	130	129	gunner	92	10	8	5	0	-1	-1	0	0	3	1	10	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_3.replay26	THEM	Banminary	nordkap	1	1	130	129	gunner	100	8	18	1	1	114	14	0	0	4	1	9	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_3.replay26	THEM	Banminary	nordkap	1	1	130	129	gunner	127	8	19	2	0	-1	-1	0	0	3	0	7	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_4.replay26	THEM	Banminary	snowflake	1	0	66	65	sentinel	21	14	19	25	0	-1	-1	0	0	3	0	6	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_4.replay26	THEM	Banminary	snowflake	1	0	66	65	sentinel	24	15	20	17	0	-1	-1	1	1	4	1	8	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_4.replay26	THEM	Banminary	snowflake	1	0	66	65	gunner	56	18	21	5	0	-1	-1	0	0	5	1	8	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_5.replay26	US	Banminary	fjordgate	1	0	44	43	gunner	3	5	5	18	0	-1	-1	0	0	0	0	0	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_5.replay26	THEM	Banminary	fjordgate	1	0	44	43	sentinel	4	6	2	16	0	-1	-1	0	0	0	0	1	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_5.replay26	US	Banminary	fjordgate	1	0	44	43	gunner	5	6	3	17	0	-1	-1	1	1	1	1	1	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_5.replay26	THEM	Banminary	fjordgate	1	0	44	43	sentinel	6	6	1	25	0	-1	-1	1	1	1	1	1	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_5.replay26	THEM	Banminary	fjordgate	1	0	44	43	sentinel	32	7	1	26	0	-1	-1	2	2	1	2	2	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_1.replay26	THEM	Kings College Munich	eider	1	0	675	674	gunner	5	16	10	10	1	9	4	0	0	0	0	0	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_1.replay26	US	Kings College Munich	eider	1	0	675	674	sentinel	68	11	10	17	1	85	17	2	0	11	5	13	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_1.replay26	US	Kings College Munich	eider	1	0	675	674	gunner	86	11	10	17	1	102	16	3	0	10	6	11	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_1.replay26	US	Kings College Munich	eider	1	0	675	674	gunner	88	10	11	13	1	94	6	2	1	11	3	12	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_1.replay26	THEM	Kings College Munich	eider	1	0	675	674	sentinel	662	23	9	16	0	-1	-1	0	0	6	0	15	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_2.replay26	THEM	Kings College Munich	meander	1	0	747	746	gunner	21	12	5	26	0	-1	-1	3	1	2	5	5	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_2.replay26	THEM	Kings College Munich	meander	1	0	747	746	gunner	22	13	6	20	0	-1	-1	1	1	5	4	10	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_2.replay26	THEM	Kings College Munich	meander	1	0	747	746	gunner	40	9	7	13	1	52	12	3	0	7	5	8	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_2.replay26	THEM	Kings College Munich	meander	1	0	747	746	gunner	48	11	6	16	0	-1	-1	4	4	6	7	10	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_2.replay26	THEM	Kings College Munich	meander	1	0	747	746	gunner	162	15	6	32	1	176	14	7	1	4	15	8	3
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_2.replay26	THEM	Kings College Munich	meander	1	0	747	746	gunner	177	13	7	13	0	-1	-1	8	3	6	13	10	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_2.replay26	THEM	Kings College Munich	meander	1	0	747	746	gunner	182	15	6	32	1	263	81	8	2	4	16	8	3
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_2.replay26	THEM	Kings College Munich	meander	1	0	747	746	gunner	192	11	9	1	0	-1	-1	4	1	7	7	18	1
