tag	arm	map	g	seed	ord	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
flagoffC_glacierkeep_g0	flagoffC	glacierkeep	0	7600	A	US	flagoff	Core destroyed	361	0	0	0
flagoffC_glacierkeep_g1	flagoffC	glacierkeep	1	7601	B	US	flagoff	Core destroyed	185	0	30	0
flagoffC_glacierkeep_g2	flagoffC	glacierkeep	2	7602	A	OPP	_v488beltbreak2	Core destroyed	873	0	170	0
flagoffC_glacierkeep_g3	flagoffC	glacierkeep	3	7603	B	OPP	_v488beltbreak2	Core destroyed	669	0	0	0
flagoffC_glacierkeep_g4	flagoffC	glacierkeep	4	7604	A	OPP	_v488beltbreak2	Core destroyed	641	0	650	0
flagoffC_glacierkeep_g5	flagoffC	glacierkeep	5	7605	B	OPP	_v488beltbreak2	Core destroyed	613	0	170	730
flagoffC_nordkap_g0	flagoffC	nordkap	0	7600	A	OPP	_v488beltbreak2	Core destroyed	619	0	1790	4510
flagoffC_nordkap_g1	flagoffC	nordkap	1	7601	B	OPP	_v488beltbreak2	Core destroyed	188	0	100	1840
flagoffC_nordkap_g2	flagoffC	nordkap	2	7602	A	US	flagoff	Core destroyed	203	0	520	30
flagoffC_nordkap_g3	flagoffC	nordkap	3	7603	B	US	flagoff	Core destroyed	244	0	1170	730
flagoffC_nordkap_g4	flagoffC	nordkap	4	7604	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	350	2060
flagoffC_nordkap_g5	flagoffC	nordkap	5	7605	B	OPP	_v488beltbreak2	Core destroyed	251	0	120	2700
flagoffC_atoll_g0	flagoffC	atoll	0	7600	A	US	flagoff	Core destroyed	290	0	1630	420
flagoffC_atoll_g1	flagoffC	atoll	1	7601	B	US	flagoff	Core destroyed	261	0	750	730
flagoffC_atoll_g2	flagoffC	atoll	2	7602	A	US	flagoff	Core destroyed	313	0	1530	2110
flagoffC_atoll_g3	flagoffC	atoll	3	7603	B	OPP	_v488beltbreak2	Core destroyed	279	0	1080	2190
flagoffC_atoll_g4	flagoffC	atoll	4	7604	A	US	flagoff	Core destroyed	648	0	6000	2780
flagoffC_atoll_g5	flagoffC	atoll	5	7605	B	OPP	_v488beltbreak2	Core destroyed	219	0	1070	640
flagoffC_midgard_g0	flagoffC	midgard	0	7600	A	OPP	_v488beltbreak2	Core destroyed	227	0	560	1790
flagoffC_midgard_g1	flagoffC	midgard	1	7601	B	OPP	_v488beltbreak2	Core destroyed	197	0	690	2270
flagoffC_midgard_g2	flagoffC	midgard	2	7602	A	OPP	_v488beltbreak2	Core destroyed	393	0	630	4800
flagoffC_midgard_g3	flagoffC	midgard	3	7603	B	OPP	_v488beltbreak2	Core destroyed	125	0	490	1580
flagoffC_midgard_g4	flagoffC	midgard	4	7604	A	US	flagoff	Titanium collected (tiebreak)	1000	0	650	370
flagoffC_midgard_g5	flagoffC	midgard	5	7605	B	OPP	_v488beltbreak2	Core destroyed	185	0	560	1710
flagoffC_drakkarfjord_g0	flagoffC	drakkarfjord	0	7600	A	US	flagoff	Core destroyed	629	0	460	0
flagoffC_drakkarfjord_g1	flagoffC	drakkarfjord	1	7601	B	US	flagoff	Core destroyed	256	0	1220	0
flagoffC_drakkarfjord_g2	flagoffC	drakkarfjord	2	7602	A	OPP	_v488beltbreak2	Core destroyed	386	0	190	1580
flagoffC_drakkarfjord_g3	flagoffC	drakkarfjord	3	7603	B	US	flagoff	Titanium collected (tiebreak)	1000	0	11500	10690
flagoffC_drakkarfjord_g4	flagoffC	drakkarfjord	4	7604	A	US	flagoff	Core destroyed	171	0	1040	0
flagoffC_drakkarfjord_g5	flagoffC	drakkarfjord	5	7605	B	US	flagoff	Core destroyed	286	0	2580	230
