tag	arm	map	g	seed	ord	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
gk_v513_archipelago_g0	gk_v513	archipelago	0	8100	A	US	_v513siegecrew	Core destroyed	194	0	1760	1220
gk_v513_archipelago_g1	gk_v513	archipelago	1	8101	B	OPP	_v468kladturbo	Core destroyed	238	0	710	720
gk_v513_archipelago_g2	gk_v513	archipelago	2	8102	A	US	_v513siegecrew	Core destroyed	505	0	4060	1630
gk_v513_archipelago_g3	gk_v513	archipelago	3	8103	B	OPP	_v468kladturbo	Core destroyed	434	0	2090	4150
gk_v513_archipelago_g4	gk_v513	archipelago	4	8104	A	OPP	_v468kladturbo	Core destroyed	429	0	1800	1250
gk_v513_archipelago_g5	gk_v513	archipelago	5	8105	B	OPP	_v468kladturbo	Core destroyed	244	0	1980	2710
gk_v513_archipelago_g6	gk_v513	archipelago	6	8106	A	OPP	_v468kladturbo	Core destroyed	162	0	660	1150
gk_v513_archipelago_g7	gk_v513	archipelago	7	8107	B	OPP	_v468kladturbo	Core destroyed	186	0	640	1370
gk_v513_archipelago_g8	gk_v513	archipelago	8	8108	A	OPP	_v468kladturbo	Core destroyed	342	0	1120	1120
gk_v513_archipelago_g9	gk_v513	archipelago	9	8109	B	OPP	_v468kladturbo	Core destroyed	255	0	1330	1870
gk_v513_archipelago_g10	gk_v513	archipelago	10	8110	A	OPP	_v468kladturbo	Core destroyed	141	0	1060	840
gk_v513_archipelago_g11	gk_v513	archipelago	11	8111	B	OPP	_v468kladturbo	Core destroyed	261	0	1370	1510
