tag	arm	map	g	seed	ord	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
gk_noch_archipelago_g0	gk_noch	archipelago	0	8100	A	US	nochassis	Core destroyed	166	0	1500	750
gk_noch_archipelago_g1	gk_noch	archipelago	1	8101	B	OPP	_v468kladturbo	Core destroyed	70	0	420	390
gk_noch_archipelago_g2	gk_noch	archipelago	2	8102	A	OPP	_v468kladturbo	Core destroyed	166	0	1880	1550
gk_noch_archipelago_g3	gk_noch	archipelago	3	8103	B	OPP	_v468kladturbo	Core destroyed	281	0	2020	1420
gk_noch_archipelago_g4	gk_noch	archipelago	4	8104	A	OPP	_v468kladturbo	Core destroyed	322	0	2470	2120
gk_noch_archipelago_g5	gk_noch	archipelago	5	8105	B	US	nochassis	Core destroyed	361	0	3450	530
gk_noch_archipelago_g6	gk_noch	archipelago	6	8106	A	OPP	_v468kladturbo	Core destroyed	205	0	1070	1060
gk_noch_archipelago_g7	gk_noch	archipelago	7	8107	B	OPP	_v468kladturbo	Core destroyed	319	0	740	3620
gk_noch_archipelago_g8	gk_noch	archipelago	8	8108	A	US	nochassis	Core destroyed	218	0	1690	330
gk_noch_archipelago_g9	gk_noch	archipelago	9	8109	B	OPP	_v468kladturbo	Core destroyed	308	0	1820	2030
gk_noch_archipelago_g10	gk_noch	archipelago	10	8110	A	US	nochassis	Core destroyed	356	0	3360	970
gk_noch_archipelago_g11	gk_noch	archipelago	11	8111	B	OPP	_v468kladturbo	Core destroyed	133	0	740	950
