tag	arm	map	g	seed	ord	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
noobsbypassB_glacierkeep_g0	noobsbypassB	glacierkeep	0	7500	A	US	noobsbypass	Core destroyed	281	0	170	0
noobsbypassB_glacierkeep_g1	noobsbypassB	glacierkeep	1	7501	B	US	noobsbypass	Titanium collected (tiebreak)	1000	0	140	0
noobsbypassB_glacierkeep_g2	noobsbypassB	glacierkeep	2	7502	A	OPP	_v488beltbreak2	Core destroyed	857	0	320	0
noobsbypassB_glacierkeep_g3	noobsbypassB	glacierkeep	3	7503	B	US	noobsbypass	Core destroyed	576	0	40	0
noobsbypassB_glacierkeep_g4	noobsbypassB	glacierkeep	4	7504	A	OPP	_v488beltbreak2	Core destroyed	481	0	160	0
noobsbypassB_glacierkeep_g5	noobsbypassB	glacierkeep	5	7505	B	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
noobsbypassB_nordkap_g0	noobsbypassB	nordkap	0	7500	A	OPP	_v488beltbreak2	Core destroyed	485	0	200	310
noobsbypassB_nordkap_g1	noobsbypassB	nordkap	1	7501	B	OPP	_v488beltbreak2	Core destroyed	391	0	3520	5320
noobsbypassB_nordkap_g2	noobsbypassB	nordkap	2	7502	A	US	noobsbypass	Titanium collected (tiebreak)	1000	0	470	100
noobsbypassB_nordkap_g3	noobsbypassB	nordkap	3	7503	B	US	noobsbypass	Core destroyed	317	0	2670	680
noobsbypassB_nordkap_g4	noobsbypassB	nordkap	4	7504	A	US	noobsbypass	Core destroyed	397	0	1160	350
noobsbypassB_nordkap_g5	noobsbypassB	nordkap	5	7505	B	US	noobsbypass	Core destroyed	653	0	0	0
noobsbypassB_atoll_g0	noobsbypassB	atoll	0	7500	A	US	noobsbypass	Core destroyed	174	0	540	490
noobsbypassB_atoll_g1	noobsbypassB	atoll	1	7501	B	OPP	_v488beltbreak2	Core destroyed	144	0	650	850
noobsbypassB_atoll_g2	noobsbypassB	atoll	2	7502	A	US	noobsbypass	Core destroyed	199	0	960	240
noobsbypassB_atoll_g3	noobsbypassB	atoll	3	7503	B	US	noobsbypass	Core destroyed	297	0	1440	810
noobsbypassB_atoll_g4	noobsbypassB	atoll	4	7504	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	4970	5800
noobsbypassB_atoll_g5	noobsbypassB	atoll	5	7505	B	OPP	_v488beltbreak2	Core destroyed	415	0	2040	5220
noobsbypassB_midgard_g0	noobsbypassB	midgard	0	7500	A	OPP	_v488beltbreak2	Core destroyed	174	0	510	1600
noobsbypassB_midgard_g1	noobsbypassB	midgard	1	7501	B	OPP	_v488beltbreak2	Core destroyed	146	0	600	1610
noobsbypassB_midgard_g2	noobsbypassB	midgard	2	7502	A	OPP	_v488beltbreak2	Core destroyed	192	0	560	1210
noobsbypassB_midgard_g3	noobsbypassB	midgard	3	7503	B	OPP	_v488beltbreak2	Core destroyed	160	0	510	1510
noobsbypassB_midgard_g4	noobsbypassB	midgard	4	7504	A	OPP	_v488beltbreak2	Core destroyed	192	0	560	1210
noobsbypassB_midgard_g5	noobsbypassB	midgard	5	7505	B	OPP	_v488beltbreak2	Core destroyed	154	0	510	2110
noobsbypassB_drakkarfjord_g0	noobsbypassB	drakkarfjord	0	7500	A	OPP	_v488beltbreak2	Core destroyed	255	0	1050	2270
noobsbypassB_drakkarfjord_g1	noobsbypassB	drakkarfjord	1	7501	B	OPP	_v488beltbreak2	Core destroyed	364	0	380	4080
noobsbypassB_drakkarfjord_g2	noobsbypassB	drakkarfjord	2	7502	A	US	noobsbypass	Core destroyed	899	0	5100	1710
noobsbypassB_drakkarfjord_g3	noobsbypassB	drakkarfjord	3	7503	B	US	noobsbypass	Core destroyed	100	0	360	0
noobsbypassB_drakkarfjord_g4	noobsbypassB	drakkarfjord	4	7504	A	US	noobsbypass	Titanium collected (tiebreak)	1000	0	520	0
noobsbypassB_drakkarfjord_g5	noobsbypassB	drakkarfjord	5	7505	B	OPP	_v488beltbreak2	Core destroyed	331	0	560	3780
