file	rounds	winner	cond	w	h	a_ring_den	a_ring_walls	a_ring_ore	a_ring_close_r	a_ring_half_r	a_ring_1st_r	a_ring_max	a_plugmax	a_dmg_core_r	a_dmg_ring_r	a_dmg_core_n	a_dmg_core_total	b_ring_den	b_ring_walls	b_ring_ore	b_ring_close_r	b_ring_half_r	b_ring_1st_r	b_ring_max	b_plugmax	b_dmg_core_r	b_dmg_ring_r	b_dmg_core_n	b_dmg_core_total
2bd11561-4272-4162-b5fd-420c546f1eb5_game_4.replay26	510	1	core_destroyed	30	30	8	0	0	7	4	1	8	8	483	22	28	504	8	0	0	18	8	2	8	2	29	25	59	1062
4b24662d-59cb-4179-98c1-ad9b407ef6e1_game_5.replay26	177	0	core_destroyed	25	25	8	0	0	-1	-1	8	2	3	51	-1	102	714	8	0	0	-1	-1	7	3	0	57	-1	66	1188
aa18510c-1122-4d0b-9636-892964da62bc_game_4.replay26	204	1	core_destroyed	14	18	8	0	0	-1	-1	7	2	3	6	63	156	1114	8	0	0	-1	5	2	7	2	10	7	50	900
c3ff32dd-e65f-4703-bda3-48576e9e08c1_game_1.replay26	148	0	core_destroyed	20	20	8	0	0	-1	106	2	4	0	52	133	35	245	8	0	0	-1	-1	28	2	0	58	47	106	676
31d35ab7-5934-40f1-b62e-c4b793650c26_game_5.replay26	212	1	core_destroyed	20	20	8	0	0	-1	-1	64	1	4	36	211	143	2211	8	0	0	-1	-1	11	3	0	-1	-1	0	0
81f33592-9eef-497e-a22d-1df73dd4f9f5_game_5.replay26	98	0	core_destroyed	20	20	8	0	0	-1	-1	3	3	0	84	-1	17	306	8	0	0	-1	-1	15	2	0	45	73	38	508
4acf5d3a-ce39-4db3-b7b6-06f3821ce5a4_game_4.replay26	1000	1	titanium_collected	21	8	8	0	0	-1	-1	1	3	0	-1	-1	0	0	8	0	0	-1	-1	13	1	1	148	80	9	63
2a9a1b34-7890-487c-a2ea-324a8883b77c_game_4.replay26	72	1	core_destroyed	20	20	8	0	0	-1	-1	-1	0	1	31	-1	72	504	8	0	0	-1	-1	10	3	1	26	-1	94	658
cb26218f-9e23-4e2c-9350-85f2e479ceb1_game_1.replay26	165	1	core_destroyed	26	26	8	0	0	-1	-1	10	2	1	35	31	144	1261	8	0	0	-1	-1	10	3	0	-1	36	0	0
e973538e-2771-4372-9f73-293b360023aa_game_4.replay26	90	1	core_destroyed	20	20	8	0	0	-1	-1	20	1	0	23	-1	67	1206	8	0	0	-1	-1	4	1	0	-1	-1	0	0
e31b4bef-ef98-4232-a9cb-dacdcff6fdfc_game_3.replay26	1000	1	titanium_collected	16	16	4	0	0	-1	2	1	3	0	376	-1	104	1872	4	0	0	25	7	1	4	0	-1	-1	0	0
17bd5948-4b86-4211-978b-f78f851dbcec_game_3.replay26	622	0	core_destroyed	20	20	8	0	0	-1	-1	-1	0	0	-1	-1	0	0	8	0	0	-1	-1	15	2	0	17	-1	416	2912
3000658a-19f3-4f19-ae01-9ed6b0268989_game_4.replay26	61	1	core_destroyed	25	25	8	0	0	-1	28	2	4	2	25	32	93	651	8	0	0	-1	-1	-1	0	6	-1	-1	0	0
51872d15-49da-4330-b6bd-019681713232_game_3.replay26	1000	0	titanium_collected	20	20	8	0	0	-1	-1	16	1	8	-1	32	0	0	8	0	0	-1	-1	1	2	7	8	8	7	126
421091ce-ab43-4455-bffd-3876899bccda_game_4.replay26	205	1	core_destroyed	22	22	8	0	0	-1	-1	1	2	6	150	22	28	504	8	0	0	-1	200	19	4	0	41	-1	68	663
439dc6ce-fb0c-4ff2-adf6-79e951574234_game_2.replay26	105	0	core_destroyed	14	18	8	0	0	-1	12	2	4	0	4	-1	99	693	8	0	0	-1	-1	-1	0	4	6	-1	28	504
ee551d6f-a903-40d2-a308-4c9e48ae06ba_game_4.replay26	142	0	core_destroyed	20	20	8	0	0	-1	-1	2	3	3	11	28	52	936	8	0	0	-1	-1	13	2	6	12	21	121	1496
12b9c98a-c019-4dfe-8d97-234bfac74f6d_game_2.replay26	92	0	core_destroyed	25	25	8	0	0	-1	-1	8	3	1	25	30	5	90	8	0	0	-1	-1	15	3	0	37	33	28	504
5b8fc779-fc82-41b7-a654-ecc9d7cd1796_game_1.replay26	387	0	core_destroyed	18	18	8	0	0	-1	10	7	5	1	88	-1	310	2764	8	0	0	-1	47	2	4	0	21	-1	29	522
cb83822f-4807-49d9-ad9b-4ba0d869a440_game_2.replay26	712	1	core_destroyed	25	15	8	0	0	-1	-1	7	3	1	6	300	340	2380	8	0	0	-1	567	5	6	1	228	168	35	245
1ade4814-d8c1-4a18-8d25-f5ab5e86560d_game_3.replay26	144	1	core_destroyed	20	20	8	0	0	-1	-1	18	2	0	111	-1	46	509	8	0	0	-1	-1	17	1	2	29	30	18	324
9590393d-2836-4d8c-9438-70e3b5253e57_game_5.replay26	1000	0	titanium_collected	10	10	8	0	0	-1	111	1	4	1	10	-1	22	396	8	0	0	-1	168	2	6	0	-1	-1	0	0
8e56d797-08a9-4668-84b3-3b462dac47e7_game_4.replay26	346	1	core_destroyed	30	30	6	2	0	-1	17	3	4	2	302	-1	30	507	6	2	0	-1	93	3	3	1	57	180	30	540
2fbbfcc8-b9ee-47e7-90fc-9ea0255d2c23_game_4.replay26	83	0	core_destroyed	30	30	8	0	0	-1	40	2	4	0	-1	-1	0	0	8	0	0	-1	-1	27	2	0	44	-1	74	518
1b76cb0a-6ba9-4c57-b085-534fa2d2e755_game_5.replay26	72	1	core_destroyed	18	18	8	0	0	-1	-1	10	2	5	31	-1	72	504	8	0	0	-1	-1	6	2	0	17	-1	30	540
2c4d38de-5539-4697-9957-97707214573e_game_2.replay26	118	0	core_destroyed	20	20	8	0	0	-1	-1	18	2	4	-1	-1	0	0	8	0	0	-1	-1	-1	0	1	39	-1	123	541
bb177658-940b-4248-a13b-52e7311b7bb9_game_2.replay26	52	1	core_destroyed	30	30	8	0	0	18	8	2	8	0	23	-1	84	588	8	0	0	-1	-1	-1	0	8	-1	-1	0	0
961c134b-9911-4067-b9a9-fecf16c26fe4_game_3.replay26	151	1	core_destroyed	30	30	6	2	0	12	4	3	6	0	120	-1	44	792	6	2	0	-1	-1	3	2	0	-1	-1	0	0
