file	rounds	winner	cond	w	h	a_ring_den	a_ring_walls	a_ring_ore	a_ring_close_r	a_ring_half_r	a_ring_1st_r	a_ring_max	a_plugmax	a_dmg_core_r	a_dmg_ring_r	a_dmg_core_n	a_dmg_core_total	b_ring_den	b_ring_walls	b_ring_ore	b_ring_close_r	b_ring_half_r	b_ring_1st_r	b_ring_max	b_plugmax	b_dmg_core_r	b_dmg_ring_r	b_dmg_core_n	b_dmg_core_total
55d317e5-6337-46b0-8226-0aff3fed1df9_game_4.replay26	166	1	core_destroyed	30	30	8	0	0	-1	-1	21	2	3	31	42	58	1044	8	0	0	-1	-1	15	3	2	-1	34	0	0
81c00d21-679c-4d9e-8cf5-f0cf38bfd891_game_3.replay26	110	0	core_destroyed	20	20	8	0	0	-1	-1	14	2	0	-1	-1	0	0	8	0	0	-1	31	12	4	2	51	49	31	558
d66f0080-d534-4123-8db6-d6110435bc41_game_4.replay26	248	1	core_destroyed	20	20	8	0	0	-1	-1	7	3	0	16	227	47	560	8	0	0	-1	-1	5	3	7	17	20	11	198
f7150bc6-f41b-4fb3-8381-30c2caf340b6_game_1.replay26	377	1	core_destroyed	28	20	8	0	0	-1	-1	-1	0	3	13	-1	72	504	8	0	0	-1	-1	7	1	0	8	10	243	1701
2f178213-1320-480c-b75d-b6ad97d8f4f3_game_1.replay26	1000	1	titanium_collected	20	20	8	0	0	-1	-1	1	3	0	30	280	53	426	8	0	0	-1	60	14	5	1	46	-1	95	842
06637d0d-5dfa-43bf-91e8-4cc48611e376_game_5.replay26	357	1	core_destroyed	28	20	8	0	0	-1	32	7	6	1	143	59	91	670	8	0	0	-1	-1	9	3	2	110	-1	168	1176
d56cd5c1-0e35-4b0e-849c-846c806a46ba_game_5.replay26	286	0	core_destroyed	30	30	8	0	0	-1	4	1	6	0	-1	-1	0	0	8	0	0	-1	-1	20	3	4	145	52	57	1026
97c7a5f4-ef38-4d62-985b-c4dbe6594ece_game_5.replay26	211	1	core_destroyed	20	20	8	0	0	-1	-1	3	3	0	84	-1	37	666	8	0	0	-1	-1	13	3	5	64	32	40	280
de855fce-1ecb-49ad-a2e0-258e98c2a2e4_game_2.replay26	343	0	core_destroyed	14	18	8	0	0	-1	70	4	4	0	13	308	9	63	8	0	0	-1	212	8	4	2	83	169	167	1169
6b8a2d74-f52a-4882-9171-3e7b5a5ee531_game_4.replay26	71	0	core_destroyed	25	25	8	0	0	-1	-1	2	2	0	-1	-1	0	0	8	0	0	-1	-1	12	2	0	47	61	30	540
5f1484d5-1f64-41ed-82dc-bd4441716f82_game_2.replay26	496	1	core_destroyed	18	18	8	0	0	-1	225	3	4	2	323	55	82	574	8	0	0	-1	23	1	5	0	-1	-1	0	0
06ccd7bd-bb11-435b-bdf4-4300bf05acd9_game_2.replay26	108	1	core_destroyed	30	30	6	2	0	-1	-1	-1	0	0	44	-1	34	612	6	2	0	-1	-1	9	2	0	-1	-1	0	0
b6b5960d-c797-4e90-87ab-9a49a30d90bf_game_3.replay26	179	0	core_destroyed	26	26	8	0	0	-1	37	11	5	0	-1	-1	0	0	8	0	0	-1	24	13	4	6	115	86	88	616
08e6bcad-2380-450f-b4cd-4aedf4b77236_game_3.replay26	150	1	core_destroyed	16	16	8	0	0	-1	-1	23	1	2	88	66	72	504	8	0	0	-1	-1	7	2	0	17	-1	72	504
4eba1449-12dd-430e-b3df-99bb8f3309c9_game_3.replay26	218	1	core_destroyed	30	30	6	2	0	-1	-1	3	2	2	61	52	70	1040	6	2	0	69	17	1	6	0	159	-1	26	468
5bfec222-8fd9-402c-9a75-a58e8f6e07ff_game_2.replay26	117	0	core_destroyed	25	25	8	0	0	-1	16	9	7	1	66	69	31	398	8	0	0	-1	-1	12	3	0	62	-1	28	504
3f0dc953-2932-4ea3-a001-7233bd738cbf_game_5.replay26	719	1	core_destroyed	16	16	4	0	0	-1	-1	8	1	0	18	-1	307	5526	4	0	0	-1	18	8	2	0	23	-1	214	1861
43a20681-78a1-49a9-b26b-9e8cbb7e1bb3_game_3.replay26	143	1	core_destroyed	30	30	8	0	0	-1	-1	23	2	6	111	61	63	507	8	0	0	9	4	1	8	0	-1	-1	0	0
4cacf98c-78f3-4c32-ab6a-f04043bf5853_game_5.replay26	100	1	core_destroyed	16	16	8	0	0	-1	-1	2	2	0	4	76	75	790	8	0	0	-1	-1	2	2	0	-1	-1	0	0
f5bce080-0ebb-4bb6-bcd5-9a234af92b86_game_4.replay26	251	0	core_destroyed	30	30	8	0	0	12	4	1	8	2	59	23	48	864	8	0	0	-1	-1	16	1	7	111	60	74	518
