tag	map	seed	seat	ours	cond	turn	arm	ourcore_dmg	ourcore_heal	ourcore_hp_calc	oppcore_dmg	oppcore_heal	oppcore_hp_calc	heal_back	heal_back_ours	opp_harv_built	opp_belt_built	opp_harv_killed	opp_belt_killed	opp_eco_killed	fwd_gun_n	fwd_gun_first	gun_n	fwd_sent_n	fwd_sent_first	fwd_laun_n	fwd_laun_first	collar_bar_n	unknown_deltas
atoll_s1_A	atoll	1	A	US	Core destroyed	164	msoff	0	0	500	504	0	-4	0.0		3	12	0	3	3	1	24	3	1	108	4	3	12	
atoll_s1_B	atoll	1	B	OPP	Core destroyed	256	msoff	558	54	-4	0	0	500		0.0968	6	14	4	4	8	1	81	2	0		2	3	11	
atoll_s2_A	atoll	2	A	US	Core destroyed	552	msoff	180	144	464	900	392	-8	0.4356	0.8	6	20	2	9	11	2	341	9	1	452	4	3	16	
atoll_s2_B	atoll	2	B	OPP	Core destroyed	291	msoff	576	72	-4	0	0	500		0.125	4	13	1	1	2	1	76	2	0		2	3	12	
atoll_s3_A	atoll	3	A	OPP	Core destroyed	197	msoff	504	0	-4	0	0	500		0.0	4	17	0	0	0	0		1	0		2	3	1	
atoll_s3_B	atoll	3	B	US	Titanium collected (tiebreak)	1000	msoff	3960	3960	500	0	0	500		1.0	3	30	1	16	17	1	291	5	0		7	3	56	
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	333	msoff	0	0	500	594	90	-4	0.1515		3	25	0	4	4	1	67	2	1	84	1	9	29	
drakkarfjord_s1_B	drakkarfjord	1	B	US	Core destroyed	137	msoff	0	0	500	504	0	-4	0.0		3	19	0	0	0	0		2	1	81	1	9	20	
drakkarfjord_s2_A	drakkarfjord	2	A	US	Core destroyed	135	msoff	0	0	500	504	0	-4	0.0		3	26	0	2	2	0		0	1	79	1	9	19	
drakkarfjord_s2_B	drakkarfjord	2	B	OPP	Core destroyed	790	msoff	504	0	-4	1854	1836	482	0.9903	0.0	9	97	0	1	1	0		1	1	85	1	9	17	
drakkarfjord_s3_A	drakkarfjord	3	A	US	Core destroyed	194	msoff	0	0	500	504	0	-4	0.0		4	39	0	1	1	0		1	1	138	2	9	45	
drakkarfjord_s3_B	drakkarfjord	3	B	US	Core destroyed	587	msoff	0	0	500	2484	1984	0	0.7987		9	88	2	7	9	3	78	6	1	311	4	9	10	
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	193	msoff	0	0	500	504	0	-4	0.0		6	39	0	4	4	1	36	1	1	84	2	5	10	
glacierkeep_s1_B	glacierkeep	1	B	US	Titanium collected (tiebreak)	1000	msoff	432	0	68	3492	3412	420	0.9771	0.0	8	66	0	1	1	0		0	1	64	2	5	12	
glacierkeep_s2_A	glacierkeep	2	A	US	Core destroyed	152	msoff	0	0	500	504	0	-4	0.0		3	27	0	0	0	0		2	1	85	2	5	20	
glacierkeep_s2_B	glacierkeep	2	B	US	Titanium collected (tiebreak)	1000	msoff	0	0	500	3114	3114	500	1.0		2	9	0	0	0	0		0	2	56	2	5	81	
