tag	map	seed	seat	ours	cond	turn	arm	ourcore_dmg	ourcore_heal	ourcore_hp_calc	oppcore_dmg	oppcore_heal	oppcore_hp_calc	heal_back	heal_back_ours	opp_harv_built	opp_belt_built	opp_harv_killed	opp_belt_killed	opp_eco_killed	fwd_gun_n	fwd_gun_first	gun_n	fwd_sent_n	fwd_sent_first	fwd_laun_n	fwd_laun_first	collar_bar_n	unknown_deltas
atoll_s1_A	atoll	1	A	US	Core destroyed	184	v519	990	988	498	648	144	-4	0.2222	0.998	2	2	0	2	2	0		0	2	66	3	3	9	
atoll_s1_B	atoll	1	B	OPP	Core destroyed	186	v519	504	0	-4	180	156	476	0.8667	0.0	2	5	0	2	2	0		1	2	100	2	3	14	
atoll_s2_A	atoll	2	A	US	Core destroyed	256	v519	0	0	500	2016	1500	-16	0.744		3	12	0	0	0	0		2	2	60	2	3	60	
atoll_s2_B	atoll	2	B	OPP	Core destroyed	152	v519	504	0	-4	0	0	500		0.0	4	16	0	2	2	1	20	1	0		1	3	5	
atoll_s3_A	atoll	3	A	OPP	Core destroyed	219	v519	648	144	-4	0	0	500		0.2222	5	17	0	0	0	1	218	2	0		3	3	3	
atoll_s3_B	atoll	3	B	US	Core destroyed	578	v519	0	0	500	1368	860	-8	0.6287		4	18	0	5	5	2	373	5	2	194	10	3	67	
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	173	v519	0	0	500	504	0	-4	0.0		5	39	0	2	2	0		0	1	71	2	9	14	
drakkarfjord_s1_B	drakkarfjord	1	B	US	Core destroyed	123	v519	0	0	500	504	0	-4	0.0		3	19	0	1	1	0		0	1	67	1	9	15	
drakkarfjord_s2_A	drakkarfjord	2	A	OPP	Core destroyed	549	v519	504	0	-4	1062	1062	500	1.0	0.0	10	134	0	3	3	1	61	2	1	77	1	9	12	
drakkarfjord_s2_B	drakkarfjord	2	B	US	Core destroyed	260	v519	0	0	500	1116	616	0	0.552		4	26	0	1	1	0		4	1	136	1	9	11	
drakkarfjord_s3_A	drakkarfjord	3	A	US	Core destroyed	709	v519	0	0	500	3744	3244	0	0.8665		8	104	0	0	0	0		5	1	293	8	9	7	
drakkarfjord_s3_B	drakkarfjord	3	B	US	Core destroyed	331	v519	0	0	500	504	0	-4	0.0		6	46	1	2	3	0		3	1	241	1	9	10	
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	205	v519	0	0	500	504	0	-4	0.0		3	19	0	2	2	1	38	1	1	71	2	5	25	
glacierkeep_s1_B	glacierkeep	1	B	US	Core destroyed	525	v519	0	0	500	1422	918	-4	0.6456		4	33	0	0	0	0		0	2	56	4	5	23	
glacierkeep_s2_A	glacierkeep	2	A	US	Core destroyed	185	v519	0	0	500	504	0	-4	0.0		3	15	0	0	0	0		1	1	62	2	5	24	
glacierkeep_s2_B	glacierkeep	2	B	US	Core destroyed	213	v519	0	0	500	504	0	-4	0.0		4	33	0	0	0	0		0	1	104	3	5	12	
glacierkeep_s3_A	glacierkeep	3	A	US	Core destroyed	281	v519	0	0	500	504	0	-4	0.0		3	27	0	0	0	0		1	1	121	2	5	31	
glacierkeep_s3_B	glacierkeep	3	B	US	Core destroyed	197	v519	0	0	500	504	0	-4	0.0		3	24	0	0	0	0		0	1	89	2	5	12	
midgard_s1_A	midgard	1	A	US	Core destroyed	196	v519	0	0	500	504	0	-4	0.0		8	32	4	5	9	2	34	4	2	152	0		9	
midgard_s1_B	midgard	1	B	US	Core destroyed	364	v519	0	0	500	504	0	-4	0.0		7	59	1	30	31	2	42	3	1	296	0		10	
midgard_s2_A	midgard	2	A	US	Core destroyed	286	v519	0	0	500	504	0	-4	0.0		10	37	4	10	14	2	36	3	2	248	0		15	
midgard_s2_B	midgard	2	B	OPP	Core destroyed	633	v519	504	0	-4	0	0	500		0.0	7	25	4	10	14	2	39	5	0		0		21	
midgard_s3_A	midgard	3	A	US	Core destroyed	405	v519	288	0	212	504	0	-4	0.0	0.0	7	31	3	7	10	2	34	4	1	312	0		8	
midgard_s3_B	midgard	3	B	US	Core destroyed	176	v519	630	594	464	504	0	-4	0.0	0.9429	6	25	4	12	16	3	40	4	1	120	0		8	
nordkap_s1_A	nordkap	1	A	OPP	Core destroyed	564	v519	900	390	-10	0	0	500		0.4333	15	49	4	4	8	1	13	5	0		3	1	13	
nordkap_s1_B	nordkap	1	B	OPP	Core destroyed	356	v519	3780	3266	-14	0	0	500		0.864	18	94	0	2	2	0		1	0		3	1	5	
nordkap_s2_A	nordkap	2	A	US	Core destroyed	295	v519	1080	1080	500	504	0	-4	0.0	1.0	6	7	5	3	8	1	13	1	1	239	3	1	9	
nordkap_s2_B	nordkap	2	B	US	Core destroyed	173	v519	1026	990	464	504	0	-4	0.0	0.9649	3	9	0	3	3	0		0	1	96	2	1	9	
nordkap_s3_A	nordkap	3	A	OPP	Core destroyed	171	v519	774	264	-10	0	0	500		0.3411	9	29	5	8	13	1	14	2	0		3	1	6	
nordkap_s3_B	nordkap	3	B	US	Core destroyed	415	v519	414	408	494	2628	2120	-8	0.8067	0.9855	2	6	2	1	3	2	20	3	2	124	3	1	36	
yulerune_s1_A	yulerune	1	A	OPP	Core destroyed	257	v519	504	0	-4	0	0	500		0.0	10	48	3	8	11	1	19	2	0		0		13	
yulerune_s1_B	yulerune	1	B	OPP	Core destroyed	581	v519	504	0	-4	0	0	500		0.0	11	67	4	12	16	1	19	1	0		0		9	
yulerune_s2_A	yulerune	2	A	OPP	Core destroyed	317	v519	684	184	0	0	0	500		0.269	9	35	4	7	11	1	19	2	0		0		11	
yulerune_s2_B	yulerune	2	B	OPP	Core destroyed	305	v519	504	0	-4	0	0	500		0.0	14	59	6	14	20	1	19	2	0		0		7	
yulerune_s3_A	yulerune	3	A	US	Core destroyed	427	v519	0	0	500	504	0	-4	0.0		8	35	3	4	7	2	28	4	1	357	3	220	9	
yulerune_s3_B	yulerune	3	B	US	Core destroyed	168	v519	0	0	500	504	0	-4	0.0		5	24	1	5	6	1	24	1	1	112	0		10	
atoll_s4_A	atoll	4	A	US	Core destroyed	666	v519	0	0	500	3960	3460	0	0.8737		5	19	0	5	5	1	210	2	1	226	4	3	142	
atoll_s4_B	atoll	4	B	OPP	Core destroyed	114	v519	504	0	-4	0	0	500		0.0	3	14	1	4	5	2	20	3	0		2	3	5	
atoll_s5_A	atoll	5	A	OPP	Core destroyed	226	v519	1134	618	-16	0	0	500		0.545	5	17	0	0	0	0		2	0		3	3	3	
atoll_s5_B	atoll	5	B	OPP	Core destroyed	175	v519	504	0	-4	0	0	500		0.0	5	29	0	13	13	1	20	3	0		2	3	6	
atoll_s6_A	atoll	6	A	US	Core destroyed	335	v519	0	0	500	1368	862	-6	0.6301		3	12	0	4	4	3	28	3	1	72	2	3	45	
atoll_s6_B	atoll	6	B	US	Core destroyed	485	v519	1746	1710	464	504	0	-4	0.0	0.9794	4	22	2	10	12	3	48	5	1	412	2	3	6	
drakkarfjord_s4_A	drakkarfjord	4	A	US	Core destroyed	221	v519	0	0	500	558	56	-2	0.1004		4	37	0	2	2	0		1	1	159	1	9	27	
drakkarfjord_s4_B	drakkarfjord	4	B	US	Core destroyed	325	v519	0	0	500	864	360	-4	0.4167		3	19	0	0	0	0		1	2	60	2	9	20	
drakkarfjord_s5_A	drakkarfjord	5	A	US	Core destroyed	221	v519	0	0	500	558	56	-2	0.1004		4	37	0	2	2	0		1	1	159	1	9	27	
drakkarfjord_s5_B	drakkarfjord	5	B	OPP	Titanium collected (tiebreak)	1000	v519	0	0	500	2934	2728	294	0.9298		10	104	0	2	2	0		1	1	308	2	9	42	
drakkarfjord_s6_A	drakkarfjord	6	A	OPP	Core destroyed	287	v519	504	0	-4	216	216	500	1.0	0.0	8	103	0	1	1	0		1	1	81	1	9	13	
drakkarfjord_s6_B	drakkarfjord	6	B	OPP	Core destroyed	790	v519	504	0	-4	1854	1836	482	0.9903	0.0	9	97	0	1	1	0		1	1	85	1	9	17	
glacierkeep_s4_A	glacierkeep	4	A	US	Core destroyed	217	v519	0	0	500	504	0	-4	0.0		3	27	0	0	0	0		1	1	90	2	5	25	
glacierkeep_s4_B	glacierkeep	4	B	OPP	Core destroyed	919	v519	504	0	-4	1512	1512	500	1.0	0.0	12	92	0	0	0	0		0	1	64	2	5	12	
glacierkeep_s5_A	glacierkeep	5	A	US	Core destroyed	209	v519	0	0	500	504	0	-4	0.0		4	26	0	0	0	0		1	0		2	5	8	
glacierkeep_s5_B	glacierkeep	5	B	US	Titanium collected (tiebreak)	1000	v519	0	0	500	3114	3114	500	1.0		2	9	0	0	0	0		0	2	56	2	5	81	
glacierkeep_s6_A	glacierkeep	6	A	US	Core destroyed	173	v519	0	0	500	504	0	-4	0.0		3	27	0	0	0	0		1	1	108	2	5	21	
glacierkeep_s6_B	glacierkeep	6	B	US	Core destroyed	321	v519	0	0	500	1188	684	-4	0.5758		4	25	0	0	0	0		0	1	56	2	5	13	
midgard_s4_A	midgard	4	A	US	Core destroyed	286	v519	0	0	500	504	0	-4	0.0		10	47	2	13	15	3	36	3	2	249	0		7	
midgard_s4_B	midgard	4	B	OPP	Titanium collected (tiebreak)	1000	v519	0	0	500	0	0	500			8	16	5	4	9	2	38	4	0		0		148	
midgard_s5_A	midgard	5	A	US	Core destroyed	913	v519	1800	1782	482	504	0	-4	0.0	0.99	9	47	1	11	12	2	34	4	1	724	0		9	
midgard_s5_B	midgard	5	B	US	Core destroyed	617	v519	1818	1818	500	504	0	-4	0.0	1.0	10	27	7	14	21	3	38	6	2	576	0		9	
midgard_s6_A	midgard	6	A	US	Core destroyed	913	v519	1800	1782	482	504	0	-4	0.0	0.99	9	47	1	11	12	2	34	4	1	724	0		9	
midgard_s6_B	midgard	6	B	US	Core destroyed	231	v519	846	846	500	504	0	-4	0.0	1.0	5	20	1	6	7	1	40	2	1	175	0		9	
nordkap_s4_A	nordkap	4	A	US	Core destroyed	248	v519	432	432	500	504	0	-4	0.0	1.0	2	6	1	2	3	2	20	2	1	184	3	1	27	
nordkap_s4_B	nordkap	4	B	US	Titanium collected (tiebreak)	1000	v519	1080	1044	464	0	0	500		0.9667	7	25	3	6	9	2	19	2	0		3	1	12	
nordkap_s5_A	nordkap	5	A	US	Core destroyed	226	v519	0	0	500	504	0	-4	0.0		3	7	0	1	1	1	13	1	1	60	2	1	14	
nordkap_s5_B	nordkap	5	B	OPP	Core destroyed	809	v519	918	412	-6	684	684	500	1.0	0.4488	13	58	1	6	7	2	16	3	1	180	4	1	70	
nordkap_s6_A	nordkap	6	A	US	Core destroyed	169	v519	900	882	482	504	0	-4	0.0	0.98	2	5	1	2	3	1	12	1	1	97	3	1	10	
nordkap_s6_B	nordkap	6	B	OPP	Core destroyed	257	v519	576	76	0	0	0	500		0.1319	15	75	0	6	6	0		2	0		2	1	14	
yulerune_s4_A	yulerune	4	A	OPP	Core destroyed	241	v519	504	0	-4	0	0	500		0.0	8	46	3	12	15	1	19	2	0		0		11	
yulerune_s4_B	yulerune	4	B	OPP	Core destroyed	292	v519	504	0	-4	0	0	500		0.0	13	58	6	8	14	1	19	1	0		0		20	
yulerune_s5_A	yulerune	5	A	OPP	Core destroyed	160	v519	1062	552	-10	0	0	500		0.5198	8	37	2	8	10	1	19	2	0		0		5	
yulerune_s5_B	yulerune	5	B	OPP	Core destroyed	216	v519	576	72	-4	0	0	500		0.125	8	50	1	6	7	1	19	2	0		0		8	
yulerune_s6_A	yulerune	6	A	US	Core destroyed	785	v519	0	0	500	504	0	-4	0.0		8	26	5	8	13	2	19	2	1	328	0		119	
yulerune_s6_B	yulerune	6	B	US	Core destroyed	229	v519	198	0	302	504	0	-4	0.0	0.0	7	39	3	5	8	1	19	2	1	173	0		12	
atoll_s7_A	atoll	7	A	OPP	Core destroyed	313	v519	504	0	-4	0	0	500		0.0	4	15	2	3	5	1	37	1	0		4	3	9	
atoll_s7_B	atoll	7	B	OPP	Core destroyed	196	v519	504	0	-4	936	936	500	1.0	0.0	4	18	0	2	2	1	23	2	1	45	1	3	8	
atoll_s8_A	atoll	8	A	US	Core destroyed	916	v519	2988	2772	284	4212	3712	0	0.8813	0.9277	5	17	0	2	2	2	338	4	1	448	6	3	100	
atoll_s8_B	atoll	8	B	OPP	Core destroyed	733	v519	630	126	-4	0	0	500		0.2	7	14	4	2	6	1	39	2	0		3	3	7	
