file	team	band	metric	n
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	0	r150-200	batk	29
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	1	r150-200	batk	13
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	1	r150-200	shot	31
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	1	r150-200	build_gunner	3
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	0	r200-300	batk	70
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	1	r200-300	build_gunner	2
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	1	r200-300	shot	97
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	1	r200-300	batk	71
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	1	r200-300	batk_core	71
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	0	r300+	batk	11
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	1	r300+	batk	14
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	1	r300+	batk_core	14
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	1	r300+	shot	19
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	0	r0-150	build_builder_bot	3
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	1	r0-150	build_builder_bot	6
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	0	r0-150	build_conveyor	8
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	0	r0-150	build_gunner	3
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	1	r0-150	build_harvester	4
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	0	r0-150	shot	115
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	0	r0-150	build_launcher	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	1	r0-150	batk	48
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	1	r0-150	build_barrier	3
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	1	r0-150	build_gunner	7
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	1	r0-150	shot	43
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	0	r0-150	build_harvester	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	1	r0-150	build_conveyor	21
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	0	r0-150	batk	29
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	0	r0-150	build_barrier	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	1	r0-150	batk_core	5
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	1	r150-200	batk	28
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	1	r150-200	batk_core	28
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	1	r150-200	shot	62
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	0	r150-200	shot	6
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	1	r150-200	build_conveyor	2
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	0	r150-200	batk	11
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r0-150	build_builder_bot	5
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	1	r0-150	build_builder_bot	7
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	1	r0-150	build_harvester	7
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	1	r0-150	build_conveyor	36
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r0-150	build_harvester	4
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r0-150	build_conveyor	88
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r0-150	build_barrier	8
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r0-150	build_gunner	4
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	1	r0-150	batk	78
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r0-150	shot	58
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	1	r0-150	build_barrier	3
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r0-150	batk	30
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r0-150	build_sentinel	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r150-200	build_conveyor	20
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	1	r150-200	build_builder_bot	2
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r150-200	shot	29
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r150-200	build_gunner	3
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	1	r150-200	batk	4
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	1	r200-300	batk	22
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r200-300	shot	60
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r200-300	build_conveyor	63
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	1	r200-300	build_builder_bot	4
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r200-300	build_gunner	3
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r300+	build_conveyor	11
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r300+	shot	181
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r300+	build_barrier	4
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r300+	build_gunner	10
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	1	r300+	build_builder_bot	16
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r300+	build_harvester	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	0	r300+	build_sentinel	4
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	1	r300+	build_barrier	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	0	r0-150	build_builder_bot	5
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r0-150	build_builder_bot	7
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	0	r0-150	build_harvester	6
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r0-150	build_harvester	9
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r0-150	build_conveyor	29
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	0	r0-150	build_conveyor	69
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	0	r0-150	build_barrier	13
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	0	r0-150	build_gunner	3
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	0	r0-150	shot	29
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r0-150	build_gunner	5
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r0-150	batk	199
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r0-150	shot	31
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	0	r0-150	batk	91
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r0-150	build_barrier	6
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	0	r0-150	build_sentinel	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	0	r150-200	build_conveyor	3
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r150-200	shot	35
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	0	r150-200	batk	49
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r150-200	build_barrier	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r150-200	build_gunner	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	0	r200-300	batk	100
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r200-300	build_gunner	6
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r200-300	shot	38
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	0	r200-300	build_conveyor	4
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	0	r300+	batk	131
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r300+	build_gunner	2
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r300+	shot	85
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	0	r300+	build_conveyor	6
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r300+	build_builder_bot	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r300+	batk	30
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	1	r300+	build_barrier	3
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r0-150	build_builder_bot	5
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	1	r0-150	build_builder_bot	8
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r0-150	build_harvester	6
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	1	r0-150	build_harvester	10
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r0-150	build_conveyor	72
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	1	r0-150	build_conveyor	29
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	1	r0-150	batk	216
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r0-150	build_gunner	8
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r0-150	build_barrier	18
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r0-150	shot	76
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	1	r0-150	build_gunner	4
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	1	r0-150	shot	44
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r0-150	batk	110
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r0-150	build_sentinel	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r150-200	build_conveyor	17
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	1	r150-200	batk	28
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r150-200	shot	72
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r150-200	build_gunner	4
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	1	r150-200	shot	3
