created_at_utc	match_id	match_type	opponent_id	opponent_name	our_version	arm_tag	runner	source
2026-08-11T12:34:24.458586+00:00	4b5cb72f-b893-48e3-9730-d91b549a2837	unrated	f3362833-2d7a-4636-9a3c-e4f10fcebdc1	f3362833-2d7a-4636-9a3c-e4f10fcebdc1	v112	unrated_v112_20260811T123414Z	unrated_run.sh	live
2026-08-11T12:34:27.209920+00:00	ce86ea5d-6f2a-43ab-a92a-f61a359eba46	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v112	unrated_v112_20260811T123414Z	unrated_run.sh	live
2026-08-11T12:34:29.889132+00:00	885b47b3-d8ef-4457-9ea1-198a5227f5c4	unrated	26286680-d861-4f9e-9073-a6201bd48d3b	26286680-d861-4f9e-9073-a6201bd48d3b	v112	unrated_v112_20260811T123414Z	unrated_run.sh	live
2026-08-11T12:34:32.624944+00:00	099eabe1-640a-4167-a866-6a4fe8cf6783	unrated	74ae65ff-96ae-4da5-a43e-692eb6fee38f	74ae65ff-96ae-4da5-a43e-692eb6fee38f	v112	unrated_v112_20260811T123414Z	unrated_run.sh	live
2026-08-11T12:55:19.442734+00:00	70e72575-52d1-46a8-8931-93386823c9e7	unrated	c7571c87-f960-4c88-a13d-14340bb3200f	c7571c87-f960-4c88-a13d-14340bb3200f	v104	unrated_v104_20260811T125512Z	unrated_run.sh	live
2026-08-11T12:55:22.219618+00:00	66b297fd-4050-4765-9c11-7525f9f3a7cd	unrated	f3362833-2d7a-4636-9a3c-e4f10fcebdc1	f3362833-2d7a-4636-9a3c-e4f10fcebdc1	v104	unrated_v104_20260811T125512Z	unrated_run.sh	live
2026-08-11T12:55:24.856319+00:00	34bd72e8-91ec-4a63-8b55-b26557104365	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v104	unrated_v104_20260811T125512Z	unrated_run.sh	live
2026-08-11T12:55:27.613242+00:00	8909c69a-b31a-44fb-af8d-909158b32ff6	unrated	26286680-d861-4f9e-9073-a6201bd48d3b	26286680-d861-4f9e-9073-a6201bd48d3b	v104	unrated_v104_20260811T125512Z	unrated_run.sh	live
2026-08-11T12:55:30.339956+00:00	3bf46c04-2ecf-40da-bb4a-d68025aaba4a	unrated	74ae65ff-96ae-4da5-a43e-692eb6fee38f	74ae65ff-96ae-4da5-a43e-692eb6fee38f	v104	unrated_v104_20260811T125512Z	unrated_run.sh	live
2026-08-11T13:33:18.392234+00:00	2d155ab8-d888-4f00-8963-dfbdb1166ad8	unrated	f3362833-2d7a-4636-9a3c-e4f10fcebdc1	f3362833-2d7a-4636-9a3c-e4f10fcebdc1	v113	unrated_v113_20260811T133211Z	unrated_run.sh	live
2026-08-11T13:33:21.016362+00:00	7e23eeb3-eb35-419b-a0f9-49b36121678e	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v113	unrated_v113_20260811T133211Z	unrated_run.sh	live
2026-08-11T13:33:23.568800+00:00	6a8eedb5-b52b-4387-9fa5-189093c3afe3	unrated	26286680-d861-4f9e-9073-a6201bd48d3b	26286680-d861-4f9e-9073-a6201bd48d3b	v113	unrated_v113_20260811T133211Z	unrated_run.sh	live
2026-08-11T13:33:26.090106+00:00	601165ff-8bb7-4127-88f9-50b806b7c99c	unrated	74ae65ff-96ae-4da5-a43e-692eb6fee38f	74ae65ff-96ae-4da5-a43e-692eb6fee38f	v113	unrated_v113_20260811T133211Z	unrated_run.sh	live
2026-08-11T13:33:28.575677+00:00	3731e27b-2fa2-4cdd-9374-50337da48181	unrated	648d1d5b-5443-4257-a0aa-7048661b612d	648d1d5b-5443-4257-a0aa-7048661b612d	v113	unrated_v113_20260811T133211Z	unrated_run.sh	live
2026-08-11T13:58:03.309905+00:00	808d0361-04b0-4a53-b597-5acb5761931e	unrated	f3362833-2d7a-4636-9a3c-e4f10fcebdc1	f3362833-2d7a-4636-9a3c-e4f10fcebdc1	v112	unrated_v112_20260811T135756Z	unrated_run.sh	live
2026-08-11T13:58:05.977238+00:00	9a40bdd4-fd3d-4e03-a8d8-ca5485aba9cb	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v112	unrated_v112_20260811T135756Z	unrated_run.sh	live
2026-08-11T13:58:08.591667+00:00	dc8b7ef0-5932-4bd9-bb7f-42d45e27257e	unrated	26286680-d861-4f9e-9073-a6201bd48d3b	26286680-d861-4f9e-9073-a6201bd48d3b	v112	unrated_v112_20260811T135756Z	unrated_run.sh	live
2026-08-11T13:58:11.186638+00:00	e669e88d-7865-421f-90b8-7d6ca0b20293	unrated	74ae65ff-96ae-4da5-a43e-692eb6fee38f	74ae65ff-96ae-4da5-a43e-692eb6fee38f	v112	unrated_v112_20260811T135756Z	unrated_run.sh	live
2026-08-11T13:58:13.980815+00:00	7f521707-ffac-4720-bb53-eea309eec0fd	unrated	648d1d5b-5443-4257-a0aa-7048661b612d	648d1d5b-5443-4257-a0aa-7048661b612d	v112	unrated_v112_20260811T135756Z	unrated_run.sh	live
2026-08-11T19:06:47.644233+00:00	db5f1812-5837-4171-bd13-cdc694be687f	unrated	f670dfed-dfee-421b-8c01-a67b8a278ce3	f670dfed-dfee-421b-8c01-a67b8a278ce3	v114	unrated_v114_20260811T190641Z	unrated_run.sh	live
2026-08-11T19:06:50.238463+00:00	988554e3-2c7a-4480-8248-e0bd2652f92f	unrated	00191498-aa36-4f5a-aafb-e432e57607e8	00191498-aa36-4f5a-aafb-e432e57607e8	v114	unrated_v114_20260811T190641Z	unrated_run.sh	live
2026-08-15T06:56:34.434448+00:00	3edfcb96-fcc5-4954-866d-b86ca3b56009	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T06:56:36.940326+00:00	efefa34f-2cf0-40b7-8240-818d25855559	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T06:56:39.448824+00:00	REJECTED	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T06:56:41.864313+00:00	REJECTED	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T06:56:44.386655+00:00	REJECTED	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T07:16:44.076376+00:00	ebf90302-fbca-4abe-b909-eceac2b42a5d	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T07:16:46.740709+00:00	67626d90-12b0-49dc-80c2-9af09690e5b2	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T07:16:49.343946+00:00	078f6204-c0a4-4b9d-8bcc-8c91b0aab9ec	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T07:16:52.147499+00:00	a0ddfecd-b706-47d4-a54c-bdd3d174a236	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T07:16:54.744788+00:00	e9fa0691-c3e4-4379-833a-fa92d81d9165	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T07:36:54.136970+00:00	f5c0c56d-98cd-4fc9-aa29-ba2a23d0af5a	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
