file	match	game	opp	oppver	ourver	oppbef	map	cond	turns	won	our_team
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_5.replay26	01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45	5	Banminary	None	86	1636.9775559047187	fjordgate	core_destroyed	44	0	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_1.replay26	02943fbd-16df-48ea-a4c0-4e6b1be486a3	1	Kings College Munich	None	68	1582.9672385664383	eider	core_destroyed	675	0	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_2.replay26	02943fbd-16df-48ea-a4c0-4e6b1be486a3	2	Kings College Munich	None	68	1582.9672385664383	meander	core_destroyed	747	0	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_3.replay26	02943fbd-16df-48ea-a4c0-4e6b1be486a3	3	Kings College Munich	None	68	1582.9672385664383	antler	core_destroyed	512	0	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_4.replay26	02943fbd-16df-48ea-a4c0-4e6b1be486a3	4	Kings College Munich	None	68	1582.9672385664383	hive	core_destroyed	255	0	1
02943fbd-16df-48ea-a4c0-4e6b1be486a3_game_5.replay26	02943fbd-16df-48ea-a4c0-4e6b1be486a3	5	Kings College Munich	None	68	1582.9672385664383	heart	core_destroyed	178	0	1
02aa5ed0-8156-4e0f-a9b3-72358e9dfb60_game_1.replay26	02aa5ed0-8156-4e0f-a9b3-72358e9dfb60	1	Powerpuff Girls	None	81	1576.3961681016644	antler	titanium_collected	1000	0	0
02aa5ed0-8156-4e0f-a9b3-72358e9dfb60_game_2.replay26	02aa5ed0-8156-4e0f-a9b3-72358e9dfb60	2	Powerpuff Girls	None	81	1576.3961681016644	fjordgate	core_destroyed	920	0	0
02aa5ed0-8156-4e0f-a9b3-72358e9dfb60_game_3.replay26	02aa5ed0-8156-4e0f-a9b3-72358e9dfb60	3	Powerpuff Girls	None	81	1576.3961681016644	meander	titanium_collected	1000	1	0
02aa5ed0-8156-4e0f-a9b3-72358e9dfb60_game_4.replay26	02aa5ed0-8156-4e0f-a9b3-72358e9dfb60	4	Powerpuff Girls	None	81	1576.3961681016644	jackpot	titanium_collected	1000	0	0
02aa5ed0-8156-4e0f-a9b3-72358e9dfb60_game_5.replay26	02aa5ed0-8156-4e0f-a9b3-72358e9dfb60	5	Powerpuff Girls	None	81	1576.3961681016644	archipelago	titanium_collected	1000	0	0
03af6569-bb1e-4d66-8bbb-d89aa0c2d263_game_1.replay26	03af6569-bb1e-4d66-8bbb-d89aa0c2d263	1	Team 48	None	67	1617.1392370219148	jackpot	core_destroyed	117	1	1
03af6569-bb1e-4d66-8bbb-d89aa0c2d263_game_2.replay26	03af6569-bb1e-4d66-8bbb-d89aa0c2d263	2	Team 48	None	67	1617.1392370219148	atoll	core_destroyed	277	1	1
03af6569-bb1e-4d66-8bbb-d89aa0c2d263_game_3.replay26	03af6569-bb1e-4d66-8bbb-d89aa0c2d263	3	Team 48	None	67	1617.1392370219148	lighthouse	core_destroyed	85	1	1
03af6569-bb1e-4d66-8bbb-d89aa0c2d263_game_4.replay26	03af6569-bb1e-4d66-8bbb-d89aa0c2d263	4	Team 48	None	67	1617.1392370219148	heart	core_destroyed	105	1	1
03af6569-bb1e-4d66-8bbb-d89aa0c2d263_game_5.replay26	03af6569-bb1e-4d66-8bbb-d89aa0c2d263	5	Team 48	None	67	1617.1392370219148	saga	core_destroyed	101	1	1
03e63d07-fd8c-4933-b290-570be7e52c36_game_1.replay26	03e63d07-fd8c-4933-b290-570be7e52c36	1	Lunds Stallions	None	67	1548.7421160248168	antler	core_destroyed	750	0	0
03e63d07-fd8c-4933-b290-570be7e52c36_game_2.replay26	03e63d07-fd8c-4933-b290-570be7e52c36	2	Lunds Stallions	None	67	1548.7421160248168	moonrise	titanium_collected	1000	1	0
03e63d07-fd8c-4933-b290-570be7e52c36_game_3.replay26	03e63d07-fd8c-4933-b290-570be7e52c36	3	Lunds Stallions	None	67	1548.7421160248168	fjordgate	titanium_collected	1000	1	0
03e63d07-fd8c-4933-b290-570be7e52c36_game_4.replay26	03e63d07-fd8c-4933-b290-570be7e52c36	4	Lunds Stallions	None	67	1548.7421160248168	lighthouse	titanium_collected	1000	0	0
03e63d07-fd8c-4933-b290-570be7e52c36_game_5.replay26	03e63d07-fd8c-4933-b290-570be7e52c36	5	Lunds Stallions	None	67	1548.7421160248168	meander	core_destroyed	158	0	0
047ea519-f6e8-4971-9534-9b5d7f3df263_game_1.replay26	047ea519-f6e8-4971-9534-9b5d7f3df263	1	Orizon	None	64	1514.178104754881	lighthouse	titanium_collected	1000	1	1
047ea519-f6e8-4971-9534-9b5d7f3df263_game_2.replay26	047ea519-f6e8-4971-9534-9b5d7f3df263	2	Orizon	None	64	1514.178104754881	fjordgate	core_destroyed	550	0	1
047ea519-f6e8-4971-9534-9b5d7f3df263_game_3.replay26	047ea519-f6e8-4971-9534-9b5d7f3df263	3	Orizon	None	64	1514.178104754881	moonrise	core_destroyed	493	0	1
047ea519-f6e8-4971-9534-9b5d7f3df263_game_4.replay26	047ea519-f6e8-4971-9534-9b5d7f3df263	4	Orizon	None	64	1514.178104754881	jackpot	core_destroyed	95	0	1
047ea519-f6e8-4971-9534-9b5d7f3df263_game_5.replay26	047ea519-f6e8-4971-9534-9b5d7f3df263	5	Orizon	None	64	1514.178104754881	antler	titanium_collected	1000	1	1
067dcff2-0649-4a81-a003-387aeb7d6513_game_1.replay26	067dcff2-0649-4a81-a003-387aeb7d6513	1	Ouroboros	None	72	1584.9454444105447	lighthouse	core_destroyed	370	0	0
067dcff2-0649-4a81-a003-387aeb7d6513_game_2.replay26	067dcff2-0649-4a81-a003-387aeb7d6513	2	Ouroboros	None	72	1584.9454444105447	drumlin	core_destroyed	232	0	0
067dcff2-0649-4a81-a003-387aeb7d6513_game_3.replay26	067dcff2-0649-4a81-a003-387aeb7d6513	3	Ouroboros	None	72	1584.9454444105447	saga	titanium_collected	1000	0	0
067dcff2-0649-4a81-a003-387aeb7d6513_game_4.replay26	067dcff2-0649-4a81-a003-387aeb7d6513	4	Ouroboros	None	72	1584.9454444105447	heart	titanium_collected	1000	0	0
067dcff2-0649-4a81-a003-387aeb7d6513_game_5.replay26	067dcff2-0649-4a81-a003-387aeb7d6513	5	Ouroboros	None	72	1584.9454444105447	snowflake	titanium_collected	1000	0	0
071cd20c-4eb3-4233-ab7e-a91c7361d97b_game_1.replay26	071cd20c-4eb3-4233-ab7e-a91c7361d97b	1	Ouroboros	None	65	1589.7677826818217	lighthouse	core_destroyed	377	0	1
071cd20c-4eb3-4233-ab7e-a91c7361d97b_game_2.replay26	071cd20c-4eb3-4233-ab7e-a91c7361d97b	2	Ouroboros	None	65	1589.7677826818217	meander	core_destroyed	817	0	1
071cd20c-4eb3-4233-ab7e-a91c7361d97b_game_3.replay26	071cd20c-4eb3-4233-ab7e-a91c7361d97b	3	Ouroboros	None	65	1589.7677826818217	archipelago	titanium_collected	1000	0	1
071cd20c-4eb3-4233-ab7e-a91c7361d97b_game_4.replay26	071cd20c-4eb3-4233-ab7e-a91c7361d97b	4	Ouroboros	None	65	1589.7677826818217	atoll	core_destroyed	371	0	1
071cd20c-4eb3-4233-ab7e-a91c7361d97b_game_5.replay26	071cd20c-4eb3-4233-ab7e-a91c7361d97b	5	Ouroboros	None	65	1589.7677826818217	fjordgate	core_destroyed	151	0	1
072c3897-bf53-4e87-a7f3-31a15c22700f_game_1.replay26	072c3897-bf53-4e87-a7f3-31a15c22700f	1	Coreflood	None	72	1719.0881529212588	nordkap	core_destroyed	751	0	0
072c3897-bf53-4e87-a7f3-31a15c22700f_game_2.replay26	072c3897-bf53-4e87-a7f3-31a15c22700f	2	Coreflood	None	72	1719.0881529212588	jackpot	titanium_collected	1000	0	0
072c3897-bf53-4e87-a7f3-31a15c22700f_game_3.replay26	072c3897-bf53-4e87-a7f3-31a15c22700f	3	Coreflood	None	72	1719.0881529212588	lighthouse	core_destroyed	425	0	0
072c3897-bf53-4e87-a7f3-31a15c22700f_game_4.replay26	072c3897-bf53-4e87-a7f3-31a15c22700f	4	Coreflood	None	72	1719.0881529212588	snowflake	titanium_collected	1000	1	0
072c3897-bf53-4e87-a7f3-31a15c22700f_game_5.replay26	072c3897-bf53-4e87-a7f3-31a15c22700f	5	Coreflood	None	72	1719.0881529212588	archipelago	core_destroyed	105	1	0
0ae5da15-7aeb-42f6-9d2f-245a0fc925d0_game_1.replay26	0ae5da15-7aeb-42f6-9d2f-245a0fc925d0	1	CtrlAltDefeat	None	75	1600.3390520728262	heart	core_destroyed	296	0	0
0ae5da15-7aeb-42f6-9d2f-245a0fc925d0_game_2.replay26	0ae5da15-7aeb-42f6-9d2f-245a0fc925d0	2	CtrlAltDefeat	None	75	1600.3390520728262	snowflake	core_destroyed	981	0	0
0ae5da15-7aeb-42f6-9d2f-245a0fc925d0_game_3.replay26	0ae5da15-7aeb-42f6-9d2f-245a0fc925d0	3	CtrlAltDefeat	None	75	1600.3390520728262	archipelago	core_destroyed	499	0	0
0ae5da15-7aeb-42f6-9d2f-245a0fc925d0_game_4.replay26	0ae5da15-7aeb-42f6-9d2f-245a0fc925d0	4	CtrlAltDefeat	None	75	1600.3390520728262	saga	core_destroyed	427	0	0
0ae5da15-7aeb-42f6-9d2f-245a0fc925d0_game_5.replay26	0ae5da15-7aeb-42f6-9d2f-245a0fc925d0	5	CtrlAltDefeat	None	75	1600.3390520728262	drumlin	core_destroyed	326	0	0
0b83d04f-1903-4965-aa2d-1fd11ddf49bf_game_1.replay26	0b83d04f-1903-4965-aa2d-1fd11ddf49bf	1	Kleos	None	80	1418.905568802334	meander	core_destroyed	734	1	1
0b83d04f-1903-4965-aa2d-1fd11ddf49bf_game_2.replay26	0b83d04f-1903-4965-aa2d-1fd11ddf49bf	2	Kleos	None	80	1418.905568802334	nordkap	titanium_collected	1000	1	1
0b83d04f-1903-4965-aa2d-1fd11ddf49bf_game_3.replay26	0b83d04f-1903-4965-aa2d-1fd11ddf49bf	3	Kleos	None	80	1418.905568802334	fjordgate	titanium_collected	1000	1	1
0b83d04f-1903-4965-aa2d-1fd11ddf49bf_game_4.replay26	0b83d04f-1903-4965-aa2d-1fd11ddf49bf	4	Kleos	None	80	1418.905568802334	lighthouse	titanium_collected	1000	1	1
0b83d04f-1903-4965-aa2d-1fd11ddf49bf_game_5.replay26	0b83d04f-1903-4965-aa2d-1fd11ddf49bf	5	Kleos	None	80	1418.905568802334	drumlin	titanium_collected	1000	1	1
0d8531b4-c6c3-4903-b9a3-5e1cc00cea26_game_1.replay26	0d8531b4-c6c3-4903-b9a3-5e1cc00cea26	1	Team 48	None	72	1587.209477869797	moonrise	core_destroyed	103	1	0
0d8531b4-c6c3-4903-b9a3-5e1cc00cea26_game_2.replay26	0d8531b4-c6c3-4903-b9a3-5e1cc00cea26	2	Team 48	None	72	1587.209477869797	antler	core_destroyed	79	1	0
0d8531b4-c6c3-4903-b9a3-5e1cc00cea26_game_3.replay26	0d8531b4-c6c3-4903-b9a3-5e1cc00cea26	3	Team 48	None	72	1587.209477869797	saga	core_destroyed	149	1	0
