file	rnd	band	team	kind	x	y	d2_own	d2_enemy	side	winner
00523979-1b99-4a61-ad7e-0ed466cac31a_game_2.replay26	110	r0-150	0	launcher	3	5	10	10	HOME	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_2.replay26	131	r0-150	0	gunner	5	9	58	10	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_2.replay26	887	r300+	0	gunner	6	5	25	1	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_2.replay26	920	r300+	0	gunner	1	4	5	29	HOME	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_3.replay26	8	r0-150	0	launcher	10	8	34	164	HOME	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_3.replay26	20	r0-150	0	gunner	16	16	242	8	FORWARD	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_3.replay26	23	r0-150	1	gunner	18	16	4	290	HOME	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_3.replay26	31	r0-150	1	gunner	16	18	4	290	HOME	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_3.replay26	38	r0-150	1	gunner	16	19	5	317	HOME	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_3.replay26	51	r0-150	0	gunner	16	21	377	13	FORWARD	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_3.replay26	55	r0-150	0	gunner	17	21	400	10	FORWARD	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_3.replay26	56	r0-150	0	gunner	18	22	458	16	FORWARD	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_3.replay26	57	r0-150	1	gunner	5	9	250	16	FORWARD	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_3.replay26	59	r0-150	1	sentinel	5	10	233	25	FORWARD	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_3.replay26	60	r0-150	0	gunner	19	22	485	17	FORWARD	0
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	8	r0-150	0	gunner	9	15	81	9	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	9	r0-150	0	launcher	9	12	36	36	HOME	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	11	r0-150	1	gunner	11	9	85	13	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	12	r0-150	1	sentinel	10	12	37	37	HOME	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	13	r0-150	0	gunner	7	16	104	8	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	16	r0-150	0	gunner	6	19	178	10	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	18	r0-150	0	gunner	7	19	173	5	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	92	r0-150	1	gunner	9	17	1	121	HOME	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	99	r0-150	1	gunner	9	17	1	121	HOME	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	104	r0-150	1	gunner	9	17	1	121	HOME	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	112	r0-150	1	gunner	11	17	5	125	HOME	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	120	r0-150	1	gunner	9	17	1	121	HOME	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	136	r0-150	1	gunner	9	9	81	9	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	164	r150-200	1	gunner	12	4	205	13	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	176	r150-200	1	gunner	7	9	85	13	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	188	r150-200	1	gunner	6	7	130	10	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	200	r200-300	1	gunner	7	8	104	8	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_4.replay26	216	r200-300	1	gunner	8	5	170	2	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	3	r0-150	0	gunner	12	7	17	10	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	5	r0-150	0	launcher	11	8	25	4	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	6	r0-150	0	gunner	13	8	29	8	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	8	r0-150	1	gunner	10	9	2	37	HOME	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	9	r0-150	0	gunner	14	9	45	10	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	91	r0-150	1	gunner	9	2	68	5	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	104	r0-150	1	gunner	13	2	68	5	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	115	r0-150	1	gunner	10	12	5	82	HOME	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	121	r0-150	1	gunner	13	6	20	13	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	129	r0-150	1	gunner	10	6	17	10	FORWARD	1
00523979-1b99-4a61-ad7e-0ed466cac31a_game_5.replay26	134	r0-150	1	gunner	9	6	20	13	FORWARD	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	35	r0-150	0	gunner	15	8	313	61	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	36	r0-150	0	gunner	13	10	221	113	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	36	r0-150	0	gunner	10	13	113	221	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	73	r0-150	0	gunner	19	3	578	4	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	113	r0-150	0	sentinel	18	13	305	109	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	176	r150-200	0	gunner	20	10	424	50	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	181	r150-200	0	gunner	16	8	340	50	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	197	r150-200	0	gunner	17	6	421	25	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	247	r200-300	0	gunner	18	18	260	234	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	263	r200-300	0	gunner	17	17	234	212	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	274	r200-300	0	gunner	4	18	8	514	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	306	r300+	0	gunner	18	7	425	25	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	315	r300+	0	gunner	17	7	394	32	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	326	r300+	0	gunner	13	6	317	73	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	335	r300+	0	gunner	12	4	356	82	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	347	r300+	0	gunner	12	3	389	81	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	361	r300+	0	gunner	15	5	394	40	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	371	r300+	0	gunner	18	3	545	9	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	390	r300+	0	gunner	16	10	296	74	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	409	r300+	0	gunner	24	8	628	34	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	441	r300+	0	gunner	17	10	325	65	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	457	r300+	0	sentinel	18	6	452	18	FORWARD	0
