file	team	kind	band	turns	tled	exec_sum	exec_max	over10k
dodge_kladde_nordkap_1.replay26	0	builder_bot	r100_249	655	0	0	0	0
dodge_kladde_nordkap_1.replay26	1	builder_bot	r100_249	910	0	0	0	0
dodge_kladde_nordkap_1.replay26	1	gunner	r100_249	300	0	0	0	0
dodge_kladde_nordkap_1.replay26	1	sentinel	r100_249	502	0	0	0	0
dodge_kladde_nordkap_1.replay26	0	launcher	r100_249	150	0	0	0	0
dodge_kladde_nordkap_1.replay26	0	sentinel	r100_249	62	0	0	0	0
dodge_kladde_nordkap_1.replay26	0	gunner	r100_249	502	0	0	0	0
dodge_kladde_nordkap_1.replay26	0	core	r250_499	85	0	0	0	0
dodge_kladde_nordkap_1.replay26	1	core	r250_499	85	0	0	0	0
dodge_kladde_nordkap_1.replay26	0	builder_bot	r250_499	425	0	0	0	0
dodge_kladde_nordkap_1.replay26	1	builder_bot	r250_499	434	0	0	0	0
dodge_kladde_nordkap_1.replay26	1	gunner	r250_499	170	0	0	0	0
dodge_kladde_nordkap_1.replay26	1	sentinel	r250_499	268	0	0	0	0
dodge_kladde_nordkap_1.replay26	0	launcher	r250_499	85	0	0	0	0
dodge_kladde_nordkap_1.replay26	0	gunner	r250_499	496	0	0	0	0
dodge_kladde_nordkap_1.replay26	0	sentinel	r250_499	85	0	0	0	0
dodge_ouroboros_hive_0.replay26	0	core	r0_99	100	0	0	0	0
dodge_ouroboros_hive_0.replay26	1	core	r0_99	100	0	0	0	0
dodge_ouroboros_hive_0.replay26	0	builder_bot	r0_99	484	0	0	0	0
dodge_ouroboros_hive_0.replay26	1	builder_bot	r0_99	549	0	0	0	0
dodge_ouroboros_hive_0.replay26	0	launcher	r0_99	86	0	0	0	0
dodge_ouroboros_hive_0.replay26	1	gunner	r0_99	286	0	0	0	0
dodge_ouroboros_hive_0.replay26	0	core	r100_249	150	0	0	0	0
dodge_ouroboros_hive_0.replay26	1	core	r100_249	150	0	0	0	0
dodge_ouroboros_hive_0.replay26	1	builder_bot	r100_249	892	0	0	0	0
dodge_ouroboros_hive_0.replay26	0	builder_bot	r100_249	852	0	0	0	0
dodge_ouroboros_hive_0.replay26	0	launcher	r100_249	150	0	0	0	0
dodge_ouroboros_hive_0.replay26	1	gunner	r100_249	947	0	0	0	0
dodge_ouroboros_hive_0.replay26	0	gunner	r100_249	151	0	0	0	0
dodge_ouroboros_hive_0.replay26	0	core	r250_499	37	0	0	0	0
dodge_ouroboros_hive_0.replay26	1	core	r250_499	37	0	0	0	0
dodge_ouroboros_hive_0.replay26	1	builder_bot	r250_499	185	0	0	0	0
dodge_ouroboros_hive_0.replay26	0	builder_bot	r250_499	222	0	0	0	0
dodge_ouroboros_hive_0.replay26	0	launcher	r250_499	37	0	0	0	0
dodge_ouroboros_hive_0.replay26	1	gunner	r250_499	222	0	0	0	0
dodge_ouroboros_hive_0.replay26	0	gunner	r250_499	37	0	0	0	0
dodge_ouroboros_hive_1.replay26	0	core	r0_99	100	0	0	0	0
dodge_ouroboros_hive_1.replay26	1	core	r0_99	100	0	0	0	0
dodge_ouroboros_hive_1.replay26	0	builder_bot	r0_99	484	0	0	0	0
dodge_ouroboros_hive_1.replay26	1	builder_bot	r0_99	549	0	0	0	0
dodge_ouroboros_hive_1.replay26	0	launcher	r0_99	86	0	0	0	0
dodge_ouroboros_hive_1.replay26	1	gunner	r0_99	286	0	0	0	0
dodge_ouroboros_hive_1.replay26	0	core	r100_249	150	0	0	0	0
dodge_ouroboros_hive_1.replay26	1	core	r100_249	150	0	0	0	0
dodge_ouroboros_hive_1.replay26	1	builder_bot	r100_249	892	0	0	0	0
dodge_ouroboros_hive_1.replay26	0	builder_bot	r100_249	852	0	0	0	0
dodge_ouroboros_hive_1.replay26	0	launcher	r100_249	150	0	0	0	0
dodge_ouroboros_hive_1.replay26	1	gunner	r100_249	947	0	0	0	0
dodge_ouroboros_hive_1.replay26	0	gunner	r100_249	151	0	0	0	0
dodge_ouroboros_hive_1.replay26	0	core	r250_499	37	0	0	0	0
dodge_ouroboros_hive_1.replay26	1	core	r250_499	37	0	0	0	0
dodge_ouroboros_hive_1.replay26	1	builder_bot	r250_499	185	0	0	0	0
dodge_ouroboros_hive_1.replay26	0	builder_bot	r250_499	222	0	0	0	0
dodge_ouroboros_hive_1.replay26	0	launcher	r250_499	37	0	0	0	0
dodge_ouroboros_hive_1.replay26	1	gunner	r250_499	222	0	0	0	0
dodge_ouroboros_hive_1.replay26	0	gunner	r250_499	37	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	0	core	r0_99	100	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	1	core	r0_99	100	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	0	builder_bot	r0_99	310	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	1	builder_bot	r0_99	412	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	1	gunner	r0_99	185	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	0	sentinel	r0_99	91	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	0	core	r100_249	150	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	1	core	r100_249	150	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	0	builder_bot	r100_249	549	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	1	builder_bot	r100_249	694	0	0	0	0
