bot_a	bot_b	map	seed	seat	winner	condition	turns	crashes_a	crashes_b	collected_a	collected_b
bots/_v146gunaxis	bots/_v146null	hive	1	a	bots/_v146gunaxis	core_destroyed	293	0	0	3160	3110
bots/_v146null	bots/_v146gunaxis	hive	1	a	bots/_v146null	core_destroyed	335	0	0	3020	1240
