tag	map	seed	seat	rounds	won	spawn_n	spawn1_rnd	spawn4_rnd	spawn_fwd4	spawn_fwd_pos4	spawn_n30	harv1_rnd	harv1_dour	harv1_dtheir	harv_n30	harv_n60	harv_n	opp_harv1_rnd	opp_harv_n30	opp_harv_n60	conv1_rnd	conv_n30	conv_n60	opp_conv_n30	turret_n	opp_turret_n	ti_bank30	ti_coll30	opp_coll30	ti_bank60	ti_coll60	opp_coll60	ti_bank100	ti_coll100	opp_coll100	ti_bank200	ti_coll200	opp_coll200	ti_coll_end	opp_coll_end	harv_live30	harv_wired30	conv_good30	enemy_ourring30	conv_dmin30	harv_dmin30	conv_home30	harv_live60	harv_wired60	conv_good60	enemy_ourring60	conv_dmin60	harv_dmin60	conv_home60	harv_live100	harv_wired100	conv_good100	enemy_ourring100	conv_dmin100	harv_dmin100	conv_home100	harv_live150	harv_wired150	conv_good150	enemy_ourring150	conv_dmin150	harv_dmin150	conv_home150	head2_rnd	head1_rnd	head_dmin_ever	headadj_free_rnds	headadj_enemy_rnds	headadj_own_rnds	headadj_free_share	replan_rnds	replan_share	replan_dist	ringfree_rounds_after_head2	rounds_after_head2	ringfree_share_after_head2	homering_n	eseal30	ebar30	oseal30	free30	eseal60	ebar60	oseal60	free60	eseal100	ebar100	oseal100	free100	eseal150	ebar150	oseal150	free150	eseal_first	ebar_first	eseal_max	oseal_max	eseal_mean	bots_ours	bots_theirs	moves	rev_rate	choke_step_rate	dep_rnd	arr36_rnd	arr16_rnd	n_reach36	n_reach16	reach36_share	stall_bots	bfs_cc	route_steps	route_detour	arr16_hops	arr16_walks	throws_ours	throws_opp	throw1_rnd	throws_ours30	throw_fwd	throw_back	throw_gain	turret_dmin	turret1_rnd	turret_n30	turret_n_theirhalf	fwdbuild_n	fwdbuild1_rnd	fwdbuild_n100	fc_rnd	fc_victim_ours	fc_weapon	fc_basin	fc_dour	fc_dtheir	fc_pres0	fc_pres20	atring_first8	atring_first16	atring_rnds8	atring_share8	atring_share16	atring_bodyrnds	atring_peak	establish_first	establish_rnds	establish_share	establish_peak	raider_n	raider_life_med	kill_sentinel	kill_gunner	kill_builder_attack	kill_none	apron_death_med	apron_death_first	ourbot_deaths	oppbot_deaths	death_home	death_mid	death_apron	death_tiles	death_top1	death_conc	death_med_rnd	death_choke	our_recv_sent	our_recv_gun	our_recv_peck	opp_recv_sent	opp_recv_gun	opp_recv_peck	ourcore_firsthit	ourcore_min	ourcore_r150	oppcore_firsthit	oppcore_min	oppcore_r150	tape_ours_won	tape_turn	cond
parent_atoll_s1_A	atoll	1	A	205	1	6	0	3	0.0	2	5	2	3	27	2	2	2	5	2	4	3	4	4	4	9	4	16	120	120	70	270	260	52	470	290	14	970	290	990	290	2	2	4	3	1	3	2	2	2	4	3	1	3	2	2	2	4	3	1	3	2	2	2	4	3	1	3	2	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	3	3	3	0	3	3	3	0	3	3	3	0	3	20	20	4	0	2.59	6	5	650	0.6569	0.0185	6	8	8	3	3	0.5	0	22	5	0.227	2	2	7	71	6	5	7	0	46	2	5	6	4	11	10	7	12	1	sentinel	theirs	20	2	2	2	8	8	126	0.615	0.659	181	2	10	195	0.951	9	3	68	2	1	0	0	83	77	3	0	0	0	3	2	2	0.667	83	0	14	1	0	32	163	46	28	436	500	141	0	410	1	205	Core destroyed
flagoff_atoll_s1_A	atoll	1	A	1000	1	18	0	3	0.0	2	5	2	3	27	3	3	6	7	3	4	3	11	12	11	27	17	20	120	90	17	270	250	80	630	450	493	1630	950	7030	4940	3	2	4	3	1	3	2	3	2	4	5	1	3	2	4	4	14	3	1	3	3	4	4	14	3	1	3	3	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	3	5	5	0	1	3	3	0	1	3	3	0	2	25	25	5	0	3.683	18	13	4814	0.7152	0.0172	6	8	8	14	12	0.778	3	22	5	0.227	2	2	17	20	6	6	17	0	106	2	5	4	6	15	11	7	13	1	sentinel	theirs	22	1	2	2	8	8	596	0.596	0.608	652	2	11	989	0.989	4	14	12	7	2	0	0	471	42	9	8	0	0	9	6	2	0.222	471	0	246	117	49	315	88	22	458	210	500	481	30	500	1	1000	Titanium collected (tiebreak)
v531fix_atoll_s1_A	atoll	1	A	311	0	5	0	3	0.0	2	5	5	3	27	2	3	3	4	3	3	2	3	14	12	5	12	76	40	120	0	60	280	56	60	480	12	60	980	60	1520	2	1	3	3	1	3	2	3	0	3	4	1	3	3	3	0	3	6	1	3	3	3	0	3	4	1	3	3	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	2	2	0	3	3	3	0	2	2	2	0	3	21	21	3	0	2.379	5	8	915	0.5464	0.0339	6	8	8	3	2	0.6	0	22	5	0.227	2	2	4	0	6	4	4	0	28	11	5	3	0	12	11	12	12	1	sentinel	theirs	21	1	2	2	8	8	96	0.309	0.312	123	2	11	300	0.965	4	3	43	2	0	0	0	105	52	2	3	0	0	2	2	1	0.5	105	0	50	15	20	48	0	13	230	0	500	-1	500	500	0	311	Core destroyed
nomouth_atoll_s1_A	atoll	1	A	685	0	7	0	3	0.0	2	6	2	3	27	1	1	1	6	3	4	3	2	2	12	7	2	58	70	60	30	110	150	67	110	150	12	110	150	110	150	1	1	2	2	1	3	1	1	0	1	7	1	3	1	1	0	1	8	1	3	1	1	0	1	8	1	3	1	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	5	6	6	0	1	7	7	0	0	7	7	0	0	24	24	7	0	6.035	7	7	2032	0.9109	0.0025	6	8	8	3	3	0.429	2	22	5	0.227	2	2	5	29	6	5	5	0	31	2	5	4	2	11	11	11	14	0	builder_attack	theirs	23	2	2	3	8	8	378	0.552	0.988	418	2	11	674	0.984	10	3	10	2	0	0	0	66	18	2	6	0	0	2	1	2	1.0	66	0	110	0	13	6	143	20	289	0	500	-1	500	500	0	685	Core destroyed
cap6_atoll_s1_A	atoll	1	A	385	0	11	0	3	0.0	2	5	5	3	27	2	3	3	6	3	5	2	3	11	11	8	12	36	40	100	36	100	250	43	130	450	145	380	950	830	1870	2	1	3	1	1	3	2	3	0	2	4	1	3	2	3	1	3	3	1	3	2	3	1	3	3	1	3	2	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	5	3	3	0	3	3	3	0	3	3	3	0	3	25	25	3	0	2.748	11	11	1377	0.6725	0.069	6	8	8	4	3	0.364	3	22	5	0.227	2	2	5	215	6	5	5	0	31	2	5	4	1	4	11	4	12	1	sentinel	theirs	21	1	2	2	8	8	71	0.184	0.184	84	2	11	374	0.971	4	4	14	2	0	0	0	79	22	2	5	0	0	2	2	1	0.5	79	0	47	112	10	19	0	7	343	0	500	-1	500	500	0	385	Core destroyed
parent_atoll_s1_B	atoll	1	B	282	0	5	0	3	1.061	3	5	2	3	22	2	3	4	2	3	3	3	4	11	12	7	7	16	120	120	15	260	270	16	390	470	15	640	970	840	1380	2	2	4	3	1	3	2	3	2	4	6	1	3	2	4	1	2	7	1	3	1	4	1	2	7	1	3	1	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	3	5	5	0	1	6	6	0	1	6	6	0	1	24	24	7	0	5.124	5	6	429	0.5664	0.0256	6	8	8	3	2	0.6	1	22	5	0.227	2	2	6	120	6	6	6	0	35	3	5	6	2	10	9	8	12	0	builder_attack	theirs	25	1	2	2	9	8	107	0.379	0.433	117	2	9	273	0.968	7	3	14	2	1	0	0	132	22	3	1	1	0	2	3	1	0.333	88	1	61	35	40	3	230	3	183	0	500	-1	500	500	0	282	Core destroyed
flagoff_atoll_s1_B	atoll	1	B	223	1	6	0	3	1.061	3	5	2	3	22	2	3	3	3	3	3	3	4	8	10	7	2	93	120	120	23	260	280	35	360	470	11	610	720	670	770	2	2	4	2	1	3	2	3	2	4	3	1	3	2	3	1	2	3	1	3	1	3	1	2	3	1	3	1	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	3	3	3	0	1	3	3	0	1	3	3	0	1	24	24	3	0	2.637	6	5	256	0.5586	0.0117	6	8	8	3	3	0.5	1	22	5	0.227	2	2	6	46	6	4	6	0	43	2	5	4	3	11	10	10	17	1	sentinel	ours	0	23	2	2	8	8	178	0.798	0.87	188	2	10	213	0.955	9	3	19	2	0	0	0	52	27	2	0	0	0	2	1	2	1.0	52	0	111	0	10	32	0	18	17	442	494	132	0	320	1	223	Core destroyed
v531fix_atoll_s1_B	atoll	1	B	349	0	5	0	3	1.061	3	5	5	3	22	1	1	1	2	2	2	2	1	1	4	4	3	0	0	130	7	0	280	7	0	480	7	0	980	0	1720	1	0	1	2	1	3	1	1	0	1	5	1	3	1	1	0	1	5	1	3	1	1	0	1	5	1	3	1	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	3	5	5	0	0	5	5	0	0	5	5	0	0	21	21	5	0	4.542	5	5	121	0.2975	0.0083	6	8	8	2	2	0.4	0	22	5	0.227	2	2	4	91	6	4	4	0	28	2	5	4	1	13	10	13	14	1	sentinel	ours	0	23	2	2	8	8	51	0.146	0.163	68	2	10	339	0.971	7	2	30	2	0	0	0	65	38	2	0	0	0	2	1	2	1.0	65	0	220	0	0	5	0	0	14	0	486	-1	500	500	0	349	Core destroyed
nomouth_atoll_s1_B	atoll	1	B	116	1	5	0	3	1.061	3	5	2	3	22	2	2	2	2	3	3	3	4	4	10	6	2	68	120	130	50	260	240	12	460	340	21	540	380	540	380	2	2	4	2	1	3	2	2	2	4	3	1	3	2	2	2	4	3	1	3	2	0	0	0	0	-1	-1	0	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	3	3	3	0	1	3	3	0	1	-1	-1	-1	-1	23	23	3	0	2.284	5	5	100	0.37	0.03	6	8	8	2	2	0.4	0	22	5	0.227	2	2	6	4	6	6	6	0	36	2	5	4	3	9	12	9	13	1	sentinel	ours	0	23	2	2	8	8	107	0.922	0.931	114	2	12	104	0.897	9	2	12	1	0	0	0	20	20	1	1	0	0	1	1	1	1.0	20	0	54	0	0	31	0	20	13	448	494	61	0	0	1	116	Core destroyed
cap6_atoll_s1_B	atoll	1	B	257	0	5	0	3	1.061	3	5	5	3	22	2	2	2	3	3	3	2	7	7	10	4	3	0	0	130	7	0	270	7	0	470	7	0	970	0	1250	2	0	3	2	1	3	2	2	0	1	4	1	3	1	2	0	1	4	1	3	1	2	0	1	4	1	3	1	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	3	3	3	0	0	3	3	0	0	3	3	0	0	26	26	3	0	2.615	5	5	82	0.1341	0.0244	6	8	8	2	2	0.4	0	22	5	0.227	2	2	4	149	6	4	4	0	28	3	5	4	2	5	9	5	14	1	sentinel	theirs	19	3	2	2	8	8	15	0.058	0.082	18	2	9	248	0.965	5	2	11	2	0	0	0	29	19	2	0	0	0	2	1	2	1.0	29	0	159	0	10	0	0	0	19	0	400	-1	500	500	0	257	Core destroyed
