# TRAP 9 POSITIVE-CONTROL FIXTURE — captured by research arm s42 BEFORE the repair.
# The defect: read-modify-append race in tools/corpus/league_matches.py:77 (no lock).
# source=corpus/league_matches.tsv sha256=3b8d5185a7f07cc7b796aed4885b80ae41a5a2d31613b7561b2423cda88b85ea
# total_rows=45436 distinct_ids=45317 duplicate_ids=119 excess_rows=119
# multiplicity_distribution={2: 119} identical_pairs=119/119
# TRAP 9 must FAIL on this input and PASS after keep-first dedup.
id	multiplicity	row_indices	identical
aef617d9-2645-4b9e-9a47-d911cd2bff25	2	45306,45384	yes
cdbfa890-31ac-416f-a040-88e0f35e8dc0	2	45307,45385	yes
5c70a10e-c398-462b-8490-63587d542ef5	2	45308,45386	yes
50ca94c7-4b0f-4b0f-81d7-ba27ddfcc6ec	2	45309,45387	yes
fce76fc8-19cc-446b-8bdd-55036846676a	2	45310,45388	yes
8159da68-460e-4751-9d28-a607d2214239	2	45311,45389	yes
54edcbef-0fa6-4e89-be22-e3cf25556abb	2	45312,45390	yes
16124d24-adde-4125-8a07-fb81becb27dc	2	45313,45391	yes
b6abae84-0bd4-4e91-905e-647266225fc6	2	45314,45392	yes
0d0b65c3-dbf5-4893-9d8e-0ebf62672efa	2	45315,45393	yes
7b300a58-7dfa-4ace-80b9-105bb7cf499a	2	45316,45394	yes
415f48e5-1e67-40a6-8abc-e23af23c84c2	2	45317,45395	yes
be0772b1-559e-4e41-99d0-bc60ab3ce652	2	45318,45396	yes
3d20d776-2043-432a-80a4-b7c31b98b488	2	45319,45397	yes
b40ed588-085a-485f-b2e1-a781972610cc	2	45320,45398	yes
3b5172ec-6bb9-4686-a850-fd4f03844e00	2	45321,45399	yes
76a5d38a-36b8-4b2e-9a04-9a8fb10b5d77	2	45322,45400	yes
bb88a461-2095-48fa-b73d-978396310b36	2	45323,45401	yes
95e83acb-b13f-4af3-bc6c-f9e74927d04e	2	45324,45402	yes
1a287912-757a-4692-b9fd-658aec75617c	2	45325,45403	yes
8d97dfc9-777b-4df2-ad63-4b4a78ae3275	2	45326,45404	yes
c41db510-5e03-4ff5-b1ce-c00acc4b6569	2	45327,45405	yes
2c04e3a1-dbe4-4c9f-823e-1782469d04d4	2	45328,45406	yes
09833936-e508-405f-8a2e-082af30343ad	2	45329,45407	yes
a2c0f6b1-1459-4b54-9f01-32cc4344265c	2	45330,45408	yes
55843ca8-f235-46e7-8f42-56fb3fe0dbe0	2	45331,45409	yes
421e94f6-6d3c-44e0-809a-80c7738a8b00	2	45332,45410	yes
98dc76fa-0881-4139-a001-2026b0a6ae30	2	45333,45411	yes
d1e70a5b-284a-4f0b-93bf-b46ab057b571	2	45334,45412	yes
06c0ab3d-3b88-4651-bcae-ee1f90d69c9c	2	45335,45413	yes
11c6af6a-9281-4206-9fea-e0375ce9232b	2	45336,45414	yes
263c4360-8eda-48bd-ad5b-19323c43fca8	2	45337,45415	yes
38c23a59-b122-4619-9369-4271f39a3f97	2	45338,45416	yes
b989817a-4a51-485c-aa11-b814d5ea5a6f	2	45339,45417	yes
dd4eb990-ab38-4d19-9570-c0d9da55ff5a	2	45340,45418	yes
e2611196-5153-4a6a-b5ff-8fad40665633	2	45341,45419	yes
30c5ef6a-af02-47cc-8e75-c0b5044b9c82	2	45342,45420	yes
d0d146cb-8b35-40a3-8668-e971b4045061	2	45343,45421	yes
eb962c6f-dc5e-4f86-8ff9-6728b6ce1d54	2	45344,45422	yes
a86d78ca-5faf-4bb0-beb9-c491dc4fa4f0	2	45345,45423	yes
faa1fbac-f391-4519-9217-3112188900cb	2	45346,45424	yes
636ce1c9-c224-47c9-8111-cb139e46d2e4	2	45347,45425	yes
347c875d-96fc-4af2-aaf9-1ef089e1776e	2	45348,45426	yes
bf372fe7-4f43-4b2d-8313-c6ec2349efba	2	45349,45427	yes
d8c512f1-8ea3-4e5e-83e0-15ae2588a4b0	2	45350,45428	yes
83d6c00e-3c2a-4fae-949f-16e4caf043fb	2	45351,45429	yes
59423cd2-1859-4129-bb72-26f6bca8bbdf	2	45352,45430	yes
af81d85e-05a7-4594-bd9a-ee6dcf5209c4	2	45353,45431	yes
3dbd7684-cac0-48c3-85c9-71eab6d7d975	2	45354,45432	yes
daefb5d7-242d-482c-9775-31977d50c52f	2	45355,45433	yes
b43d2d65-f1d0-45d1-8088-9cd72eef7f71	2	45356,45434	yes
b6b525bd-e8da-4e8e-90c4-468799546fa8	2	45357,45435	yes
