r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
0	500	500	470	0	0	470	0	0	0	0	0	1	0	0	0	0
1	500	500	406	0	0	434	0	0	0	0	1	2	0	0	0	0
2	500	500	327	0	0	360	0	0	0	0	0	3	0	0	0	0
3	500	500	294	0	0	311	0	0	0	0	1	3	0	0	0	0
4	500	500	294	0	0	255	0	0	0	0	0	3	0	0	0	0
5	500	500	304	0	10	208	16	10	0	0	0	3	0	0	0	0
6	500	500	217	0	10	131	24	10	0	0	1	4	0	0	1	0
7	500	500	168	0	10	141	24	10	0	0	1	5	0	0	1	0
8	500	500	125	0	10	135	14	10	0	0	1	5	0	0	1	0
9	500	500	113	16	20	135	24	20	0	0	1	5	0	0	1	0
10	500	500	113	16	20	145	14	30	0	0	1	5	0	0	1	0
11	500	500	117	16	20	145	24	30	0	0	1	5	0	0	1	0
12	500	500	117	16	20	75	14	30	0	0	1	4	0	0	1	0
13	482	500	129	24	40	69	20	40	0	0	1	4	0	0	1	0
14	486	500	67	24	40	63	36	50	1	0	1	4	0	0	1	0
15	472	500	76	14	40	57	42	50	1	0	1	4	0	0	1	0
16	476	500	65	24	40	41	58	50	1	0	1	4	0	0	1	0
17	462	500	84	14	60	51	48	60	1	0	1	4	0	0	1	0
18	466	500	6	24	60	49	60	70	2	0	1	4	0	0	1	0
19	456	500	14	14	60	59	50	70	2	0	1	4	0	0	1	1
20	464	500	12	14	60	42	60	70	2	0	1	4	0	0	1	1
21	472	500	30	14	80	52	60	80	2	0	1	4	0	0	1	1
22	480	500	18	14	80	62	60	90	2	0	1	4	0	0	1	1
23	492	500	19	10	80	25	60	90	2	0	1	4	0	0	1	1
24	500	500	10	7	80	25	60	90	2	0	1	4	0	0	1	1
25	500	500	30	7	100	28	60	100	2	0	1	4	0	0	1	1
26	500	500	14	13	100	31	60	110	2	0	1	4	0	0	1	1
27	500	500	24	13	100	34	60	110	2	0	1	4	0	0	1	1
28	500	500	13	24	100	34	60	110	2	0	1	4	0	0	1	1
