tag	id	x	y	site	built	died	life	stood	dsq_opp	dsq_own	end
atoll_s1_A	7	4	12	HOME	1	2	1	0	200.5	8.5	999
atoll_s1_A	13	8	8	HOP	3	4	1	0	72.5	72.5	999
atoll_s1_A	25	12	4	HOP	7	-1	992	1	8.5	200.5	999
atoll_s1_A	340	5	15	HOME	159	160	1	0	246.5	6.5	999
atoll_s1_A	357	12	7	HOP	168	169	1	0	26.5	146.5	999
atoll_s1_A	424	4	12	HOME	202	300	98	0	200.5	8.5	999
atoll_s1_A	430	5	15	HOME	205	206	1	0	246.5	6.5	999
atoll_s1_A	449	12	7	HOP	214	215	1	0	26.5	146.5	999
atoll_s1_A	624	8	10	HOP	301	302	1	0	98.5	50.5	999
atoll_s1_A	674	1	13	HOME	327	328	1	0	292.5	4.5	999
atoll_s1_A	688	6	5	HOP	334	335	1	0	78.5	102.5	999
atoll_s1_A	724	4	12	HOME	354	-1	645	1	200.5	8.5	999
atoll_s1_B	7	13	5	HOME	1	2	1	0	200.5	8.5	999
atoll_s1_B	13	9	9	HOP	3	4	1	0	72.5	72.5	999
atoll_s1_B	21	5	13	HOP	5	19	14	0	8.5	200.5	999
atoll_s1_B	50	5	13	HOP	20	44	24	0	8.5	200.5	999
atoll_s1_B	173	12	2	HOME	109	110	1	0	246.5	6.5	999
atoll_s1_B	175	7	5	HOP	111	112	1	0	110.5	62.5	999
atoll_s1_B	204	16	5	HOME	131	132	1	0	272.5	8.5	999
atoll_s1_B	212	10	12	HOP	138	139	1	0	62.5	110.5	999
atoll_s1_B	236	12	2	HOME	157	158	1	0	246.5	6.5	999
atoll_s1_B	241	5	6	HOP	162	163	1	0	78.5	102.5	999
atoll_s1_B	336	16	4	HOME	245	246	1	0	292.5	4.5	999
atoll_s1_B	344	10	9	HOP	250	251	1	0	86.5	62.5	999
atoll_s1_B	490	16	5	HOME	375	376	1	0	272.5	8.5	999
atoll_s1_B	494	11	8	HOP	377	378	1	0	114.5	42.5	999
atoll_s1_B	496	7	12	HOP	379	380	1	0	26.5	146.5	999
atoll_s1_B	583	12	2	HOME	451	452	1	0	246.5	6.5	999
atoll_s1_B	588	7	5	HOP	453	454	1	0	110.5	62.5	999
atoll_s1_B	593	2	9	HOP	456	457	1	0	30.5	198.5	999
atoll_s1_B	596	0	14	RING	459	-1	540	1	6.5	342.5	999
atoll_s1_B	667	12	2	HOME	517	518	1	0	246.5	6.5	999
atoll_s1_B	669	7	5	HOP	519	520	1	0	110.5	62.5	999
atoll_s1_B	673	2	9	HOP	522	523	1	0	30.5	198.5	999
atoll_s1_B	908	16	4	HOME	725	726	1	0	292.5	4.5	999
atoll_s1_B	913	11	8	HOP	728	729	1	0	114.5	42.5	999
atoll_s1_B	915	7	12	HOP	730	731	1	0	26.5	146.5	999
atoll_s1_B	952	13	5	HOME	763	764	1	0	200.5	8.5	999
