tag	rnd	why	scale_pct	sent_price	builder_bot	conveyor	splitter	barrier	harvester	launcher	gunner	sentinel
atoll_s1_A	300	r300	359	107	80	10	0	4	15	10	20	120
atoll_s1_A	999	end	308	92	20	9	0	4	15	20	20	120
atoll_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s1_B	81	first_fwd_sentinel	281	84	80	13	0	3	25	0	20	40
atoll_s1_B	300	r300	198	59	20	12	0	1	25	0	20	20
atoll_s1_B	999	end	203	60	0	8	0	0	25	10	20	40
atoll_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s2_A	164	first_fwd_sentinel	341	102	80	19	0	7	25	10	40	60
atoll_s2_A	300	r300	309	92	60	19	0	5	25	20	40	40
atoll_s2_A	565	end	477	143	140	17	0	5	25	10	60	120
atoll_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s2_B	84	first_fwd_sentinel	271	81	80	4	0	7	10	10	20	40
atoll_s2_B	160	r300	249	74	80	2	0	7	10	10	0	40
atoll_s2_B	160	end	249	74	80	2	0	7	10	10	0	40
atoll_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s3_A	172	first_fwd_sentinel	326	97	100	11	0	10	15	10	40	40
atoll_s3_A	244	r300	326	97	100	11	0	10	15	10	40	40
atoll_s3_A	244	end	326	97	100	11	0	10	15	10	40	40
atoll_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s3_B	86	first_fwd_sentinel	291	87	100	4	0	7	10	10	0	60
atoll_s3_B	142	r300	292	87	100	4	0	8	10	10	0	60
atoll_s3_B	142	end	292	87	100	4	0	8	10	10	0	60
atoll_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s1_A	152	first_fwd_sentinel	328	98	100	10	0	8	10	20	0	80
drakkarfjord_s1_A	207	r300	329	98	100	10	0	9	10	20	0	80
drakkarfjord_s1_A	207	end	329	98	100	10	0	9	10	20	0	80
drakkarfjord_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s1_B	81	first_fwd_sentinel	297	89	100	18	0	9	10	0	40	20
drakkarfjord_s1_B	300	r300	295	88	100	16	0	9	10	0	40	20
drakkarfjord_s1_B	999	end	302	90	100	16	0	11	15	0	40	20
drakkarfjord_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s2_A	108	first_fwd_sentinel	330	99	60	47	0	3	20	0	60	40
drakkarfjord_s2_A	300	r300	411	123	60	97	0	9	35	10	60	40
drakkarfjord_s2_A	308	end	412	123	60	98	0	9	35	10	60	40
drakkarfjord_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s2_B	300	r300	467	140	80	106	0	1	40	40	60	40
drakkarfjord_s2_B	999	end	607	182	40	106	0	1	40	220	60	40
drakkarfjord_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s3_A	112	first_fwd_sentinel	309	92	80	32	0	7	20	10	20	40
drakkarfjord_s3_A	300	r300	304	91	60	28	0	6	20	10	40	40
drakkarfjord_s3_A	502	end	284	85	60	28	0	6	20	10	40	20
drakkarfjord_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s3_B	80	first_fwd_sentinel	297	89	100	18	0	9	10	0	20	40
drakkarfjord_s3_B	151	r300	297	89	100	18	0	9	10	0	20	40
drakkarfjord_s3_B	151	end	297	89	100	18	0	9	10	0	20	40
drakkarfjord_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s1_A	92	first_fwd_sentinel	304	91	120	10	0	9	5	0	40	20
glacierkeep_s1_A	300	r300	262	78	100	9	0	8	5	0	40	0
glacierkeep_s1_A	680	end	341	102	80	74	0	7	40	0	40	0
glacierkeep_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s1_B	72	first_fwd_sentinel	285	85	120	10	0	10	5	0	20	20
glacierkeep_s1_B	300	r300	309	92	80	41	0	8	20	0	40	20
glacierkeep_s1_B	566	end	323	96	80	79	0	4	40	0	20	0
glacierkeep_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s2_A	76	first_fwd_sentinel	285	85	120	10	0	10	5	0	20	20
glacierkeep_s2_A	300	r300	263	78	100	9	0	9	5	0	20	20
glacierkeep_s2_A	999	end	274	82	100	10	0	9	15	0	20	20
glacierkeep_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s2_B	112	first_fwd_sentinel	270	81	120	9	0	11	0	10	0	20
glacierkeep_s2_B	216	r300	269	80	120	8	0	11	0	10	0	20
glacierkeep_s2_B	216	end	269	80	120	8	0	11	0	10	0	20
glacierkeep_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s3_A	180	first_fwd_sentinel	295	88	100	18	0	7	10	0	40	20
glacierkeep_s3_A	300	r300	275	82	100	18	0	7	10	0	40	0
glacierkeep_s3_A	999	end	319	95	60	73	0	6	40	0	40	0
glacierkeep_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s3_B	104	first_fwd_sentinel	284	85	120	9	0	10	5	0	20	20
glacierkeep_s3_B	300	r300	238	71	80	6	0	7	5	0	20	20
glacierkeep_s3_B	520	end	238	71	80	6	0	7	5	0	20	20
glacierkeep_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s1_A	112	first_fwd_sentinel	279	83	60	25	0	9	25	20	20	20
midgard_s1_A	300	r300	214	64	20	20	0	9	25	20	20	0
midgard_s1_A	520	end	214	64	0	20	0	9	25	20	40	0
midgard_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s1_B	42	first_fwd_sentinel	218	65	60	13	0	0	15	10	0	20
midgard_s1_B	300	r300	208	62	20	25	0	3	20	0	0	40
midgard_s1_B	999	end	221	66	20	18	0	3	20	0	0	60
midgard_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s2_A	195	first_fwd_sentinel	243	72	20	12	0	6	15	10	40	40
midgard_s2_A	300	r300	239	71	40	12	0	2	15	10	40	20
midgard_s2_A	327	end	299	89	80	12	0	2	15	10	60	20
midgard_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s2_B	42	first_fwd_sentinel	218	65	60	13	0	0	15	10	0	20
