file	map_w	map_h	rounds	winner	win_condition	a_titanium	b_titanium	a_ti_collected	b_ti_collected	a_chain	b_chain	a_chain_dir	b_chain_dir	a_shipped	b_shipped	a_core_deliv	b_core_deliv	a_sentinel_r	a_sentinel_at	b_sentinel_r	b_sentinel_at	a_gunner_r	a_gunner_at	b_gunner_r	b_gunner_at	a_launcher_r	a_launcher_at	b_launcher_r	b_launcher_at	a_barrier_r	a_barrier_at	b_barrier_r	b_barrier_at	a_harvester_r	a_harvester_at	b_harvester_r	b_harvester_at	a_conveyor_r	a_conveyor_at	b_conveyor_r	b_conveyor_at	a_splitter_r	a_splitter_at	b_splitter_r	b_splitter_at	a_n_builder_bot	b_n_builder_bot	a_n_core	b_n_core	a_n_harvester	b_n_harvester	a_n_conveyor	b_n_conveyor	a_n_splitter	b_n_splitter	a_n_barrier	b_n_barrier	a_n_sentinel	b_n_sentinel	a_n_gunner	b_n_gunner	a_n_launcher	b_n_launcher
4479f68d-94e4-414a-9d39-64fe7fdc9af2_game_1.replay26	25	15	156	A	core_destroyed	18	101	930	790	2/3	2/4	2/3	2/4	3/3	4/4	93	79	1	11,5	28	11,9	28	11,7	4	11,8							103	10,9	6	16,3	6	6,13	8	16,2	8	7,13					4	5	1	0	3	4	45	27	0	0	0	1	1	1	0	6	0	0
4479f68d-94e4-414a-9d39-64fe7fdc9af2_game_2.replay26	21	8	178	B	core_destroyed	12	105	410	1700	1/1	4/6	1/1	4/6	1/1	6/6	41	170	6	7,5			15	8,4	5	9,3									7	9,5	3	11,5	10	7,6	5	11,4					3	2	0	1	1	6	13	22	0	0	0	0	2	0	0	8	0	0
4479f68d-94e4-414a-9d39-64fe7fdc9af2_game_3.replay26	14	18	853	B	core_destroyed	36	165	1330	6390	0/1	3/4	0/1	3/4	1/1	4/4	133	639	3	6,7	10	3,7	58	7,9	3	6,10									3	7,2	3	5,16	5	7,3	5	5,15					2	3	0	1	1	4	23	13	0	0	0	0	0	2	0	15	0	0
4479f68d-94e4-414a-9d39-64fe7fdc9af2_game_4.replay26	28	20	432	A	core_destroyed	225	67	3010	270	8/16	0/2	4/16	0/2	12/16	2/2	301	27	6	14,10	13	14,6	240	16,10	6	14,9	159	13,2							8	1,11	10	15,5	10	2,11	12	14,5					10	1	1	0	16	2	65	2	0	0	0	0	1	0	0	3	1	0
4479f68d-94e4-414a-9d39-64fe7fdc9af2_game_5.replay26	18	18	178	A	core_destroyed	28	84	1060	500	2/2	1/1	2/2	1/1	2/2	1/1	106	50	16	9,3	32	12,3	24	11,3	39	12,4	20	2,12							3	1,17	2	16,0	5	1,16	4	15,0					4	6	1	0	2	1	35	2	0	0	0	0	0	0	1	1	1	0
77e87e17-e48a-4540-bf7b-89d985c1a7ef_game_1.replay26	25	25	1000	B	titanium_collected	1506	343	10330	11860	6/7	5/9	4/7	5/9	7/7	9/9	1033	1186	17	14,14	26	14,17			19	14,16	11	5,3							4	1,7	6	23,17	6	2,7	8	23,18					4	7	1	1	7	9	136	41	0	0	0	0	7	3	0	20	1	0
77e87e17-e48a-4540-bf7b-89d985c1a7ef_game_2.replay26	24	24	1000	B	titanium_collected	12014	15311	19560	20420	13/17	13/15	10/17	13/15	17/17	15/15	1956	2042	60	14,14	68	12,16			502	4,21	20	3,5							9	10,4	5	23,21	11	10,3	7	22,21					16	11	1	1	17	15	99	94	0	0	0	0	4	3	0	1	1	0
77e87e17-e48a-4540-bf7b-89d985c1a7ef_game_3.replay26	10	10	344	A	core_destroyed	1244	10	2310	190	2/2	0/1	2/2	0/1	2/2	1/1	231	19	2	1,6					4	4,6									3	6,2	4	3,7	5	5,2	6	4,7					6	5	1	0	2	1	43	1	0	0	0	0	0	0	0	2	0	0
77e87e17-e48a-4540-bf7b-89d985c1a7ef_game_4.replay26	26	26	365	B	core_destroyed	760	247	4180	6560	6/12	10/12	6/12	10/12	10/12	12/12	418	656	19	15,16	21	18,16	27	19,16	28	21,18	28	8,4					72	19,18	8	3,2	4	21,24	10	4,2	6	20,24					7	8	0	1	12	12	102	43	0	0	0	1	1	6	0	11	1	0
77e87e17-e48a-4540-bf7b-89d985c1a7ef_game_5.replay26	28	20	892	B	core_destroyed	7011	3129	10770	17160	4/6	10/11	4/6	9/11	6/6	11/11	1077	1716	6	14,9			58	14,9	6	15,8	160	8,16							5	4,11	3	21,6	7	5,11	5	20,6					0	5	0	1	6	11	62	47	0	0	0	0	0	0	0	39	0	0
