file	map_w	map_h	rounds	winner	win_condition	a_titanium	b_titanium	a_ti_collected	b_ti_collected	a_chain	b_chain	a_chain_dir	b_chain_dir	a_shipped	b_shipped	a_core_deliv	b_core_deliv	a_sentinel_r	a_sentinel_at	b_sentinel_r	b_sentinel_at	a_gunner_r	a_gunner_at	b_gunner_r	b_gunner_at	a_launcher_r	a_launcher_at	b_launcher_r	b_launcher_at	a_barrier_r	a_barrier_at	b_barrier_r	b_barrier_at	a_harvester_r	a_harvester_at	b_harvester_r	b_harvester_at	a_conveyor_r	a_conveyor_at	b_conveyor_r	b_conveyor_at	a_splitter_r	a_splitter_at	b_splitter_r	b_splitter_at	a_n_builder_bot	b_n_builder_bot	a_n_core	b_n_core	a_n_harvester	b_n_harvester	a_n_conveyor	b_n_conveyor	a_n_splitter	b_n_splitter	a_n_barrier	b_n_barrier	a_n_sentinel	b_n_sentinel	a_n_gunner	b_n_gunner	a_n_launcher	b_n_launcher
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_1.replay26	16	16	668	A	core_destroyed	165	2909	5550	4750	5/6	0/1	4/6	0/1	6/6	1/1	555	475	76	8,14	4	10,10	18	5,7	49	7,5	1	6,5	10	11,7					9	1,6	7	7,12	11	2,6	9	8,13					9	1	1	0	6	1	42	13	0	0	0	0	1	0	10	0	0	1
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_2.replay26	20	26	1000	A	titanium_collected	7417	6498	11600	7250	8/10	2/2	8/10	2/2	10/10	2/2	1160	725	10	6,8	5	9,20	16	10,10	35	9,15	1	10,9							8	9,2	5	14,18	10	8,2	7	13,18					9	0	1	1	10	2	48	31	0	0	0	0	0	0	11	0	0	0
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_3.replay26	25	25	833	A	core_destroyed	184	35	12990	1560	28/28	0/1	17/28	0/1	28/28	1/1	1299	156	25	7,7	24	10,10	28	7,8	33	8,8	1	8,7	12	19,16					10	1,7	6	14,18	12	1,6	12	14,19					8	2	1	0	28	1	140	32	0	0	0	0	0	0	17	0	1	0
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_4.replay26	21	8	238	A	core_destroyed	96	50	2190	420	5/6	0/1	5/6	0/1	6/6	0/1	219	42	180	15,7	4	13,6	9	8,2	27	11,4	1	8,4							9	1,4	3	11,5	11	2,4	5	12,5					6	2	1	0	6	1	21	16	0	0	0	0	1	0	8	0	1	0
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_5.replay26	16	16	168	A	core_destroyed	30	27	460	680	2/2	1/2	2/2	1/2	2/2	2/2	46	68	19	2,2	18	5,5	61	3,0	32	3,3	1	2,3	28	13,12					20	1,4	5	14,11	22	1,5	7	14,12					4	4	1	0	2	2	15	50	0	0	0	0	1	0	1	0	1	0
c618984a-e93a-4fde-b9b9-5ec0cd3abadf_game_1.replay26	21	8	402	A	core_destroyed	48	492	3030	1360	4/6	0/0	4/6	0/0	5/6	0/0	303	136			5	13,3	6	8,2	59	13,3	1	8,4							9	1,4	5	11,5	11	2,4	7	12,5					5	1	1	0	6	0	16	14	0	0	0	0	0	0	9	0	1	0
c618984a-e93a-4fde-b9b9-5ec0cd3abadf_game_2.replay26	24	24	1000	A	titanium_collected	1726	202	8490	2470	22/26	2/4	14/26	1/4	26/26	4/4	849	247	36	5,8	24	8,8	23	7,7	48	2,7	1	7,6	18	20,18					8	0,2	7	23,21	10	1,2	9	15,20					10	2	1	1	26	4	111	39	0	0	0	0	0	0	7	0	1	1
c618984a-e93a-4fde-b9b9-5ec0cd3abadf_game_3.replay26	10	10	1000	B	titanium_collected	273	108	0	6260	0/1	2/2	0/1	2/2	1/1	2/2	0	626	5	3,7	3	6,8	7	5,2			1	5,4							72	1,8	5	3,9	74	1,7	7	4,9					4	3	1	1	1	2	3	34	0	0	0	0	0	1	2	0	1	0
c618984a-e93a-4fde-b9b9-5ec0cd3abadf_game_4.replay26	25	25	512	A	core_destroyed	244	50	5210	270	21/21	0/0	18/21	0/0	21/21	0/0	521	27			17	18,16	19	16,15	19	17,16	1	8,7							10	1,7	5	14,18	12	1,6	7	17,17					7	1	1	0	21	0	100	53	0	0	0	0	0	0	7	0	1	0
c618984a-e93a-4fde-b9b9-5ec0cd3abadf_game_5.replay26	26	26	271	B	core_destroyed	111	1415	2230	4870	10/12	19/19	3/12	18/19	11/12	19/19	223	487			24	9,9	22	8,9	52	20,23	2	7,7	45	16,23					8	2,6	6	21,23	10	2,5	8	21,22					8	9	0	1	12	19	94	82	0	0	0	0	0	0	1	3	1	1
03e63d07-fd8c-4933-b290-570be7e52c36_game_1.replay26	14	18	750	B	core_destroyed	1421	88	4780	5050	3/3	4/4	3/3	4/4	3/3	4/4	478	505	4	7,7	7	7,9			9	7,8	72	4,3	1	7,10					4	7,2	10	7,15	6	7,3	12	6,15					9	10	0	1	3	4	83	26	0	0	0	0	0	0	0	5	1	0
03e63d07-fd8c-4933-b290-570be7e52c36_game_2.replay26	21	8	1000	A	titanium_collected	2892	19	3090	0	3/4	0/0	2/4	0/0	4/4	0/0	309	0	8	7,5					12	6,1			1	12,4	59	10,3			6	1,4	9	11,5	8	2,4	11	11,4					4	2	1	1	4	0	64	1	0	0	1	0	0	0	0	1	0	1
03e63d07-fd8c-4933-b290-570be7e52c36_game_3.replay26	10	10	1000	A	titanium_collected	8077	634	8290	300	5/5	0/1	5/5	0/1	5/5	1/1	829	30	6	1,1			55	3,4	7	4,5	37	3,0	1	5,4					3	6,2	10	8,1	5	5,2	12	8,2					2	10	1	1	5	1	45	4	0	0	0	0	0	0	0	0	0	0
