file	map_w	map_h	rounds	winner	win_condition	a_titanium	b_titanium	a_ti_collected	b_ti_collected	a_chain	b_chain	a_chain_dir	b_chain_dir	a_shipped	b_shipped	a_core_deliv	b_core_deliv	a_sentinel_r	a_sentinel_at	b_sentinel_r	b_sentinel_at	a_gunner_r	a_gunner_at	b_gunner_r	b_gunner_at	a_launcher_r	a_launcher_at	b_launcher_r	b_launcher_at	a_barrier_r	a_barrier_at	b_barrier_r	b_barrier_at	a_harvester_r	a_harvester_at	b_harvester_r	b_harvester_at	a_conveyor_r	a_conveyor_at	b_conveyor_r	b_conveyor_at	a_splitter_r	a_splitter_at	b_splitter_r	b_splitter_at	a_n_builder_bot	b_n_builder_bot	a_n_core	b_n_core	a_n_harvester	b_n_harvester	a_n_conveyor	b_n_conveyor	a_n_splitter	b_n_splitter	a_n_barrier	b_n_barrier	a_n_sentinel	b_n_sentinel	a_n_gunner	b_n_gunner	a_n_launcher	b_n_launcher
bab61537-2315-4121-9286-d9447197afc2_game_1.replay26	28	20	364	A	core_destroyed	953	2022	6340	3520	10/15	1/7	10/15	1/7	13/15	7/7	634	352			7	13,9	12	12,9	32	10,7									4	11,12	6	16,8	2	6,7	8	17,8					7	2	1	0	15	7	37	13	0	0	0	0	0	0	13	0	0	0
bab61537-2315-4121-9286-d9447197afc2_game_2.replay26	25	15	206	A	core_destroyed	15	44	1200	290	2/2	1/4	2/2	1/4	2/2	4/4	120	29			3	12,9	4	13,6											6	16,6	7	16,11	4	16,5	9	16,12					5	1	1	0	2	4	25	48	0	0	0	0	0	0	6	0	0	0
bab61537-2315-4121-9286-d9447197afc2_game_3.replay26	25	25	690	A	core_destroyed	2593	1841	11430	3480	12/14	0/9	12/14	0/9	13/14	9/9	1143	348			17	10,10	22	10,7	149	13,16			12	18,16					5	9,9	10	14,18	3	9,8	12	15,19					5	0	1	0	14	9	94	17	0	0	0	0	0	0	24	0	0	0
bab61537-2315-4121-9286-d9447197afc2_game_4.replay26	18	18	313	A	core_destroyed	70	56	3570	1790	5/5	2/3	5/5	2/3	5/5	3/3	357	179			16	3,9	27	3,12	44	13,6			12	17,1					2	1,17	4	16,0	4	1,16	6	15,0					7	2	1	0	5	3	21	18	0	0	0	0	0	0	14	0	0	0
bab61537-2315-4121-9286-d9447197afc2_game_5.replay26	25	25	301	A	core_destroyed	635	31	3190	410	6/6	0/4	6/6	0/4	6/6	4/4	319	41			32	7,16	43	6,16					26	20,2			7	20,4	4	1,17	5	23,7	2	1,18	7	23,6					6	3	1	0	6	4	36	9	0	0	0	1	0	0	11	0	0	0
071cd20c-4eb3-4233-ab7e-a91c7361d97b_game_1.replay26	16	16	377	A	core_destroyed	928	1340	5520	1720	7/7	0/4	7/7	0/4	7/7	4/4	552	172			7	8,8	11	6,6	52	6,6			10	11,10					4	1,6	6	14,9	2	2,6	8	13,9					7	0	1	0	7	4	34	10	0	0	0	0	0	0	14	0	0	0
071cd20c-4eb3-4233-ab7e-a91c7361d97b_game_2.replay26	25	15	817	A	core_destroyed	4254	1466	11270	1540	3/6	0/5	3/6	0/5	5/6	5/5	1127	154			6	10,10	8	8,6											6	16,6	6	7,8	4	16,5	8	8,8					7	0	1	0	6	5	44	20	0	0	0	0	0	0	16	0	0	0
071cd20c-4eb3-4233-ab7e-a91c7361d97b_game_3.replay26	26	26	1000	A	titanium_collected	24313	5131	31540	8600	19/22	2/10	19/22	2/10	20/22	9/10	3154	860			25	9,9	28	7,7	44	8,8			18	18,19					5	4,2	7	23,19	3	4,3	9	23,20					8	8	1	1	22	10	102	26	0	0	0	0	0	0	14	0	0	1
071cd20c-4eb3-4233-ab7e-a91c7361d97b_game_4.replay26	18	18	371	A	core_destroyed	697	401	4330	1220	5/5	0/2	5/5	0/2	5/5	2/2	433	122			20	3,9	31	3,12	71	14,6			19	13,0					2	1,17	5	16,0	4	1,16	7	15,0					3	1	1	0	5	2	19	8	0	0	0	0	0	0	15	0	0	0
071cd20c-4eb3-4233-ab7e-a91c7361d97b_game_5.replay26	10	10	151	A	core_destroyed	70	15	770	20	1/1	0/2	1/1	0/2	1/1	2/2	77	2			2	8,8	2	4,6											4	6,2	6	3,7	2	5,2	8	4,7					3	0	1	0	1	2	13	2	0	0	0	0	0	1	4	0	0	0
