file	match	game	us_side	our_won	ourver	oppver	completedAt	game_winner_side
4479f68d-94e4-414a-9d39-64fe7fdc9af2_game_1.replay26	4479f68d-94e4-414a-9d39-64fe7fdc9af2	1	a	1	64	26	2026-08-07T13:16:38.406Z	a
4479f68d-94e4-414a-9d39-64fe7fdc9af2_game_2.replay26	4479f68d-94e4-414a-9d39-64fe7fdc9af2	2	a	0	64	26	2026-08-07T13:16:38.406Z	b
4479f68d-94e4-414a-9d39-64fe7fdc9af2_game_3.replay26	4479f68d-94e4-414a-9d39-64fe7fdc9af2	3	a	0	64	26	2026-08-07T13:16:38.406Z	b
4479f68d-94e4-414a-9d39-64fe7fdc9af2_game_4.replay26	4479f68d-94e4-414a-9d39-64fe7fdc9af2	4	a	1	64	26	2026-08-07T13:16:38.406Z	a
4479f68d-94e4-414a-9d39-64fe7fdc9af2_game_5.replay26	4479f68d-94e4-414a-9d39-64fe7fdc9af2	5	a	1	64	26	2026-08-07T13:16:38.406Z	a
77e87e17-e48a-4540-bf7b-89d985c1a7ef_game_1.replay26	77e87e17-e48a-4540-bf7b-89d985c1a7ef	1	a	0	64	21	2026-08-07T13:24:07.247Z	b
77e87e17-e48a-4540-bf7b-89d985c1a7ef_game_2.replay26	77e87e17-e48a-4540-bf7b-89d985c1a7ef	2	a	0	64	21	2026-08-07T13:24:07.247Z	b
77e87e17-e48a-4540-bf7b-89d985c1a7ef_game_3.replay26	77e87e17-e48a-4540-bf7b-89d985c1a7ef	3	a	1	64	21	2026-08-07T13:24:07.247Z	a
77e87e17-e48a-4540-bf7b-89d985c1a7ef_game_4.replay26	77e87e17-e48a-4540-bf7b-89d985c1a7ef	4	a	0	64	21	2026-08-07T13:24:07.247Z	b
77e87e17-e48a-4540-bf7b-89d985c1a7ef_game_5.replay26	77e87e17-e48a-4540-bf7b-89d985c1a7ef	5	a	0	64	21	2026-08-07T13:24:07.247Z	b
1b24e13c-dea9-4070-940b-ed3d0f9a3dc4_game_1.replay26	1b24e13c-dea9-4070-940b-ed3d0f9a3dc4	1	a	1	65	21	2026-08-07T14:38:49.593Z	a
1b24e13c-dea9-4070-940b-ed3d0f9a3dc4_game_2.replay26	1b24e13c-dea9-4070-940b-ed3d0f9a3dc4	2	a	1	65	21	2026-08-07T14:38:49.593Z	a
1b24e13c-dea9-4070-940b-ed3d0f9a3dc4_game_3.replay26	1b24e13c-dea9-4070-940b-ed3d0f9a3dc4	3	a	1	65	21	2026-08-07T14:38:49.593Z	a
1b24e13c-dea9-4070-940b-ed3d0f9a3dc4_game_4.replay26	1b24e13c-dea9-4070-940b-ed3d0f9a3dc4	4	a	0	65	21	2026-08-07T14:38:49.593Z	b
1b24e13c-dea9-4070-940b-ed3d0f9a3dc4_game_5.replay26	1b24e13c-dea9-4070-940b-ed3d0f9a3dc4	5	a	0	65	21	2026-08-07T14:38:49.593Z	b
92d2e09a-819b-4c5a-ac45-b9d1e0aec04d_game_1.replay26	92d2e09a-819b-4c5a-ac45-b9d1e0aec04d	1	a	1	67	23	2026-08-07T16:15:33.755Z	a
92d2e09a-819b-4c5a-ac45-b9d1e0aec04d_game_2.replay26	92d2e09a-819b-4c5a-ac45-b9d1e0aec04d	2	a	0	67	23	2026-08-07T16:15:33.755Z	b
92d2e09a-819b-4c5a-ac45-b9d1e0aec04d_game_3.replay26	92d2e09a-819b-4c5a-ac45-b9d1e0aec04d	3	a	0	67	23	2026-08-07T16:15:33.755Z	b
92d2e09a-819b-4c5a-ac45-b9d1e0aec04d_game_4.replay26	92d2e09a-819b-4c5a-ac45-b9d1e0aec04d	4	a	1	67	23	2026-08-07T16:15:33.755Z	a
