file	map_w	map_h	rounds	winner	win_condition	a_titanium	b_titanium	a_ti_collected	b_ti_collected	a_chain	b_chain	a_chain_dir	b_chain_dir	a_shipped	b_shipped	a_core_deliv	b_core_deliv	a_sentinel_r	a_sentinel_at	b_sentinel_r	b_sentinel_at	a_gunner_r	a_gunner_at	b_gunner_r	b_gunner_at	a_launcher_r	a_launcher_at	b_launcher_r	b_launcher_at	a_barrier_r	a_barrier_at	b_barrier_r	b_barrier_at	a_harvester_r	a_harvester_at	b_harvester_r	b_harvester_at	a_conveyor_r	a_conveyor_at	b_conveyor_r	b_conveyor_at	a_splitter_r	a_splitter_at	b_splitter_r	b_splitter_at	a_n_builder_bot	b_n_builder_bot	a_n_core	b_n_core	a_n_harvester	b_n_harvester	a_n_conveyor	b_n_conveyor	a_n_splitter	b_n_splitter	a_n_barrier	b_n_barrier	a_n_sentinel	b_n_sentinel	a_n_gunner	b_n_gunner	a_n_launcher	b_n_launcher
9db6a45d-e76d-4fce-9965-2a9194eab18e_game_1.replay26	24	24	968	A	core_destroyed	30	10	12460	0	13/25	0/3	13/25	0/3	18/25	2/3	1246	0	16	14,14			381	17,19			1	4,6	16	17,17					8	0,2	8	13,19	10	1,2	10	14,19					16	5	1	0	25	3	82	3	0	0	0	0	1	0	5	0	1	1
9db6a45d-e76d-4fce-9965-2a9194eab18e_game_2.replay26	25	25	66	A	core_destroyed	15	12	220	0	2/2	0/3	2/2	0/3	2/2	3/3	22	0	27	16,3	28	7,16					1	4,18	18	19,4			16	20,4	8	1,17	9	23,7	2	4,19	11	23,6					3	3	1	0	2	3	19	19	0	0	0	1	2	0	0	0	1	1
9db6a45d-e76d-4fce-9965-2a9194eab18e_game_3.replay26	25	15	373	B	core_destroyed	0	48	850	2210	1/3	8/12	1/3	7/12	3/3	11/12	85	221	5	12,6	6	11,8	25	10,12	147	10,7	1	11,6							160	16,6	8	16,8	162	15,6	16	16,9					5	7	0	1	3	12	12	72	0	0	0	0	0	0	0	0	0	0
9db6a45d-e76d-4fce-9965-2a9194eab18e_game_4.replay26	28	20	322	A	core_destroyed	48	44	7330	1760	13/15	2/2	13/15	2/2	15/15	2/2	733	176	4	15,9	10	20,7	124	16,7			1	10,9	59	17,7					4	12,10	4	19,13	6	11,10	6	19,12					13	2	1	0	15	2	58	11	0	0	0	0	3	2	2	0	1	1
9db6a45d-e76d-4fce-9965-2a9194eab18e_game_5.replay26	16	16	1000	A	titanium_collected	40	151	14070	9520	6/7	5/5	6/7	5/5	7/7	5/5	1407	952	4	11,7	136	9,7	119	9,10	117	10,8	1	6,5	9	10,10					4	4,8	6	7,12	6	4,7	8	13,9					16	14	1	1	7	5	22	82	0	0	0	0	0	6	0	1	1	1
37e4f4ee-841e-4d1d-86bf-328266efe1a0_game_1.replay26	28	20	360	B	core_destroyed	77	14	5920	2190	11/15	1/4	10/15	1/4	15/15	4/4	592	219	4	15,9	6	17,9	13	18,8	78	17,7	1	10,9	118	21,7					4	12,10	3	19,13	6	11,10	5	19,12					13	3	0	1	15	4	65	24	0	0	0	0	0	1	6	1	1	0
37e4f4ee-841e-4d1d-86bf-328266efe1a0_game_2.replay26	25	25	437	B	core_destroyed	93	61	3550	1220	6/6	1/4	6/6	1/4	6/6	4/4	355	122	27	17,4	26	7,16	137	18,4	192	3,17	1	4,18	26	20,2			10	20,4	8	1,17	6	23,7	2	4,19	8	23,6					8	7	0	1	6	4	42	52	0	0	0	1	3	0	7	0	0	1
37e4f4ee-841e-4d1d-86bf-328266efe1a0_game_3.replay26	26	26	85	B	core_destroyed	104	10	360	520	2/3	3/3	2/3	3/3	2/3	3/3	36	52	15	14,19	49	9,9	53	19,18	52	8,8	1	5,8							7	2,6	7	23,19	9	2,5	9	22,21					3	5	0	1	3	3	6	19	0	0	0	0	1	1	1	1	0	0
37e4f4ee-841e-4d1d-86bf-328266efe1a0_game_4.replay26	24	24	69	A	core_destroyed	17	7	250	190	1/2	2/4	1/2	2/4	2/2	3/4	25	19	16	14,14	26	8,8			52	5,2	1	4,6							8	0,2	9	23,21	10	1,2	11	22,21					3	4	1	0	2	4	11	14	0	0	0	0	1	1	0	0	1	0
37e4f4ee-841e-4d1d-86bf-328266efe1a0_game_5.replay26	28	20	493	B	core_destroyed	1	12	0	0	0/0	0/0	0/0	0/0	0/0	0/0	0	0	4	15,9	6	17,9	236	19,8	8	16,10	1	10,9																			3	5	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_1.replay26	14	18	177	B	core_destroyed	29	38	0	1240	0/0	5/5	0/0	5/5	0/0	5/5	0	124	2	6,8	5	8,10	23	8,11	70	8,13											3	5,16			5	6,16					0	4	0	1	0	5	0	37	0	0	0	0	0	2	0	5	0	0
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_2.replay26	24	24	879	B	core_destroyed	71	1225	7770	4550	0/25	3/5	0/25	3/5	20/25	5/5	777	455	16	14,14	17	17,17	42	18,17	48	2,7	1	4,6	12	15,13			588	14,7	8	0,2	7	23,21	10	1,2	9	20,17					17	10	0	1	25	5	98	67	0	0	0	2	0	7	0	2	1	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_3.replay26	20	26	130	B	core_destroyed	34	8	320	290	3/3	1/1	3/3	1/1	3/3	1/1	32	29	7	9,13			100	8,18	7	9,9			4	10,15					4	10,11	7	14,18	8	13,7	8	13,18					2	4	0	1	3	1	23	12	0	0	0	0	3	0	1	1	0	1
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_4.replay26	26	26	66	A	core_destroyed	56	41	660	250	6/6	3/3	6/6	2/3	6/6	3/3	66	25	21	14,19			56	18,21					10	15,16			46	10,6	4	10,6	10	24,19	6	9,6	11	16,21					3	6	1	0	6	3	16	12	0	0	0	1	2	0	1	0	0	2
01f3c8a4-5f77-4d72-9aaf-d2db3bbfbb45_game_5.replay26	10	10	44	A	core_destroyed	15	10	0	0	0/0	0/1	0/0	0/1	0/0	1/1	0	0	4	6,2	9	8,4			3	5,5											7	3,9			9	4,9					1	4	1	0	0	1	0	2	0	0	0	0	3	1	0	2	0	0
8b0bf249-a0f5-4a6e-bda5-3c1f05c4a9b7_game_1.replay26	24	24	793	B	core_destroyed	11	7	7820	0	11/21	0/4	8/21	0/4	18/21	3/4	782	0	16	14,14			398	15,18	180	2,7	1	4,6	16	17,17					8	0,2	8	13,19	10	1,2	10	14,19					15	5	0	1	21	4	67	8	0	0	0	0	0	0	7	0	1	1
8b0bf249-a0f5-4a6e-bda5-3c1f05c4a9b7_game_2.replay26	28	20	361	B	core_destroyed	5	11	860	0	1/4	0/0	1/4	0/0	4/4	0/0	86	0	7	14,9	9	17,9	142	16,10											8	12,14			10	12,13							4	5	0	1	4	0	23	0	0	0	0	0	0	2	2	0	0	0
8b0bf249-a0f5-4a6e-bda5-3c1f05c4a9b7_game_3.replay26	28	20	897	A	core_destroyed	68	6	16810	0	17/23	0/0	13/23	0/0	22/23	0/0	1681	0	4	15,9	9	17,7	79	18,9	11	17,9	1	10,9							5	11,8	8	19,13	7	10,8	10	19,12					27	4	1	0	23	0	93	6	0	0	0	0	2	1	3	2	1	0
8b0bf249-a0f5-4a6e-bda5-3c1f05c4a9b7_game_4.replay26	21	8	561	A	core_destroyed	39	7	5300	0	6/6	0/0	6/6	0/0	6/6	0/0	530	0	3	10,3	6	13,4	23	12,3											84	10,1	7	11,5	86	9,1	9	12,5					27	4	1	0	6	0	20	0	0	0	0	0	1	0	2	0	0	0
8b0bf249-a0f5-4a6e-bda5-3c1f05c4a9b7_game_5.replay26	25	25	179	B	core_destroyed	110	132	1910	2060	13/14	9/9	13/14	8/9	14/14	9/9	191	206	16	14,14	77	9,10			39	14,14			16	16,17					4	10,6	5	14,18	6	9,6	7	15,18					9	8	0	1	14	9	53	69	0	0	0	0	0	0	0	1	0	1
49f64c82-6aaa-4042-b691-784a6d35386b_game_1.replay26	28	20	107	A	core_destroyed	10	6	400	610	2/2	4/4	2/2	4/4	2/2	4/4	40	61	15	6,8	3	12,9			80	9,10			1	17,9					5	6,6	6	15,10	7	7,6	8	16,10					5	4	1	0	2	4	13	11	0	0	0	0	2	1	0	2	0	1
49f64c82-6aaa-4042-b691-784a6d35386b_game_2.replay26	16	16	427	A	core_destroyed	34	95	3680	4450	5/5	5/5	4/5	5/5	5/5	5/5	368	445	6	7,7	5	8,3	13	6,5	45	3,2	335	5,7	1	9,10					4	1,6	5	7,12	6	2,6	7	8,12					11	8	1	0	5	5	33	12	0	0	0	0	1	3	2	1	1	0
49f64c82-6aaa-4042-b691-784a6d35386b_game_3.replay26	26	26	232	A	core_destroyed	40	110	1130	2820	4/5	12/13	4/5	11/13	5/5	13/13	113	282	19	15,16	19	9,10	64	16,19	201	7,7	19	4,3							10	1,5	4	15,19	12	2,5	6	16,19					4	13	1	0	5	13	27	56	0	0	0	0	0	0	4	2	1	0
49f64c82-6aaa-4042-b691-784a6d35386b_game_4.replay26	25	15	109	A	core_destroyed	12	43	170	0	0/1	0/0	0/1	0/0	1/1	0/0	17	0	1	11,5	1	11,8			21	10,3									6	16,3			8	16,2							4	1	1	0	1	0	2	0	0	0	0	0	1	2	0	0	0	0
49f64c82-6aaa-4042-b691-784a6d35386b_game_5.replay26	25	25	287	A	core_destroyed	21	7	1110	1190	1/3	4/5	1/3	2/5	3/3	5/5	111	119	29	17,8	30	2,15	128	19,6	191	2,17	20	1,22							11	1,17	5	23,7	13	1,18	3	20,4					5	3	1	0	3	5	21	47	0	0	0	0	0	1	0	1	1	0
27077f5e-eae1-4567-b271-46774266d774_game_1.replay26	28	20	109	A	core_destroyed	22	9	170	0	1/1	0/0	1/1	0/0	1/1	0/0	17	0	7	14,10	3	12,9							1	17,9					11	13,5			13	13,6							5	2	1	0	1	0	8	0	0	0	0	0	2	3	0	0	0	1
27077f5e-eae1-4567-b271-46774266d774_game_2.replay26	26	26	362	A	core_destroyed	450	106	4330	4440	10/12	9/10	9/12	8/10	12/12	10/10	433	444	16	9,6	14	9,10	52	7,8	27	7,5	11	6,3	1	17,18					5	1,6	6	18,14	7	2,6	8	18,15					10	15	1	0	12	10	86	53	0	0	0	0	0	2	4	1	1	1
27077f5e-eae1-4567-b271-46774266d774_game_3.replay26	25	25	997	A	core_destroyed	981	0	14740	7340	19/20	2/10	11/20	2/10	18/20	10/10	1474	734	284	8,8	9	10,10	131	7,9	166	7,5	184	6,8	1	16,17					6	10,6	6	13,19	12	2,7	9	15,18					15	5	1	0	20	10	220	45	0	0	0	0	2	0	7	0	1	1
27077f5e-eae1-4567-b271-46774266d774_game_4.replay26	18	18	136	A	core_destroyed	54	11	750	0	2/3	0/0	2/3	0/0	3/3	0/0	75	0	11	5,12	6	7,10	92	11,3	19	2,13			1	12,4					3	1,17			5	1,16							5	2	1	0	3	0	24	0	0	0	0	0	3	1	1	1	0	0
27077f5e-eae1-4567-b271-46774266d774_game_5.replay26	14	18	113	A	core_destroyed	3	0	260	0	2/2	0/1	2/2	0/1	2/2	1/1	26	0	2	6,7	3	6,9			25	5,4			1	6,10					4	7,2	80	5,1	6	7,3	84	5,2					4	2	1	0	2	1	6	4	0	0	0	0	2	1	0	1	0	1
3ac043bc-e968-4370-b8d3-edb34228f31a_game_1.replay26	24	24	951	A	core_destroyed	1	0	170	9260	0/2	7/20	0/2	7/20	2/2	17/20	17	926	22	14,14	17	8,9	356	16,21	407	4,3			1	17,19					7	0,2	8	13,19	9	1,2	10	14,19					4	23	1	0	2	20	10	80	0	0	0	0	0	0	0	1	0	1
3ac043bc-e968-4370-b8d3-edb34228f31a_game_2.replay26	25	25	113	A	core_destroyed	15	11	260	300	1/2	2/3	1/2	2/3	2/2	3/3	26	30	32	17,8	23	2,15							1	19,5					6	1,17	6	23,7	8	1,18	2	20,5					4	3	1	0	2	3	10	26	0	0	0	0	1	2	0	0	0	1
3ac043bc-e968-4370-b8d3-edb34228f31a_game_3.replay26	10	10	307	A	core_destroyed	411	13	2130	0	6/6	0/0	6/6	0/0	6/6	0/0	213	0	16	2,5	5	7,3	144	5,3	27	5,3	268	2,6	1	4,5					5	6,2			10	5,2							7	1	1	0	6	0	38	0	0	0	0	0	2	0	2	0	1	0
3ac043bc-e968-4370-b8d3-edb34228f31a_game_4.replay26	21	8	655	A	core_destroyed	5075	9	7310	0	7/7	0/0	7/7	0/0	7/7	0/0	731	0	6	8,3	4	10,3	459	11,3					1	12,3					7	1,4			9	2,4							11	0	1	0	7	0	79	0	0	0	0	0	2	1	1	0	0	0
3ac043bc-e968-4370-b8d3-edb34228f31a_game_5.replay26	14	18	244	A	core_destroyed	37	16	760	140	3/5	0/0	2/5	0/0	5/5	0/0	76	14	7	4,6	3	6,9	122	8,11	23	5,4			1	6,10					6	7,2	148	3,10	85	7,3	152	4,10					5	2	1	0	5	0	36	4	0	0	0	0	0	0	0	4	0	0
0aea1f5a-de29-4287-868a-626ab4dc3b0b_game_1.replay26	10	10	247	A	core_destroyed	103	21	1530	0	6/6	0/0	5/6	0/0	6/6	0/0	153	0	18	4,3	5	7,3	114	2,5	19	2,1			1	4,5					9	6,0			12	3,5							5	1	1	0	6	0	34	0	0	0	0	0	2	0	5	0	0	0
0aea1f5a-de29-4287-868a-626ab4dc3b0b_game_2.replay26	14	18	114	A	core_destroyed	12	37	230	0	1/3	0/0	1/3	0/0	3/3	0/0	23	0	6	7,7	3	6,9			23	5,4			1	6,10					6	7,2			20	5,2							4	1	1	0	3	0	9	0	0	0	0	0	1	2	0	0	0	1
0aea1f5a-de29-4287-868a-626ab4dc3b0b_game_3.replay26	20	26	305	A	core_destroyed	11	104	40	3360	0/1	8/8	0/1	8/8	1/1	8/8	4	336	48	10,13	3	9,11			52	8,8			1	9,16					7	9,2	6	10,14	9	9,3	8	10,15					4	8	1	0	1	8	0	39	0	0	0	0	1	0	0	1	0	1
0aea1f5a-de29-4287-868a-626ab4dc3b0b_game_4.replay26	25	25	75	A	core_destroyed	45	21	610	360	4/5	2/2	4/5	2/2	5/5	2/2	61	36	19	14,14	14	6,10					8	5,3	1	16,17					4	1,7	6	13,19	6	2,7	9	15,18					5	3	1	0	5	2	20	9	0	0	0	0	1	2	0	0	1	1
0aea1f5a-de29-4287-868a-626ab4dc3b0b_game_5.replay26	25	15	93	A	core_destroyed	10	37	200	0	1/2	0/0	1/2	0/0	2/2	0/0	20	0	5	12,5	4	7,3			22	11,5			1	11,8					6	16,6			8	16,5							4	1	1	0	2	0	9	0	0	0	0	0	1	3	0	0	0	0
678576e4-f791-4af4-b4b7-64c3bbaa42dc_game_1.replay26	28	20	309	B	core_destroyed	85	1264	2440	3720	8/9	6/9	7/9	6/9	9/9	8/9	244	372	4	15,9	11	21,8	121	18,9	117	15,8	1	10,9							4	12,10	4	19,13	6	11,10	6	19,12					7	5	0	1	9	9	24	20	0	0	0	0	0	3	0	5	1	0
678576e4-f791-4af4-b4b7-64c3bbaa42dc_game_2.replay26	25	15	196	B	core_destroyed	11	24	220	910	3/4	5/5	3/4	3/5	3/4	4/5	22	91	5	12,6	5	13,9	20	11,9	132	8,4	1	11,6							140	16,6	6	16,11	142	15,6	8	16,12					2	5	0	1	4	5	11	29	0	0	0	0	1	2	1	3	0	0
678576e4-f791-4af4-b4b7-64c3bbaa42dc_game_3.replay26	25	25	432	B	core_destroyed	10	34	3280	1050	6/6	1/5	6/6	1/5	6/6	5/5	328	105	27	16,3	25	7,16	148	19,4	201	3,17	1	4,18	18	20,2			8	20,4	8	1,17	7	23,7	2	4,19	9	23,6					7	6	0	1	6	5	47	53	0	0	0	1	3	0	8	0	0	1
678576e4-f791-4af4-b4b7-64c3bbaa42dc_game_4.replay26	14	18	185	B	core_destroyed	9	18	0	850	0/0	4/5	0/0	3/5	0/0	5/5	0	85	4	6,8	3	7,10	24	5,11	156	7,9	1	6,7									4	7,15			6	7,14					1	5	0	1	0	5	0	33	0	0	0	0	0	1	2	2	0	0
678576e4-f791-4af4-b4b7-64c3bbaa42dc_game_5.replay26	16	16	79	B	core_destroyed	35	8	340	330	2/2	3/3	2/2	2/3	2/2	3/3	34	33	17	14,10	17	5,5	44	12,14			1	3,1							6	1,4	3	14,11	8	1,3	5	14,12					3	4	0	1	2	3	5	24	0	0	0	0	1	1	1	0	1	0
9182da10-c837-499b-98f6-6099528e6240_game_1.replay26	25	25	205	A	core_destroyed	35	95	1880	1440	6/7	9/10	5/7	9/10	6/7	10/10	188	144	19	14,14	14	6,10	28	16,16			152	9,6	1	16,17					6	11,5	6	13,19	8	7,7	9	15,18					8	7	1	0	7	10	42	37	0	0	0	0	0	0	4	0	1	0
9182da10-c837-499b-98f6-6099528e6240_game_2.replay26	28	20	122	A	core_destroyed	50	14	950	1320	4/4	5/6	4/4	5/6	4/4	6/6	95	132	5	10,9	3	12,9			68	9,9	55	10,12	1	17,9					5	8,13	4	15,10	7	8,12	6	16,10					5	3	1	0	4	6	21	18	0	0	0	0	2	2	0	3	1	1
9182da10-c837-499b-98f6-6099528e6240_game_3.replay26	28	20	224	A	core_destroyed	26	45	1210	1460	3/3	2/8	3/3	2/8	3/3	8/8	121	146	5	10,9	3	12,9	134	11,9	38	9,11			1	17,9					7	1,11	8	15,14	9	2,11	10	15,13					5	3	1	0	3	8	41	28	0	0	0	0	1	0	4	0	0	1
9182da10-c837-499b-98f6-6099528e6240_game_4.replay26	10	10	1000	A	titanium_collected	5550	10	8180	60	4/5	0/1	3/5	0/1	4/5	1/1	818	6	3	1,4	2	5,4			14	5,0	119	5,3	1	4,5					5	3,7	651	3,9	7	3,6	653	3,8					10	0	1	1	5	1	42	6	0	0	0	0	7	0	0	0	1	0
9182da10-c837-499b-98f6-6099528e6240_game_5.replay26	25	15	284	A	core_destroyed	42	10	1820	0	7/9	0/0	5/9	0/0	9/9	0/0	182	0	30	9,2	2	12,9	56	9,3	19	10,2	114	7,4	1	11,8					7	7,6			9	8,6							6	2	1	0	9	0	60	0	0	0	0	0	2	0	2	0	1	0
