file	match	game	us_side	our_won	ourver	oppver	completedAt	game_winner_side
ebd900b1-2dd7-4178-a3a6-42ddae660958_game_1.replay26	ebd900b1-2dd7-4178-a3a6-42ddae660958	1	b	1	71	41	2026-08-07T23:37:07.977Z	b
ebd900b1-2dd7-4178-a3a6-42ddae660958_game_2.replay26	ebd900b1-2dd7-4178-a3a6-42ddae660958	2	b	1	71	41	2026-08-07T23:37:07.977Z	b
ebd900b1-2dd7-4178-a3a6-42ddae660958_game_3.replay26	ebd900b1-2dd7-4178-a3a6-42ddae660958	3	b	0	71	41	2026-08-07T23:37:07.977Z	a
ebd900b1-2dd7-4178-a3a6-42ddae660958_game_4.replay26	ebd900b1-2dd7-4178-a3a6-42ddae660958	4	b	1	71	41	2026-08-07T23:37:07.977Z	b
ebd900b1-2dd7-4178-a3a6-42ddae660958_game_5.replay26	ebd900b1-2dd7-4178-a3a6-42ddae660958	5	b	1	71	41	2026-08-07T23:37:07.977Z	b
86e91e86-1608-43b2-8b79-5bc4b7027014_game_1.replay26	86e91e86-1608-43b2-8b79-5bc4b7027014	1	a	1	72	41	2026-08-08T01:45:03.112Z	a
86e91e86-1608-43b2-8b79-5bc4b7027014_game_2.replay26	86e91e86-1608-43b2-8b79-5bc4b7027014	2	a	1	72	41	2026-08-08T01:45:03.112Z	a
86e91e86-1608-43b2-8b79-5bc4b7027014_game_3.replay26	86e91e86-1608-43b2-8b79-5bc4b7027014	3	a	1	72	41	2026-08-08T01:45:03.112Z	a
86e91e86-1608-43b2-8b79-5bc4b7027014_game_4.replay26	86e91e86-1608-43b2-8b79-5bc4b7027014	4	a	1	72	41	2026-08-08T01:45:03.112Z	a
86e91e86-1608-43b2-8b79-5bc4b7027014_game_5.replay26	86e91e86-1608-43b2-8b79-5bc4b7027014	5	a	1	72	41	2026-08-08T01:45:03.112Z	a
41f6513a-66b7-4837-94d5-b8876e301756_game_1.replay26	41f6513a-66b7-4837-94d5-b8876e301756	1	b	1	73	41	2026-08-08T05:14:49.308Z	b
