file	map_w	map_h	rounds	winner	win_condition	a_titanium	b_titanium	a_ti_collected	b_ti_collected	a_chain	b_chain	a_chain_dir	b_chain_dir	a_shipped	b_shipped	a_core_deliv	b_core_deliv	a_sentinel_r	a_sentinel_at	b_sentinel_r	b_sentinel_at	a_gunner_r	a_gunner_at	b_gunner_r	b_gunner_at	a_launcher_r	a_launcher_at	b_launcher_r	b_launcher_at	a_barrier_r	a_barrier_at	b_barrier_r	b_barrier_at	a_harvester_r	a_harvester_at	b_harvester_r	b_harvester_at	a_conveyor_r	a_conveyor_at	b_conveyor_r	b_conveyor_at	a_splitter_r	a_splitter_at	b_splitter_r	b_splitter_at	a_n_builder_bot	b_n_builder_bot	a_n_core	b_n_core	a_n_harvester	b_n_harvester	a_n_conveyor	b_n_conveyor	a_n_splitter	b_n_splitter	a_n_barrier	b_n_barrier	a_n_sentinel	b_n_sentinel	a_n_gunner	b_n_gunner	a_n_launcher	b_n_launcher
b9a1e632-ee17-4937-ab05-76898464f9f7_game_1.replay26	20	26	120	A	core_destroyed	10	21	270	280	1/1	1/1	1/1	1/1	1/1	1/1	27	28	8	10,15	7	10,12					1	8,5							9	9,2	5	14,18	3	9,5	7	13,18					4	4	1	0	1	1	3	3	0	0	0	0	2	3	0	0	1	0
b9a1e632-ee17-4937-ab05-76898464f9f7_game_2.replay26	25	15	109	B	core_destroyed	0	18	0	480	0/0	2/3	0/0	2/3	0/0	3/3	0	48			1	12,9	21	11,7			1	10,2									5	16,11	20	13,3	7	16,12					4	4	0	1	0	3	6	22	0	0	0	0	0	1	1	0	1	0
b9a1e632-ee17-4937-ab05-76898464f9f7_game_3.replay26	28	20	144	B	core_destroyed	90	22	100	590	1/1	2/3	0/1	2/3	1/1	3/3	10	59	8	16,9	8	18,9			121	11,10	1	6,8			20	18,11			72	2,16	10	26,11	6	7,8	12	25,11					4	5	0	1	1	3	17	23	0	0	1	0	0	3	0	1	1	0
b9a1e632-ee17-4937-ab05-76898464f9f7_game_4.replay26	10	10	1000	B	titanium_collected	14	18	0	4940	0/0	2/2	0/0	2/2	0/0	2/2	0	494			1	5,6	14	4,4			1	1,1									8	3,7			10	8,4					5	5	1	1	0	2	0	10	0	0	0	0	0	1	0	0	1	0
b9a1e632-ee17-4937-ab05-76898464f9f7_game_5.replay26	14	18	1000	B	titanium_collected	3875	31	4500	4960	2/2	2/3	2/2	2/3	2/2	3/3	450	496			5	8,11	3	6,9	175	7,8	1	5,3	115	6,10					7	7,2	2	7,15	3	6,3	4	7,14					5	6	1	1	2	3	10	75	0	0	0	0	0	2	0	1	1	1
565e223f-41ea-44bd-a843-1f4d55627c7a_game_1.replay26	24	24	91	B	core_destroyed	0	8	190	520	1/1	3/4	1/1	3/4	1/1	3/4	19	52	46	15,18	30	8,8			54	2,7			18	20,18					12	0,2	8	23,21	2	4,3	10	22,21					4	5	0	1	1	4	5	28	0	0	0	0	2	1	0	1	0	1
565e223f-41ea-44bd-a843-1f4d55627c7a_game_2.replay26	20	26	113	B	core_destroyed	0	10	250	250	1/1	1/1	1/1	1/1	1/1	1/1	25	25	7	9,15	8	8,16					1	8,5			21	12,17			9	9,2	8	14,18	3	9,5	12	13,18					3	5	0	1	1	1	3	3	0	0	1	0	1	3	0	0	1	0
565e223f-41ea-44bd-a843-1f4d55627c7a_game_3.replay26	26	26	69	B	core_destroyed	0	31	250	580	2/2	6/6	2/2	5/6	2/2	6/6	25	58	29	17,17	36	9,9			43	8,8	10	4,3	27	19,21					8	4,2	7	23,17	2	5,4	9	22,17					5	5	0	1	2	6	9	20	0	0	0	0	2	1	0	2	1	1
565e223f-41ea-44bd-a843-1f4d55627c7a_game_4.replay26	25	25	100	B	core_destroyed	10	21	180	550	1/1	3/3	1/1	2/3	1/1	3/3	18	55	20	16,16	19	10,10			48	8,8	1	4,4	13	20,18	22	17,16			21	11,5	11	14,18	3	5,4	13	15,18					3	4	0	1	1	3	9	31	0	0	1	0	2	1	0	1	1	1
565e223f-41ea-44bd-a843-1f4d55627c7a_game_5.replay26	28	20	144	B	core_destroyed	700	22	710	310	3/3	1/2	3/3	1/2	3/3	2/2	71	31	10	16,9	8	18,9					1	6,8			11	17,8			52	2,16	9	14,5	6	7,8	11	14,6					4	5	0	1	3	2	35	22	0	0	1	0	0	2	0	0	1	0
f62d1798-9778-4fbf-98ea-7d6226486469_game_1.replay26	24	24	94	B	core_destroyed	0	19	190	470	1/1	3/3	1/1	3/3	1/1	3/3	19	47	36	18,15	24	8,8			68	7,2			26	17,17					12	0,2	10	23,21	2	4,3	12	22,21					5	4	0	1	1	3	5	25	0	0	0	0	2	1	0	1	0	1
f62d1798-9778-4fbf-98ea-7d6226486469_game_2.replay26	16	16	109	B	core_destroyed	0	21	140	500	0/1	2/3	0/1	2/3	1/1	3/3	14	50	22	12,12	16	5,5			25	3,3	9	1,2	22	15,13	29	13,13			8	1,4	6	10,15	2	0,2	8	11,15					4	5	0	1	1	3	2	32	0	0	1	0	1	1	0	1	1	1
f62d1798-9778-4fbf-98ea-7d6226486469_game_3.replay26	26	26	97	B	core_destroyed	0	29	390	680	2/2	4/5	2/2	3/5	2/2	5/5	39	68	29	17,17	29	20,16			57	8,8	10	4,3	25	20,18					8	4,2	7	23,19	2	5,4	9	23,20					5	5	0	1	2	5	9	19	0	0	0	0	2	2	0	1	1	1
f62d1798-9778-4fbf-98ea-7d6226486469_game_4.replay26	26	26	94	B	core_destroyed	0	10	180	400	1/1	2/3	1/1	2/3	1/1	3/3	18	40	25	19,16	20	9,10					1	4,4			84	19,17			17	1,5	6	22,23	3	5,4	8	22,22					4	5	0	1	1	3	7	19	0	0	1	0	1	1	0	0	1	0
f62d1798-9778-4fbf-98ea-7d6226486469_game_5.replay26	10	10	134	A	core_destroyed	40	10	520	0	2/2	0/0	2/2	0/0	2/2	0/0	52	0			6	4,6	4	6,4			1	1,1					84	5,5	19	6,0			3	2,1							3	4	1	0	2	0	7	0	0	0	0	0	0	3	2	0	1	0
167f3c58-c478-4962-adb1-e48455103776_game_1.replay26	25	15	91	A	core_destroyed	25	0	510	0	3/3	0/0	3/3	0/0	3/3	0/0	51	0	3	11,5					26	10,3			10	13,9					9	16,6			11	16,5	2	11,9					5	5	1	0	3	0	37	4	0	0	0	0	1	0	0	1	0	2
167f3c58-c478-4962-adb1-e48455103776_game_2.replay26	26	26	143	A	core_destroyed	16	0	810	80	4/5	0/1	2/5	0/1	4/5	1/1	81	8	65	15,16	16	7,8	17	7,6			10	6,3	1	18,18			18	6,8	5	1,6	33	15,19	7	2,6	3	19,18					5	3	1	0	5	1	27	13	0	0	0	0	1	1	1	0	1	1
