game	map	round	frm	to	cls	throw_dsq_from_core
v513_log-atoll-s2-A	atoll	29	15,6	14,0	OFF_RING	9
v513_log-atoll-s2-A	atoll	35	16,4	16,10	ON_CORNER	2
v513_log-atoll-s2-A	atoll	37	14,6	15,0	OFF_RING	9
v513_log-atoll-s2-A	atoll	42	16,4	16,10	ON_CORNER	2
v513_log-atoll-s2-A	atoll	43	16,6	10,5	OFF_RING	10
v513_log-atoll-s2-A	atoll	47	14,5	16,10	OFF_RING	4
v513_log-atoll-s2-A	atoll	48	14,6	14,0	OFF_RING	9
v513_log-atoll-s2-A	atoll	51	16,6	10,5	OFF_RING	10
v513_log-atoll-s2-A	atoll	55	14,5	16,10	OFF_RING	4
v513_log-atoll-s2-A	atoll	57	16,4	16,10	ON_CORNER	2
v513_log-atoll-s2-A	atoll	60	15,6	15,0	OFF_RING	9
v513_log-atoll-s2-A	atoll	62	15,6	16,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	67	15,6	15,0	OFF_RING	9
v513_log-atoll-s2-A	atoll	73	16,5	10,5	OFF_RING	5
v513_log-atoll-s2-A	atoll	76	14,6	14,0	OFF_RING	9
v513_log-atoll-s2-A	atoll	77	14,5	16,10	OFF_RING	4
v513_log-atoll-s2-A	atoll	80	14,4	16,10	ON_SEAT	1
v513_log-atoll-s2-A	atoll	85	15,6	15,0	OFF_RING	9
v513_log-atoll-s2-A	atoll	86	16,4	16,10	ON_CORNER	2
v513_log-atoll-s2-A	atoll	91	15,6	15,0	OFF_RING	9
v513_log-atoll-s2-A	atoll	93	16,4	16,10	ON_CORNER	2
v513_log-atoll-s2-A	atoll	96	14,4	16,10	ON_SEAT	1
v513_log-atoll-s2-A	atoll	98	15,6	14,0	OFF_RING	9
v513_log-atoll-s2-A	atoll	100	16,4	14,10	ON_CORNER	2
v513_log-atoll-s2-A	atoll	104	14,6	14,0	OFF_RING	9
v513_log-atoll-s2-A	atoll	109	14,4	14,10	ON_SEAT	1
v513_log-atoll-s2-A	atoll	113	14,6	15,0	OFF_RING	9
v513_log-atoll-s2-A	atoll	115	14,4	14,10	ON_SEAT	1
v513_log-atoll-s2-A	atoll	119	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	123	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	127	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	131	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	135	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	139	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	143	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	147	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	151	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	155	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	156	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	160	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	164	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	168	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	172	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-A	atoll	176	14,6	14,10	OFF_RING	9
v513_log-atoll-s2-B	atoll	140	1,16	0,11	ON_CORNER	2
v513_log-atoll-s2-B	atoll	169	1,16	0,11	ON_CORNER	2
v513_log-atoll-s2-B	atoll	381	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	385	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	389	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	393	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	397	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	401	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	405	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	409	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	413	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	417	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	421	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	425	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	429	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	433	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	437	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	441	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	445	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	449	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	453	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	457	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	461	1,16	0,11	ON_CORNER	2
v513_log-atoll-s2-B	atoll	462	1,15	0,11	ON_SEAT	1
v513_log-atoll-s2-B	atoll	466	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	470	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	474	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	478	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	482	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	486	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	490	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	494	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	498	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	501	5,12	10,12	OFF_RING	5
v513_log-atoll-s2-B	atoll	502	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	502	6,13	0,12	OFF_RING	10
v513_log-atoll-s2-B	atoll	508	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	512	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	516	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	520	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	524	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	528	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	532	1,16	0,11	ON_CORNER	2
v513_log-atoll-s2-B	atoll	533	1,15	0,11	ON_SEAT	1
v513_log-atoll-s2-B	atoll	536	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	540	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	544	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	548	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	560	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	564	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	568	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	572	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	576	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	577	1,16	0,11	ON_CORNER	2
v513_log-atoll-s2-B	atoll	580	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	584	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	588	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	592	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	596	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	599	1,16	0,11	ON_CORNER	2
v513_log-atoll-s2-B	atoll	600	0,15	1,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	604	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	608	0,15	0,11	OFF_RING	1
