game	map	tile	osr	notbuildable	b_noadj	b_adj_nofund	b_adj_fund	b_adj_fund_gateopen
v513_log-drakkarfjord-s3-A	drakkarfjord	26,3	21	0	20	0	1	1
v513_log-drakkarfjord-s3-A	drakkarfjord	27,3	23	0	22	0	1	1
v513_log-drakkarfjord-s3-A	drakkarfjord	28,4	26	0	25	0	1	1
v513_log-drakkarfjord-s3-A	drakkarfjord	28,5	30	0	29	0	1	1
v513_log-drakkarfjord-s3-A	drakkarfjord	27,6	33	0	32	0	1	1
v513_log-drakkarfjord-s3-A	drakkarfjord	26,6	77	58	18	0	1	1
v513_log-drakkarfjord-s3-A	drakkarfjord	25,5	19	0	15	0	4	2
v513_log-drakkarfjord-s3-A	drakkarfjord	25,4	61	0	55	0	6	2
v513_log-drakkarfjord-s3-B	drakkarfjord	2,23	83	0	71	0	12	5
v513_log-drakkarfjord-s3-B	drakkarfjord	3,23	11	0	10	0	1	0
v513_log-drakkarfjord-s3-B	drakkarfjord	4,24	1	0	0	0	1	1
v513_log-drakkarfjord-s3-B	drakkarfjord	4,25	67	46	16	2	3	1
v513_log-drakkarfjord-s3-B	drakkarfjord	3,26	4	0	2	0	2	2
v513_log-drakkarfjord-s3-B	drakkarfjord	2,26	23	0	22	0	1	0
v513_log-drakkarfjord-s3-B	drakkarfjord	1,25	26	0	25	0	1	1
v513_log-drakkarfjord-s3-B	drakkarfjord	1,24	30	0	29	0	1	1
v513_log-glacierkeep-s1-A	glacierkeep	14,25	13	0	12	0	1	1
v513_log-glacierkeep-s1-A	glacierkeep	15,25	9	0	8	0	1	1
v513_log-glacierkeep-s1-A	glacierkeep	16,26	6	0	5	0	1	1
v513_log-glacierkeep-s1-A	glacierkeep	16,27	1	0	0	0	1	1
v513_log-glacierkeep-s1-A	glacierkeep	15,28	2	0	0	0	2	2
v513_log-glacierkeep-s1-A	glacierkeep	14,28	49	0	49	0	0	0
v513_log-glacierkeep-s1-A	glacierkeep	13,27	49	0	49	0	0	0
v513_log-glacierkeep-s1-A	glacierkeep	13,26	49	0	49	0	0	0
v513_log-glacierkeep-s1-B	glacierkeep	14,1	68	0	65	0	3	3
v513_log-glacierkeep-s1-B	glacierkeep	15,1	15	0	11	0	4	2
v513_log-glacierkeep-s1-B	glacierkeep	16,2	2	0	0	0	2	2
v513_log-glacierkeep-s1-B	glacierkeep	16,3	14	0	13	0	1	0
v513_log-glacierkeep-s1-B	glacierkeep	15,4	17	0	16	0	1	0
v513_log-glacierkeep-s1-B	glacierkeep	14,4	21	0	20	0	1	0
v513_log-glacierkeep-s1-B	glacierkeep	13,3	24	0	23	0	1	0
v513_log-glacierkeep-s1-B	glacierkeep	13,2	28	0	27	0	1	1
v513_log-glacierkeep-s2-A	glacierkeep	14,25	13	0	12	0	1	1
v513_log-glacierkeep-s2-A	glacierkeep	15,25	9	0	8	0	1	1
v513_log-glacierkeep-s2-A	glacierkeep	16,26	6	0	5	0	1	1
v513_log-glacierkeep-s2-A	glacierkeep	16,27	1	0	0	0	1	1
v513_log-glacierkeep-s2-A	glacierkeep	15,28	2	0	0	0	2	2
v513_log-glacierkeep-s2-A	glacierkeep	14,28	36	0	34	2	0	0
v513_log-glacierkeep-s2-A	glacierkeep	13,27	32	1	28	2	1	0
v513_log-glacierkeep-s2-A	glacierkeep	13,26	28	1	26	0	1	0
v513_log-glacierkeep-s2-B	glacierkeep	14,1	12	3	8	0	1	1
v513_log-glacierkeep-s2-B	glacierkeep	15,1	42	4	35	0	3	3
v513_log-glacierkeep-s2-B	glacierkeep	16,2	2	0	0	0	2	2
v513_log-glacierkeep-s2-B	glacierkeep	16,3	36	0	35	0	1	0
v513_log-glacierkeep-s2-B	glacierkeep	15,4	34	0	33	1	0	0
v513_log-glacierkeep-s2-B	glacierkeep	14,4	30	0	29	1	0	0
v513_log-glacierkeep-s2-B	glacierkeep	13,3	27	0	26	0	1	0
