game	map	seat	seed	ring_rounds	open_seat_rounds	min_orth	close_r	orth_rises	orth_falls	our_seat_bldg_lost	seals	clears	evicts	evictors	throws	1_enemy_bldg	2_enemy_body	3_our_bldg	4_starved	5_gated	6_reachable	m_enemy_bldg	m_enemy_body	m_our_bldg	m_starved	m_gated	m_reachable
v513_log-atoll-s1-A	atoll	A	1	142	674	1	-1	0	7	1	8	50	8	3	2	229	3	0	6	112	324	229	3	0	8	156	324
v513_log-atoll-s1-B	atoll	B	1	99	465	4	-1	0	4	0	5	4	49	1	4	286	16	0	9	99	55	286	16	0	40	366	55
v513_log-atoll-s2-A	atoll	A	2	223	649	1	-1	7	14	9	10	42	51	2	2	162	29	0	6	122	330	162	29	0	9	199	330
v513_log-atoll-s2-B	atoll	B	2	270	812	2	-1	13	15	14	17	30	104	1	27	464	17	0	12	90	229	464	17	0	24	215	229
v513_log-atoll-s3-A	atoll	A	3	195	827	2	-1	34	37	33	28	8	6	3	3	423	61	0	9	143	191	423	61	0	21	486	191
v513_log-atoll-s3-B	atoll	B	3	80	417	3	-1	3	6	2	9	29	10	4	6	220	14	0	0	10	173	220	14	0	0	23	173
v513_log-drakkarfjord-s1-A	drakkarfjord	A	1	215	742	2	-1	31	34	33	63	43	0	0	17	383	0	0	0	120	239	383	0	0	0	184	239
v513_log-drakkarfjord-s1-B	drakkarfjord	B	1	108	231	0	93	4	10	2	10	0	0	0	5	0	4	0	3	114	110	0	4	0	3	117	110
v513_log-drakkarfjord-s2-A	drakkarfjord	A	2	158	256	0	91	7	14	7	20	12	0	0	5	58	0	0	0	81	117	58	0	0	0	85	117
v513_log-drakkarfjord-s2-B	drakkarfjord	B	2	118	219	0	47	11	17	10	18	8	0	0	5	0	0	0	20	94	105	0	0	0	20	114	105
v513_log-drakkarfjord-s3-A	drakkarfjord	A	3	204	290	0	95	9	16	8	29	20	0	0	5	58	0	0	6	106	120	58	0	0	9	143	120
v513_log-drakkarfjord-s3-B	drakkarfjord	B	3	162	245	0	47	16	22	16	24	10	0	0	5	0	46	0	20	115	64	0	46	0	20	181	64
v513_log-glacierkeep-s1-A	glacierkeep	A	1	49	178	3	-1	0	5	0	6	0	0	0	4	0	0	0	6	78	94	0	0	0	6	84	94
v513_log-glacierkeep-s1-B	glacierkeep	B	1	180	189	0	45	6	13	7	21	0	0	0	4	0	0	0	0	94	95	0	0	0	0	94	95
v513_log-glacierkeep-s2-A	glacierkeep	A	2	250	127	0	45	0	8	0	33	0	0	0	4	0	2	0	7	41	77	0	2	0	7	48	77
v513_log-glacierkeep-s2-B	glacierkeep	B	2	112	208	0	55	1	9	6	13	0	0	0	4	0	9	0	15	53	131	0	9	0	15	68	131
v513_log-glacierkeep-s3-A	glacierkeep	A	3	164	159	0	56	0	8	0	5	19	0	0	4	0	4	0	0	63	92	0	4	0	0	63	92
v513_log-glacierkeep-s3-B	glacierkeep	B	3	991	1921	0	49	3	9	4	14	0	0	0	4	0	321	0	61	929	610	0	321	0	61	1309	610
v513_log-midgard-s1-A	midgard	A	1	120	874	6	-1	2	2	2	1	8	3	0	8	351	2	0	48	393	80	351	2	0	82	743	80
v513_log-midgard-s1-B	midgard	B	1	12	35	2	-1	0	1	0	1	8	2	0	6	34	0	0	0	0	1	34	0	0	0	0	1
v513_log-midgard-s2-A	midgard	A	2	217	343	1	-1	1	7	0	6	14	0	0	11	217	0	0	0	7	119	217	0	0	0	29	119
v513_log-midgard-s2-B	midgard	B	2	38	304	8	-1	0	0	0	0	0	2	0	8	152	13	0	0	139	0	152	13	0	0	304	0
v513_log-midgard-s3-A	midgard	A	3	265	1574	4	-1	4	6	5	6	8	14	2	17	781	263	0	3	174	353	781	263	0	6	530	353
v513_log-midgard-s3-B	midgard	B	3	23	138	6	-1	0	0	0	0	16	2	0	9	69	0	0	0	3	66	69	0	0	0	6	66
v513_log-nordkap-s1-A	nordkap	A	1	119	626	1	-1	13	14	12	15	30	0	0	3	239	55	0	1	115	216	239	55	0	3	204	216
v513_log-nordkap-s1-B	nordkap	B	1	604	177	0	69	2	10	2	7	20	9	1	2	80	10	0	8	36	43	80	10	0	18	78	43
v513_log-nordkap-s2-A	nordkap	A	2	307	801	2	-1	2	7	0	3	34	0	0	2	324	4	0	8	319	146	324	4	0	11	583	146
v513_log-nordkap-s2-B	nordkap	B	2	136	100	0	27	2	9	1	8	0	11	2	2	0	7	0	0	21	72	0	7	0	0	21	72
v513_log-nordkap-s3-A	nordkap	A	3	343	1227	3	-1	3	7	1	5	38	0	0	2	835	8	0	39	261	84	835	8	0	132	998	84
v513_log-nordkap-s3-B	nordkap	B	3	337	650	0	100	7	13	7	9	14	0	0	2	132	138	0	25	206	149	132	138	0	29	501	149
