game	map	dl_rounds	agree	disagree	agree_pct
v513_log-atoll-s1-A	atoll	142	137	5	96.5
v513_log-atoll-s1-B	atoll	99	98	1	99.0
v513_log-atoll-s2-A	atoll	223	221	2	99.1
v513_log-atoll-s2-B	atoll	270	253	17	93.7
v513_log-atoll-s3-A	atoll	195	174	21	89.2
v513_log-atoll-s3-B	atoll	80	77	3	96.2
v513_log-drakkarfjord-s1-A	drakkarfjord	215	176	39	81.9
v513_log-drakkarfjord-s1-B	drakkarfjord	108	88	20	81.5
v513_log-drakkarfjord-s2-A	drakkarfjord	158	140	18	88.6
v513_log-drakkarfjord-s2-B	drakkarfjord	118	117	1	99.2
v513_log-drakkarfjord-s3-A	drakkarfjord	204	171	33	83.8
v513_log-drakkarfjord-s3-B	drakkarfjord	162	105	57	64.8
v513_log-glacierkeep-s1-A	glacierkeep	49	39	10	79.6
v513_log-glacierkeep-s1-B	glacierkeep	180	126	54	70.0
v513_log-glacierkeep-s2-A	glacierkeep	250	208	42	83.2
v513_log-glacierkeep-s2-B	glacierkeep	112	100	12	89.3
v513_log-glacierkeep-s3-A	glacierkeep	164	161	3	98.2
v513_log-glacierkeep-s3-B	glacierkeep	991	518	473	52.3
v513_log-midgard-s1-A	midgard	120	119	1	99.2
v513_log-midgard-s1-B	midgard	12	12	0	100.0
v513_log-midgard-s2-A	midgard	217	203	14	93.5
v513_log-midgard-s2-B	midgard	38	38	0	100.0
v513_log-midgard-s3-A	midgard	265	256	9	96.6
v513_log-midgard-s3-B	midgard	23	23	0	100.0
v513_log-nordkap-s1-A	nordkap	119	100	19	84.0
v513_log-nordkap-s1-B	nordkap	604	315	289	52.2
v513_log-nordkap-s2-A	nordkap	307	307	0	100.0
v513_log-nordkap-s2-B	nordkap	136	37	99	27.2
v513_log-nordkap-s3-A	nordkap	343	336	7	98.0
v513_log-nordkap-s3-B	nordkap	337	167	170	49.6
