game	map	seat	tile	ring_rounds	D	d_body	E	b	o	empty	ever_denied	dominant	enemy_kinds	enemy_bldg_predates_arrival
v513_log-atoll-s2-B	atoll	B	3,13	270	266	0	1	0	0	3	1	D	conveyor:1	0
v513_log-atoll-s2-B	atoll	B	4,14	270	84	1	167	2	0	16	1	E	sentinel:166,gunner:1	0
v513_log-atoll-s2-B	atoll	B	4,15	270	164	1	0	6	0	99	1	D	-	0
v513_log-atoll-s2-B	atoll	B	3,16	270	0	0	268	0	0	2	0	E	conveyor:268	0
v513_log-atoll-s2-B	atoll	B	2,16	270	104	0	0	5	0	161	1	.	-	0
v513_log-atoll-s2-B	atoll	B	1,15	270	204	0	28	1	0	37	1	D	conveyor:28	0
v513_log-atoll-s2-B	atoll	B	1,14	270	259	0	0	3	0	8	1	D	-	0
v513_log-atoll-s3-A	atoll	A	14,1	195	42	0	91	44	0	18	1	E	conveyor:91	0
v513_log-atoll-s3-A	atoll	A	15,1	195	0	0	182	3	0	10	0	E	conveyor:182	0
v513_log-atoll-s3-A	atoll	A	16,2	195	67	0	0	2	0	126	1	.	-	0
v513_log-atoll-s3-A	atoll	A	16,3	195	175	0	0	3	0	17	1	D	-	0
v513_log-atoll-s3-A	atoll	A	15,4	195	189	0	0	1	0	5	1	D	-	0
v513_log-atoll-s3-A	atoll	A	14,4	195	15	0	150	1	0	29	1	E	conveyor:150	0
v513_log-atoll-s3-A	atoll	A	13,3	195	110	6	0	3	0	76	1	D	-	0
v513_log-atoll-s3-A	atoll	A	13,2	195	129	0	0	4	0	62	1	D	-	0
v513_log-atoll-s3-B	atoll	B	2,13	80	74	0	0	1	0	5	1	D	-	0
v513_log-atoll-s3-B	atoll	B	3,13	80	76	0	0	0	0	4	1	D	-	0
v513_log-atoll-s3-B	atoll	B	4,14	80	0	0	78	1	0	1	0	E	sentinel:78	0
v513_log-atoll-s3-B	atoll	B	4,15	80	45	0	0	5	0	30	1	D	-	0
v513_log-atoll-s3-B	atoll	B	3,16	80	1	0	64	0	0	15	1	E	conveyor:64	64
v513_log-atoll-s3-B	atoll	B	2,16	80	15	0	0	3	0	62	1	.	-	0
v513_log-atoll-s3-B	atoll	B	1,15	80	0	0	78	1	0	1	0	E	conveyor:78	0
v513_log-atoll-s3-B	atoll	B	1,14	80	0	12	0	3	0	65	1	.	-	0
v513_log-drakkarfjord-s1-A	drakkarfjord	A	26,3	215	86	0	8	0	0	121	1	.	conveyor:8	0
v513_log-drakkarfjord-s1-A	drakkarfjord	A	27,3	215	192	0	0	0	0	23	1	D	-	0
v513_log-drakkarfjord-s1-A	drakkarfjord	A	28,4	215	189	0	0	0	0	26	1	D	-	0
