arm	map	seed	seat	ok	winner	turns	cond	treat_won
flagoff	antler	524500	B	True	A	191	core_destroyed	False
v522	antler	524500	A	True	A	185	core_destroyed	True
flagoff	antler	524500	A	True	A	573	core_destroyed	True
v522	antler	524501	A	True	A	151	core_destroyed	True
v522	antler	524500	B	True	A	820	core_destroyed	False
flagoff	antler	524501	A	True	A	284	core_destroyed	True
flagoff	antler	524502	A	True	A	153	core_destroyed	True
v522	antler	524501	B	True	A	638	core_destroyed	False
flagoff	antler	524501	B	True	A	560	core_destroyed	False
v522	antler	524502	A	True	A	217	core_destroyed	True
flagoff	antler	524502	B	True	B	1000	harvesters	True
v522	antler	524502	B	True	A	1000	titanium_stored	False
flagoff	archipelago	524503	A	True	A	580	core_destroyed	True
v522	archipelago	524503	A	True	A	1000	titanium_collected	True
v522	archipelago	524503	B	True	A	245	core_destroyed	False
flagoff	archipelago	524503	B	True	A	342	core_destroyed	False
v522	archipelago	524504	A	True	B	189	core_destroyed	False
flagoff	archipelago	524504	A	True	B	302	core_destroyed	False
flagoff	archipelago	524504	B	True	A	156	core_destroyed	False
v522	archipelago	524504	B	True	A	153	core_destroyed	False
flagoff	archipelago	524505	A	True	A	353	core_destroyed	True
v522	archipelago	524505	A	True	B	525	core_destroyed	False
v522	archipelago	524505	B	True	B	234	core_destroyed	True
flagoff	archipelago	524505	B	True	A	367	core_destroyed	False
flagoff	auroraveil	524506	B	True	B	316	core_destroyed	True
v522	auroraveil	524506	B	True	B	170	core_destroyed	True
flagoff	auroraveil	524506	A	True	A	697	core_destroyed	True
v522	auroraveil	524506	A	True	A	1000	titanium_collected	True
v522	auroraveil	524507	A	True	A	237	core_destroyed	True
flagoff	auroraveil	524507	A	True	A	897	core_destroyed	True
flagoff	auroraveil	524507	B	True	B	199	core_destroyed	True
v522	auroraveil	524507	B	True	A	537	core_destroyed	False
flagoff	auroraveil	524508	B	True	B	191	core_destroyed	True
v522	auroraveil	524508	A	True	A	416	core_destroyed	True
flagoff	auroraveil	524508	A	True	A	876	core_destroyed	True
flagoff	drakkarfjord	524509	A	True	B	196	core_destroyed	False
v522	auroraveil	524508	B	True	A	734	core_destroyed	False
v522	drakkarfjord	524509	A	True	A	95	core_destroyed	True
flagoff	drakkarfjord	524509	B	True	B	140	core_destroyed	True
v522	drakkarfjord	524509	B	True	B	124	core_destroyed	True
flagoff	drakkarfjord	524510	A	True	A	105	core_destroyed	True
v522	drakkarfjord	524510	A	True	A	121	core_destroyed	True
