game	outcome	cond	end_r	b1_spawn	b1_ring	b1_adj	b1_last	b1_alive10	b1_throws	b1_repl	b2_spawn	b2_ring	b2_adj	b2_last	b2_alive10	b2_throws	b2_repl	gap	links	link2	link_ti	scale_lo	scale_hi	muster
atoll-s1-A	loss	core_destroyed	813	1	7	-1	21	1	2	8	2	8	15	93	1	2	1	1	23	2	1281	197	345	8
atoll-s1-B	loss	core_destroyed	194	1	7	96	114	1	2	0	2	8	14	25	1	2	0	1	2	2	75	197	207	2
atoll-s2-A	loss	core_destroyed	760	1	7	-1	71	1	2	1	2	8	13	102	1	2	0	1	3	2	129	197	284	2
atoll-s2-B	win	core_destroyed	157	1	10	13	156	1	2	0	2	8	18	156	1	2	0	-2	3	2	114	197	207	2
atoll-s3-A	loss	core_destroyed	388	1	7	-1	99	1	2	0	2	8	-1	22	1	2	0	1	2	2	75	197	207	2
atoll-s3-B	win	core_destroyed	101	1	7	-1	26	1	2	0	2	8	32	100	1	2	0	1	2	2	75	197	207	2
drakkarfjord-s1-A	win	core_destroyed	276	1	13	13	92	1	5	1	2	14	14	98	1	5	0	1	8	5	398	190	363	2
drakkarfjord-s1-B	win	core_destroyed	245	1	13	13	244	1	5	0	2	14	14	196	1	5	0	1	5	5	188	190	200	2
drakkarfjord-s2-A	win	core_destroyed	738	1	13	13	76	1	5	6	2	14	14	44	1	5	0	1	23	5	1579	190	415	2
drakkarfjord-s2-B	loss	core_destroyed	233	1	13	13	86	1	5	0	2	14	14	177	1	5	0	1	5	5	188	190	200	2
drakkarfjord-s3-A	loss	r1000	1000	1	13	13	76	1	5	4	2	14	14	44	1	5	0	1	18	5	1178	190	402	2
drakkarfjord-s3-B	loss	core_destroyed	596	1	13	13	135	1	5	1	2	14	14	171	1	5	0	1	8	5	361	190	307	2
glacierkeep-s1-A	win	core_destroyed	197	1	11	-1	196	1	4	0	2	12	12	196	1	4	0	1	4	4	150	190	200	2
glacierkeep-s1-B	win	core_destroyed	221	1	11	86	220	1	4	0	2	12	12	220	1	4	0	1	4	4	150	190	200	2
glacierkeep-s2-A	win	core_destroyed	165	1	11	-1	164	1	4	0	2	12	12	164	1	4	0	1	4	4	150	190	200	2
glacierkeep-s2-B	win	r1000	1000	1	11	-1	999	1	4	0	2	12	12	21	0	4	0	1	4	4	150	190	200	2
glacierkeep-s3-A	win	core_destroyed	193	1	11	-1	192	1	4	0	2	12	12	192	1	4	0	1	4	4	150	190	200	2
glacierkeep-s3-B	win	core_destroyed	108	1	11	20	107	1	4	0	2	12	12	107	1	4	0	1	4	4	150	190	200	2
midgard-s1-A	win	core_destroyed	457	1	20	23	42	1	5	1	2	21	-1	25	0	4	1	1	13	2	527	204	234	8
midgard-s1-B	loss	core_destroyed	248	1	15	18	29	1	5	0	2	34	34	61	1	4	0	19	9	0	360	187	232	3
midgard-s2-A	win	core_destroyed	462	1	20	35	52	1	5	2	2	21	33	138	1	4	0	1	11	2	545	204	341	8
midgard-s2-B	loss	core_destroyed	260	1	15	18	23	0	5	0	2	33	33	60	1	4	0	18	9	0	356	187	232	3
midgard-s3-A	loss	core_destroyed	197	1	20	33	136	1	5	1	2	21	31	55	1	4	0	1	7	2	285	204	234	8
midgard-s3-B	loss	core_destroyed	216	1	15	-1	59	1	5	0	2	35	35	55	1	4	0	20	9	0	365	197	232	3
nordkap-s1-A	win	core_destroyed	341	1	7	11	340	1	2	0	2	8	8	16	0	2	1	1	3	2	110	190	200	2
nordkap-s1-B	loss	core_destroyed	260	1	7	-1	51	1	2	0	2	8	10	28	1	2	0	1	2	2	74	190	200	2
nordkap-s2-A	loss	core_destroyed	184	1	7	-1	173	1	2	0	2	8	8	115	1	2	0	1	2	2	74	190	200	2
nordkap-s2-B	loss	core_destroyed	516	1	7	7	85	1	2	5	2	8	9	66	1	2	4	1	17	2	912	190	352	10
nordkap-s3-A	loss	core_destroyed	391	1	7	206	231	1	2	0	2	8	8	215	1	2	0	1	2	2	74	190	200	2
nordkap-s3-B	loss	core_destroyed	449	1	7	16	68	1	2	1	2	8	8	224	1	2	0	1	4	2	162	190	234	2
