tag	map	seed	seat	ours	turn	ourcore_sent	ourcore_gun	ourcore_peck	ourcore_heal	ourcore_dmg	ourcore_hp_calc	oppcore_sent	oppcore_gun	oppcore_peck	oppcore_heal	oppcore_dmg	oppcore_hp_calc	fwd_sent_n	fwd_sent_first	fwd_sent_life	fwd_sent_alive_r	fwd_gunn_n	fwd_gunn_first	fwd_gunn_life	fwd_gunn_alive_r	fwd_laun_n	fwd_laun_first	fwd_laun_life	fwd_laun_alive_r	home_sent_n	home_sent_first	home_sent_life	home_sent_alive_r	home_gunn_n	home_gunn_first	home_gunn_life	home_gunn_alive_r	home_laun_n	home_laun_first	home_laun_life	home_laun_alive_r	fwd_sent_alive	fwd_sent_dry	opp_sent_n	opp_gun_n	opp_fwd_turret	unknown_deltas	ourcore_overkill
midgard_s1_B	midgard	1	B	OPP	114	504	0	0	0	504	-4	468	0	0	464	468	496	1	42	72	72	0			0	1	11	103	103	0			0	0			0	5	1	1	5	72	0	3	2	4		4
atoll_s2_B	atoll	2	B	OPP	128	576	0	0	72	576	-4	0	0	0	0	0	500	0			0	0			0	1	6	122	122	3	14	99	298	0			0	2	1	1	2	0	0	4	1	1		4
nordkap_s36_B	nordkap	36	B	OPP	172	558	0	0	54	558	-4	0	0	0	0	0	500	0			0	0			0	2	3	2	3	1	13	159	159	0			0	1	1	1	1	0	0	3	3	2		4
drakkarfjord_s28_A	drakkarfjord	28	A	OPP	180	504	0	0	0	504	-4	864	0	0	576	864	212	1	84	96	96	0			0	2	9	54	109	2	39	137	274	0			0	4	1	1	4	96	0	3	0	1		4
glacierkeep_s38_A	glacierkeep	38	A	OPP	376	504	0	0	0	504	-4	0	0	0	0	0	500	0			0	0			0	1	7	1	1	0			0	1	28	348	348	3	1	1	3	0	0	2	0	1		4
