tag	map	seed	seat	ours	cond	turn	our_hp_end	opp_hp_end	our_hp_min	opp_hp_min	opp_hp_min_r	hp_first_hit	hp250	opp_press	opp_press_start	our_arrive	raider_gap	raider_deaths	sent_n	sent_first	sent_deaths	sent_alive_r	sent_dry_r	gun_n	lau_n	harv_n	ammo_max	ammo_end	our_coll	opp_coll	coll_stop	opp_sent_n	opp_sent_first	opp_gun_n	log_arrive	log_degrade	log_sent	log_sentdead	log_cleared	log_throw	log_evict	log_seal	log_clear	arrive_rounds	degrade_rounds
midgard_s1_B	midgard	1	B	OPP	Core destroyed	114	0	496	0	254	91	81	99	68	46			0	1	42	0	72	0	0	6	7	176	124	480	1420	86	3	80	2	0	0	0	0	0	0	0	0	0		
atoll_s2_B	atoll	2	B	OPP	Core destroyed	128	0	500	0	500	0	13	99	103	19	47	78	2	3	14	0	114	49	0	3	4	24	24	280	970	61	4	6	1	0	0	0	0	0	0	0	0	0		
nordkap_s36_B	nordkap	36	B	OPP	Core destroyed	172	0	500	0	500	0	13	143	153	14	4	103	2	1	13	0	159	112	0	3	1	24	2	90	1970	43	3	7	3	0	0	0	0	0	0	0	0	0		
drakkarfjord_s28_A	drakkarfjord	28	A	OPP	Core destroyed	180	0	212	0	212	179	125	151	30	39	10	112	1	3	39	0	141	0	0	6	2	172	162	790	1020	178	3	13	0	0	0	0	0	0	0	0	0	0		
glacierkeep_s38_A	glacierkeep	38	A	OPP	Core destroyed	376	0	500	0	500	0	321	347	335	28	8	340	2	0		0	0	0	1	4	8	24	21	160	260	86	2	16	0	0	0	0	0	0	0	0	0	0		
