r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
0	500	500	470	0	0	470	0	0	0	0	0	1	0	0	0	0
1	500	500	406	0	0	434	0	0	0	0	1	2	0	0	0	0
2	500	500	327	0	0	392	0	0	0	0	0	3	0	0	0	0
3	500	500	294	0	0	318	0	0	0	0	1	3	0	0	0	0
4	500	500	294	0	0	216	0	0	0	0	0	3	0	0	0	0
5	500	500	304	0	10	188	16	0	0	0	0	3	0	0	0	0
6	500	500	254	0	10	174	24	0	0	0	0	4	1	0	0	0
7	500	500	202	0	10	194	24	10	0	0	0	5	1	0	0	0
8	500	500	95	0	10	140	24	20	0	0	0	6	1	0	0	0
9	500	500	76	16	20	140	14	20	0	0	0	6	1	0	0	0
10	500	500	76	16	20	130	24	20	0	0	0	6	0	0	0	0
11	500	500	79	16	20	150	14	30	0	0	0	6	0	0	0	0
12	500	500	79	16	20	150	24	40	0	0	0	6	0	0	0	0
13	500	500	92	16	40	80	24	40	0	0	0	6	0	0	0	0
14	482	500	14	24	40	64	30	40	1	0	0	6	0	0	0	0
15	486	500	23	14	40	68	46	50	1	0	0	6	0	0	0	0
16	472	500	12	24	40	14	50	60	1	0	0	6	1	0	0	0
17	480	500	30	14	60	7	40	60	1	0	0	6	1	0	0	0
18	470	500	11	24	60	7	30	60	1	0	0	6	1	0	0	0
19	478	500	19	14	60	20	20	70	1	0	0	6	0	0	0	0
20	486	500	10	21	60	15	28	80	1	0	0	6	1	0	0	0
21	498	500	20	21	80	15	18	80	1	0	0	6	1	0	0	1
22	500	500	12	21	80	1	18	80	1	0	0	6	1	0	0	1
23	500	500	22	21	80	21	8	90	1	0	0	6	0	0	0	0
24	500	500	22	21	80	15	17	100	1	0	0	6	1	0	0	1
25	500	500	42	21	100	8	7	100	1	0	0	6	1	0	0	1
26	500	500	35	21	100	1	7	100	1	0	0	6	1	0	0	0
27	500	500	45	21	100	21	7	110	1	0	0	6	0	0	0	1
28	500	500	45	21	100	15	16	120	1	0	0	6	0	0	0	1
