r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
0	500	500	470	0	0	470	0	0	0	0	0	1	0	0	0	0
1	500	500	406	0	0	434	0	0	0	0	1	2	0	0	0	0
2	500	500	361	0	0	392	0	0	0	0	0	3	0	0	0	0
3	500	500	339	0	0	354	0	0	0	0	1	3	0	0	1	0
4	500	500	305	0	0	260	0	0	0	0	0	3	1	0	0	0
5	500	500	301	0	0	232	16	0	0	0	0	3	0	0	0	0
6	500	500	215	0	0	162	24	0	0	0	1	4	0	0	1	0
7	500	500	161	0	0	166	14	0	0	0	1	5	1	0	1	0
8	500	500	155	0	0	156	24	0	0	0	1	5	1	0	1	0
9	500	500	149	0	0	156	24	0	0	0	1	5	1	0	1	0
10	500	500	116	0	10	166	14	10	0	0	1	5	1	0	1	0
11	500	500	104	16	10	166	24	10	0	0	1	5	1	0	1	0
12	500	500	57	16	10	121	14	10	0	0	1	4	0	0	1	0
13	500	500	37	24	10	62	20	10	0	0	1	4	0	0	1	0
14	500	500	47	24	20	61	20	20	0	0	1	4	0	0	1	0
15	500	500	15	24	20	10	20	20	0	1	1	4	0	0	1	1
16	500	500	25	20	30	3	16	20	0	1	1	4	0	0	1	1
17	500	500	15	20	30	3	12	20	0	1	1	4	0	0	1	1
18	500	500	25	16	40	13	12	30	0	1	1	4	0	0	1	1
19	500	500	27	20	40	16	12	30	0	1	1	4	0	0	1	1
20	500	500	23	20	40	5	16	30	0	1	1	4	0	0	1	1
21	500	500	19	20	40	15	16	40	0	1	1	4	0	0	1	1
22	500	500	25	20	50	28	16	60	0	1	1	4	0	0	1	1
23	500	500	31	20	50	30	24	60	0	1	1	4	0	0	1	1
24	500	500	27	20	50	23	14	60	0	1	1	4	1	0	1	1
25	500	500	15	20	50	13	24	60	0	1	1	4	1	0	1	1
26	500	500	25	20	70	33	14	80	0	1	1	4	1	0	1	1
27	500	500	35	24	80	33	24	80	0	1	1	4	1	0	1	1
28	500	500	45	24	90	43	14	90	0	1	1	4	1	0	1	2
