r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
79	500	500	55	24	200	41	24	170	0	2	0	6	1	0	0	0
80	500	500	55	24	200	41	24	170	0	2	0	6	1	0	0	0
81	500	500	45	24	200	41	24	170	0	2	0	6	1	0	0	0
82	500	500	45	24	200	41	24	170	0	2	0	6	1	0	0	0
83	500	500	65	24	210	51	24	170	0	2	0	6	1	0	0	0
84	500	500	65	24	210	51	24	170	0	2	0	6	1	0	0	0
85	500	500	65	24	210	7	24	170	0	2	0	6	1	0	0	0
86	500	500	65	24	210	7	24	170	0	2	0	6	1	0	0	0
87	500	500	85	24	220	11	24	170	0	2	0	6	1	0	0	0
88	500	500	85	24	220	11	24	170	0	2	0	6	1	0	0	0
89	500	500	75	24	220	5	24	170	0	2	0	6	1	0	0	0
90	500	500	75	24	220	5	24	170	0	2	0	6	1	0	0	0
91	500	500	95	24	230	15	24	170	0	2	0	6	1	0	0	0
92	500	500	95	24	230	15	24	170	0	2	0	6	1	0	0	0
93	500	500	95	24	230	15	24	170	0	2	0	6	1	0	0	0
94	500	500	95	20	230	15	24	170	0	2	0	6	1	0	0	0
95	500	500	111	24	240	19	24	170	0	2	0	6	1	0	0	0
96	500	500	111	24	240	19	24	170	0	2	0	6	1	0	0	0
97	500	500	111	24	240	13	24	170	0	2	0	6	1	0	0	0
98	500	500	111	24	240	13	24	170	0	2	0	6	1	0	0	0
99	500	500	131	24	250	23	24	170	0	2	0	6	1	0	0	0
100	500	500	75	24	250	23	24	170	0	2	0	6	2	0	0	0
101	500	500	75	24	250	23	24	170	0	2	0	6	2	0	0	0
102	500	500	75	24	250	23	24	170	0	2	0	6	1	0	0	0
103	500	500	95	24	260	33	24	170	0	2	0	6	1	0	0	0
104	500	500	1	24	260	33	24	170	1	2	0	6	1	1	0	0
105	500	500	1	24	260	33	24	170	1	2	0	6	2	1	0	0
106	500	500	1	24	260	33	24	170	1	2	0	6	1	1	0	0
107	500	500	21	24	270	43	24	170	1	2	0	6	2	1	0	0
108	500	500	10	24	270	43	24	170	1	2	0	6	2	1	0	0
109	500	500	8	24	270	43	24	170	1	2	0	6	2	1	0	0
110	500	500	6	24	270	43	24	170	1	2	0	6	2	1	0	0
111	500	500	24	24	280	53	24	170	1	2	0	6	2	1	0	0
112	500	500	32	20	290	53	24	170	1	2	0	6	2	1	0	0
113	500	500	36	20	300	7	24	170	1	2	0	6	2	1	0	0
114	500	500	30	20	300	7	20	170	1	2	0	6	2	1	0	0
115	500	500	44	20	310	17	16	170	1	2	0	6	2	1	0	0
116	500	500	38	20	310	12	21	170	1	2	0	6	2	1	0	0
117	500	500	32	24	320	12	21	170	1	2	0	6	2	1	0	0
118	500	500	23	24	320	12	21	170	1	2	0	6	2	1	0	0
119	500	500	34	24	330	22	21	170	1	2	0	6	2	1	0	0
120	500	500	34	24	330	22	21	170	1	2	0	6	2	1	0	0
121	500	500	44	14	340	22	21	170	1	2	0	6	2	1	0	0
122	500	500	34	24	340	22	21	170	1	2	0	6	2	1	0	0
123	500	500	54	14	350	32	21	170	1	2	0	6	2	1	0	0
124	500	500	44	24	350	32	21	170	1	2	0	6	2	1	0	0
125	500	500	44	14	360	32	21	170	1	2	0	6	2	1	0	0
126	500	500	34	20	360	32	21	170	1	2	0	6	2	1	0	0
127	500	500	50	24	370	42	21	170	1	2	0	6	2	1	0	0
128	500	500	50	20	370	0	21	170	1	2	0	6	2	1	0	0
129	500	500	56	20	380	0	17	170	1	2	0	6	2	1	0	0
130	500	500	52	20	380	0	13	170	1	1	0	6	2	1	0	0
131	500	500	68	24	390	10	13	170	1	1	0	6	2	1	0	0
132	500	500	68	24	390	0	13	170	1	1	0	6	2	1	0	0
133	500	500	78	24	400	0	9	170	1	1	0	6	3	1	0	0
134	500	500	78	24	400	0	5	170	1	1	0	6	2	1	0	0
135	500	500	97	24	410	10	1	170	1	1	0	6	2	1	0	0
136	500	500	9	24	410	10	1	170	2	1	0	6	2	1	0	0
137	500	500	19	14	420	10	1	170	2	1	0	6	2	1	0	0
138	500	500	12	21	420	10	1	170	2	1	0	6	2	1	0	0
139	500	500	32	21	430	20	1	170	2	1	0	6	2	1	0	0
140	500	500	32	21	430	12	9	170	2	1	0	6	2	1	0	0
141	500	500	42	21	440	12	9	170	2	1	0	6	2	1	0	0
142	500	500	42	21	440	12	9	170	2	1	0	6	2	1	0	0
143	500	500	62	21	450	22	9	170	2	1	0	6	2	1	0	0
144	500	500	62	21	450	12	19	170	2	1	0	6	2	1	0	0
145	500	500	72	11	460	12	19	170	2	1	0	6	2	1	0	0
146	500	500	59	24	460	12	19	170	2	1	0	6	2	1	0	0
147	500	500	79	24	470	22	19	170	2	1	0	6	2	1	0	0
148	500	500	79	24	470	17	24	170	2	1	0	6	2	1	0	0
149	500	500	89	24	480	17	24	170	2	1	0	6	2	1	0	0
150	500	500	89	24	480	17	24	170	2	1	0	6	2	1	0	0
151	500	500	109	24	490	27	24	170	2	1	0	6	2	1	0	0
152	500	500	16	24	490	27	24	170	3	1	0	6	2	1	0	0
153	500	500	26	24	500	27	24	170	3	1	0	6	2	1	0	0
154	500	500	26	24	500	27	24	170	3	1	0	6	2	1	0	0
155	500	500	46	24	510	37	24	170	3	1	0	6	2	1	0	0
156	500	500	46	24	510	37	24	170	3	1	0	6	2	1	0	0
157	500	500	56	24	520	37	24	170	3	1	0	6	2	1	0	0
158	500	500	56	24	520	37	24	170	3	1	0	6	2	1	0	0
159	500	500	76	24	530	47	24	170	3	1	0	6	2	1	0	0
160	500	500	76	24	530	47	24	170	3	1	0	6	2	1	0	0
161	500	500	86	24	540	47	24	170	3	1	0	6	2	1	0	0
162	500	500	86	24	540	47	24	170	3	1	0	6	2	1	0	0
163	500	500	106	24	550	57	24	170	3	1	0	6	2	1	0	0
164	500	500	7	24	550	57	24	170	4	1	0	6	2	2	0	0
165	500	500	17	14	560	57	24	170	4	1	0	6	2	2	0	0
166	500	500	12	19	560	57	24	170	4	1	0	6	2	2	0	0
167	500	500	32	9	570	67	24	170	4	1	0	6	2	2	0	0
168	500	500	17	24	570	67	24	170	4	1	0	6	2	2	0	0
169	500	500	27	24	580	67	24	170	4	1	0	6	2	2	0	0
170	500	500	27	24	580	67	24	170	4	1	0	6	2	2	0	0
171	500	500	47	24	590	77	24	170	4	1	0	6	2	2	0	0
172	500	500	47	24	590	77	24	170	4	1	0	6	2	2	0	0
173	500	500	57	24	600	77	24	170	4	1	0	6	3	2	0	0
174	500	500	57	24	600	77	24	170	4	1	0	6	2	2	0	0
175	500	500	76	24	610	87	24	170	4	1	0	6	2	2	0	0
176	500	500	75	24	610	87	24	170	4	1	0	6	2	2	0	0
177	500	500	14	24	620	87	24	170	4	2	0	6	2	2	0	0
178	500	500	14	24	620	87	24	170	4	2	0	6	2	2	0	0
179	500	500	34	24	630	97	24	170	4	2	0	6	3	2	0	0
180	500	500	24	24	630	97	24	170	4	2	0	6	2	2	0	0
181	500	500	33	20	640	97	24	170	4	2	0	6	2	2	0	0
182	500	500	29	20	640	96	24	170	4	2	0	6	2	2	0	0
183	500	500	45	20	650	105	24	170	4	2	0	6	2	2	0	0
184	500	500	41	20	650	104	14	170	4	2	0	6	3	2	0	0
185	500	500	47	20	660	93	24	170	4	2	0	6	2	2	0	0
186	500	500	43	20	660	92	14	170	4	2	0	5	2	2	0	0
187	500	500	63	16	670	91	24	170	4	2	0	5	2	2	0	0
188	500	500	55	20	670	90	24	170	4	2	0	5	2	2	0	0
189	500	500	61	20	680	90	24	170	4	2	0	5	2	2	0	0
190	500	500	57	24	680	90	24	170	4	2	0	5	2	2	0	0
191	500	500	77	20	690	100	24	170	4	2	0	5	2	2	0	0
192	500	500	73	24	690	100	24	170	4	2	0	5	2	2	0	0
193	500	500	83	20	700	100	24	170	4	2	0	5	2	2	0	0
194	500	500	79	24	700	100	24	170	4	2	0	5	2	2	0	0
195	500	500	99	20	710	110	24	170	4	2	0	5	2	2	0	0
196	500	500	95	24	710	110	24	170	4	2	0	5	2	2	0	0
197	500	500	105	20	720	110	24	170	4	2	0	5	2	2	0	0
198	500	500	101	24	720	110	24	170	4	2	0	5	2	2	0	0
199	500	500	121	20	730	120	24	170	4	2	0	5	2	2	0	0
200	500	500	117	24	730	71	24	170	4	2	0	5	2	2	0	0
201	500	500	127	24	740	71	24	170	4	2	0	5	2	2	0	0
202	500	500	127	24	740	71	24	170	4	2	0	5	2	2	0	0
203	500	500	147	24	750	81	24	170	4	2	0	5	2	2	0	0
204	500	500	147	24	750	81	24	170	4	2	0	5	2	2	0	0
205	500	500	157	24	760	81	24	170	4	2	0	5	2	2	0	0
206	500	500	87	24	760	81	24	170	4	2	0	5	2	2	0	0
207	500	500	107	24	770	91	24	170	4	2	0	5	2	2	0	0
208	500	500	97	24	770	91	24	170	4	2	0	5	2	2	0	0
209	500	500	107	24	780	91	24	170	4	2	0	5	2	2	0	0
210	500	500	97	24	780	91	24	170	4	2	0	5	2	2	0	0
211	500	500	117	24	790	101	24	170	4	2	0	5	2	2	0	0
212	500	500	107	24	790	101	24	170	4	2	0	5	2	2	0	0
213	500	500	117	24	800	101	24	170	4	2	0	5	2	2	0	0
214	500	500	107	24	800	101	24	170	4	2	0	5	2	2	0	0
215	500	500	127	24	810	111	24	170	4	2	0	5	2	2	0	0
216	500	500	117	24	810	111	24	170	4	2	0	5	2	2	0	0
217	500	500	127	24	820	111	24	170	4	2	0	5	2	2	0	0
218	500	500	117	24	820	111	24	170	4	2	0	5	2	2	0	0
219	500	500	137	24	830	121	24	170	4	2	0	5	2	2	0	0
220	500	500	127	24	830	66	24	170	4	2	0	5	2	2	0	0
221	500	500	137	24	840	66	24	170	4	2	0	5	2	2	0	0
222	500	500	127	24	840	66	24	170	4	2	0	5	2	2	0	0
223	500	500	147	24	850	76	24	170	4	2	0	5	2	2	0	0
224	500	500	147	24	850	76	24	170	4	2	0	5	2	2	0	0
225	500	500	157	24	860	76	24	170	4	2	0	5	2	2	0	0
