r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
0	500	500	470	0	0	470	0	0	0	0	0	1	0	0	0	0
1	500	500	406	0	0	434	0	0	0	0	1	2	0	0	0	0
2	500	500	361	0	0	392	0	0	0	0	0	3	0	0	0	0
3	500	500	339	0	0	354	0	0	0	0	1	3	0	0	1	0
4	500	500	339	0	0	300	0	0	0	0	0	3	1	0	0	0
5	500	500	335	0	0	284	16	0	0	0	0	3	1	0	0	0
6	500	500	251	0	0	216	24	0	0	0	0	4	1	0	0	0
7	500	500	178	16	0	226	14	0	0	0	0	5	1	0	0	0
8	500	500	158	24	0	81	24	0	0	0	0	5	1	0	0	1
9	500	500	110	24	0	60	14	0	0	0	0	5	0	0	0	1
10	500	500	104	24	0	43	24	0	0	0	0	5	1	0	0	0
11	500	500	118	24	10	39	14	0	0	0	0	5	1	0	0	1
12	500	500	41	24	10	8	24	0	1	0	0	5	0	0	0	1
13	500	500	41	14	10	8	14	0	1	0	0	5	1	0	0	1
14	500	500	31	24	10	11	14	10	1	0	0	5	1	0	0	1
15	500	500	54	14	30	21	14	10	1	0	0	5	1	0	0	1
16	500	500	44	24	30	5	23	10	1	0	0	5	0	0	0	1
17	500	500	44	14	30	5	23	10	1	0	0	5	1	0	0	0
18	500	500	34	24	30	5	13	10	1	0	0	5	1	0	0	0
19	500	500	64	24	50	15	13	10	1	0	0	5	1	0	0	0
20	500	500	62	24	50	3	13	10	1	0	0	5	1	0	0	0
21	500	500	60	24	50	23	13	30	1	0	0	5	1	0	0	0
22	500	500	58	24	50	42	24	60	1	0	0	5	1	0	0	0
23	500	500	86	24	70	72	24	80	1	0	0	5	1	0	0	0
24	500	500	84	24	70	37	24	90	1	0	0	5	1	0	0	0
25	500	500	82	24	70	37	24	90	1	0	0	5	1	0	0	0
26	500	500	80	24	70	31	24	90	1	0	0	5	1	0	0	0
27	500	500	108	24	90	61	24	110	1	0	0	5	1	0	0	0
28	500	500	61	24	90	17	24	120	1	0	1	5	1	0	1	0
