r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
0	500	500	470	0	0	470	0	0	0	0	0	1	0	0	0	0
1	500	500	406	0	0	434	0	0	0	0	1	2	0	0	0	0
2	500	500	361	0	0	392	0	0	0	0	0	3	0	0	0	0
3	500	500	305	0	0	354	0	0	0	0	1	3	0	0	0	0
4	500	500	300	0	0	300	0	0	0	0	0	3	0	0	0	0
5	500	500	267	0	0	219	0	0	0	0	1	3	0	0	0	0
6	500	500	262	0	0	185	16	0	0	0	0	3	0	0	0	0
7	500	500	239	0	0	195	16	0	0	0	1	3	0	0	0	0
8	500	500	249	0	10	199	16	10	0	0	0	3	0	0	0	0
9	500	500	216	0	10	199	16	10	0	0	1	3	0	0	0	0
10	500	500	216	0	10	209	16	20	0	0	0	3	0	0	0	0
11	500	500	158	0	10	177	16	20	0	0	1	3	0	0	1	0
12	500	500	111	16	20	181	16	30	0	0	1	3	0	0	1	0
13	500	500	106	16	20	181	16	30	0	0	1	3	0	0	1	0
14	500	500	101	16	20	185	16	40	0	0	1	3	0	0	1	0
15	500	500	106	16	20	189	16	40	0	0	1	3	0	0	1	0
16	500	500	121	16	40	199	16	50	0	0	1	3	0	0	1	0
17	500	500	121	16	40	193	16	50	0	0	1	3	0	0	1	0
18	500	500	116	16	40	203	16	60	0	0	1	3	0	0	1	0
19	500	500	126	16	40	163	16	60	0	0	1	3	0	0	1	0
20	500	500	131	16	50	167	16	70	0	0	1	3	0	0	1	0
21	500	500	141	16	60	177	16	80	0	0	1	3	0	0	1	0
22	500	500	151	16	70	181	16	90	0	0	1	3	0	0	1	0
23	500	500	161	16	70	195	16	100	0	0	1	3	0	0	1	0
24	500	500	191	16	100	159	16	110	0	0	1	3	0	0	1	0
25	500	500	191	16	100	145	16	110	0	0	1	3	0	0	1	0
26	500	500	153	16	100	155	16	120	0	0	1	3	0	0	1	0
27	500	500	163	16	100	168	16	130	0	0	1	3	0	0	1	0
28	500	500	178	16	120	113	16	130	0	0	1	3	0	0	1	0
